time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
2.95s,10.00,10.00,0.00,0.04,0,5.03,119.94,0.03,119.94
5.99s,10.05,20.05,0.00,10.00,1,5.01,119.94,0.05,119.94
3.68s,10.03,30.08,0.00,20.08,0,6.69,119.94,0.04,119.95
4.61s,13.39,43.47,0.00,30.09,0,7.55,119.95,0.05,119.94
4.89s,15.10,58.56,0.00,43.47,0,8.73,119.95,0.01,119.94
4.47s,17.46,76.03,0.00,58.57,0,9.73,119.95,0.04,119.94
4.52s,19.46,95.48,0.00,76.03,0,11.49,119.95,0.05,119.94
3.51s,22.98,118.47,0.00,95.48,1,13.11,119.95,0.06,119.94
3.56s,26.21,144.68,0.00,110.09,1,13.34,22.21,2.58,119.95
4.90s,13.34,158.02,0.00,123.50,1,13.00,21.60,11.21,119.95
4.21s,13.00,171.02,0.00,138.58,2,12.51,20.80,15.65,119.96
4.30s,25.02,196.04,0.00,156.05,2,12.14,20.16,21.20,119.96
3.62s,24.27,220.31,0.00,175.50,1,13.08,21.80,19.47,119.96
4.47s,13.08,233.39,0.00,190.10,2,13.35,22.17,17.21,119.96
5.74s,26.69,260.09,0.00,203.54,2,13.03,21.64,24.99,119.96
5.59s,13.03,273.12,0.00,218.61,3,12.52,20.81,31.30,119.97
8.62s,12.52,285.64,0.00,236.07,2,12.11,20.17,29.88,119.96
4.73s,12.11,297.75,0.00,255.52,3,13.11,21.78,36.93,119.96
4.65s,14.11,311.86,0.00,270.11,3,13.33,22.15,34.35,119.96
3.72s,14.33,326.19,0.00,283.59,3,13.00,21.62,32.51,119.96
3.88s,14.00,340.19,0.00,298.63,2,12.51,20.80,30.31,119.96
4.65s,12.51,352.70,0.00,316.10,2,12.12,20.18,28.28,119.96
2.39s,13.12,365.82,0.00,335.54,2,13.09,21.80,27.57,119.96
3.57s,26.17,391.99,0.00,350.11,2,13.30,22.16,24.42,119.96
2.71s,13.30,405.29,0.00,363.59,2,12.99,21.61,21.61,119.96
3.55s,12.99,418.29,0.00,378.63,2,12.50,20.80,18.49,119.95
5.27s,12.50,430.79,0.00,396.10,2,12.11,20.17,28.42,119.96
3.57s,24.23,455.02,0.00,415.54,2,13.09,21.80,26.68,119.96
2.42s,26.17,481.19,0.00,430.11,2,13.30,22.16,22.55,119.96
2.96s,13.30,494.50,0.00,443.59,2,12.99,21.61,19.68,119.95
3.66s,13.99,508.49,0.00,458.63,2,12.50,20.80,27.68,119.96
5.93s,12.50,520.99,0.00,476.12,3,12.15,20.17,32.54,119.96
4.19s,13.15,534.14,0.00,495.54,2,13.09,21.80,35.89,119.96
3.38s,26.17,560.31,0.00,510.11,2,13.30,22.16,32.72,119.96
2.15s,14.30,574.62,0.00,523.59,2,12.99,21.61,29.91,119.96
3.87s,25.98,600.60,0.00,538.63,2,12.53,20.82,26.78,119.96
7.00s,12.53,613.13,0.00,556.13,3,12.14,20.19,32.57,119.94
4.78s,13.14,626.27,0.00,575.54,2,13.09,21.77,35.92,119.96
4.10s,14.09,640.36,0.00,590.12,3,13.31,22.16,34.35,119.97
5.58s,26.61,666.98,0.00,603.59,3,12.99,21.61,32.50,119.96
4.35s,13.99,680.97,0.00,618.63,3,12.54,20.83,31.27,119.96
11.19s,12.54,693.50,0.00,636.13,3,12.12,20.18,32.54,119.97
5.81s,13.12,706.62,0.00,655.54,3,13.08,21.80,36.93,119.97
3.88s,14.08,720.70,0.00,670.12,3,13.31,22.16,34.35,119.97
5.64s,26.61,747.32,0.00,683.59,3,12.99,21.61,32.50,119.96
6.74s,12.99,760.31,0.00,698.63,3,12.50,20.79,31.28,119.96
10.47s,12.50,772.81,0.00,716.13,3,12.12,20.18,32.58,119.97
9.63s,12.12,784.93,0.00,735.54,3,13.08,21.80,36.93,119.97
5.96s,26.17,811.09,0.00,750.12,3,13.31,22.16,34.38,119.94
6.42s,26.61,837.71,0.00,763.59,3,12.99,21.61,32.50,119.96
7.89s,13.99,851.70,0.00,778.63,3,12.54,20.83,31.28,119.94
8.53s,25.07,876.77,0.00,796.13,3,12.13,20.15,32.55,119.96
9.81s,24.27,901.04,0.00,815.54,3,13.08,21.80,36.91,119.95
5.51s,14.08,915.12,0.00,830.15,4,13.36,22.18,34.37,119.96
10.60s,13.36,928.48,0.00,843.63,4,13.05,21.64,32.51,119.96
7.23s,26.10,954.58,0.00,858.63,4,12.50,20.79,31.27,119.96
4.79s,13.50,968.08,1.11,876.16,4,12.17,20.19,32.55,119.94
9.04s,24.33,992.42,1.11,895.57,5,13.13,21.77,36.96,119.96
12.65s,13.13,1005.54,5.45,910.18,4,13.31,22.17,34.39,119.96
9.94s,13.31,1018.85,5.65,923.63,4,13.03,21.62,32.51,119.96
8.59s,26.06,1044.91,5.65,938.65,4,12.50,20.79,31.27,119.96
5.59s,13.50,1058.41,5.65,956.16,4,12.16,20.19,32.55,119.96
9.68s,13.16,1071.57,5.65,975.57,4,13.08,21.79,36.93,119.96
7.38s,13.08,1084.65,15.87,990.18,4,13.35,22.17,34.37,119.96
7.42s,26.71,1111.36,16.05,1003.63,4,13.04,21.64,32.49,119.96
9.52s,13.04,1124.39,40.76,1018.65,3,12.51,20.79,31.28,119.96
9.64s,12.51,1136.91,40.76,1036.16,3,12.12,20.18,32.56,119.96
3.97s,13.12,1150.03,40.76,1055.58,3,13.08,21.80,36.93,119.97
5.26s,26.16,1176.19,40.76,1070.18,4,13.32,22.18,34.39,119.97
4.55s,14.32,1190.50,41.17,1083.66,3,13.00,21.62,32.51,119.97
5.40s,14.00,1204.51,41.23,1098.68,3,12.50,20.80,31.28,119.96
6.34s,25.01,1229.51,41.23,1116.16,3,12.14,20.16,32.52,119.94
8.02s,12.14,1241.65,41.23,1135.60,3,13.09,21.77,36.96,119.94
6.53s,13.09,1254.75,41.41,1150.18,3,13.34,22.17,34.39,119.94
10.21s,13.34,1268.09,41.41,1163.69,3,13.00,21.62,32.53,119.96
7.14s,26.01,1294.09,41.61,1178.68,4,12.52,20.80,31.26,119.96
5.47s,12.52,1306.62,45.49,1196.16,4,12.11,20.17,32.47,119.96
6.28s,24.22,1330.84,45.49,1215.60,3,13.10,21.80,36.94,119.96
10.23s,13.10,1343.94,45.49,1230.21,3,13.30,22.16,34.39,119.94
8.39s,13.30,1357.24,45.49,1243.73,4,13.04,21.65,32.55,119.96
4.86s,14.04,1371.28,50.37,1258.71,3,12.53,20.81,31.28,119.94
3.70s,13.53,1384.81,50.37,1276.19,4,12.12,20.18,32.51,119.94
7.39s,24.24,1409.05,54.65,1295.60,3,13.08,21.79,36.90,119.96
3.72s,14.08,1423.13,54.65,1310.21,3,13.31,22.15,34.37,119.94
5.38s,13.31,1436.44,54.65,1323.73,3,13.04,21.63,32.53,119.96
5.40s,26.09,1462.52,54.65,1338.74,3,12.54,20.82,31.29,119.95
6.34s,25.07,1487.60,54.65,1356.19,3,12.12,20.18,32.52,119.94
6.22s,13.12,1500.71,54.65,1375.60,3,13.12,21.78,36.89,119.96
6.63s,13.12,1513.83,54.65,1390.21,3,13.30,22.15,34.32,119.95
6.01s,13.30,1527.13,54.65,1403.77,4,13.02,21.62,32.53,119.95
7.73s,13.02,1540.15,58.75,1418.75,4,12.54,20.83,31.31,119.96
6.40s,25.08,1565.23,65.02,1436.19,3,12.13,20.16,32.44,119.96
5.91s,24.25,1589.48,65.27,1455.60,3,13.08,21.79,36.88,119.95
7.89s,13.08,1602.56,65.27,1470.21,3,13.29,22.15,34.33,119.95
6.93s,13.29,1615.85,65.27,1483.79,3,13.01,21.63,32.54,119.95
4.09s,14.01,1629.86,65.27,1498.77,4,12.52,20.86,31.30,119.95
6.51s,25.04,1654.89,66.46,1516.19,4,12.13,20.16,32.46,119.94
5.67s,13.13,1668.02,66.96,1535.60,4,13.08,21.79,36.86,119.96
5.81s,13.08,1681.10,66.96,1550.21,3,13.29,22.12,34.29,119.96
6.78s,13.29,1694.39,66.96,1563.79,3,13.05,21.63,32.54,119.95
