time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
3.56s,10.00,10.00,0.00,0.04,0,5.00,119.94,0.04,119.95
7.47s,10.00,20.00,0.00,10.00,1,5.00,119.94,0.05,119.94
2.56s,6.00,26.00,0.00,20.00,1,6.67,119.94,0.05,119.94
1.52s,7.67,33.67,0.00,26.00,1,6.70,119.94,0.05,119.94
3.29s,13.39,47.06,0.00,33.69,0,6.73,119.95,0.05,119.94
4.61s,13.46,60.52,0.00,47.07,0,7.46,119.95,0.05,119.94
4.18s,14.92,75.44,0.00,60.52,0,8.99,119.95,0.00,119.94
4.37s,17.98,93.42,0.00,75.44,0,10.49,119.95,0.05,119.94
4.20s,20.98,114.40,0.00,93.42,0,11.97,119.95,0.06,119.94
3.75s,23.94,138.34,0.00,113.45,1,13.28,22.08,0.05,119.95
4.76s,26.55,164.89,0.00,127.10,1,13.33,22.16,4.53,119.95
4.37s,13.33,178.22,3.94,144.42,1,13.81,22.99,7.31,31.96
4.09s,27.61,205.83,10.50,164.40,1,14.20,19.98,9.98,23.95
4.59s,28.39,234.22,10.50,184.40,1,15.00,23.61,10.02,23.20
2.91s,16.00,250.22,19.83,204.43,1,15.47,23.33,3.37,29.26
6.03s,30.94,281.16,26.50,217.73,1,15.01,21.68,8.38,23.25
5.77s,30.03,311.18,33.44,237.72,1,14.71,19.97,7.79,23.25
5.97s,29.41,340.60,43.46,257.72,1,14.67,24.40,0.03,25.50
6.28s,29.35,369.94,53.45,267.73,1,13.34,21.05,6.67,25.49
8.24s,26.69,396.63,62.87,287.73,1,14.00,23.32,10.01,28.98
5.39s,28.00,424.63,72.21,307.73,1,14.00,23.32,10.02,29.01
6.07s,28.00,452.64,78.90,327.77,1,15.01,23.31,10.03,31.45
4.95s,15.01,467.65,94.91,347.78,1,16.02,20.00,10.03,29.94
3.02s,17.02,484.66,94.91,367.73,1,16.04,26.66,10.05,29.94
2.37s,32.08,516.74,94.91,387.73,1,16.03,26.66,10.02,119.96
2.63s,32.06,548.81,99.01,407.73,1,16.02,22.45,5.05,29.98
5.14s,32.05,580.86,116.07,422.74,1,15.01,22.49,3.75,25.01
5.38s,30.02,610.88,133.12,437.76,1,14.02,19.99,4.99,24.96
5.98s,28.04,638.91,133.12,457.73,1,14.99,23.33,10.00,23.33
4.56s,29.98,668.89,143.15,477.73,1,20.00,23.32,10.00,20.00
6.02s,40.00,708.89,151.18,497.75,1,15.01,24.98,10.03,35.21
4.22s,16.01,724.91,161.16,517.75,1,16.01,26.64,10.01,38.99
4.96s,32.03,756.93,181.16,537.73,1,16.00,19.96,10.01,29.94
4.62s,32.00,788.93,181.16,557.73,1,16.00,26.66,10.03,29.97
3.34s,17.00,805.93,199.70,577.73,1,16.00,22.73,6.04,31.48
4.27s,32.01,837.94,205.19,593.75,1,15.20,25.31,9.01,25.97
3.76s,15.20,853.14,205.19,613.75,1,15.22,25.29,8.69,26.01
3.57s,30.44,883.58,214.20,633.78,1,15.24,22.96,10.04,27.29
3.66s,15.24,898.82,219.84,653.77,1,15.24,20.00,10.06,27.00
3.99s,15.24,914.06,219.84,673.76,1,16.03,26.66,10.00,29.93
2.38s,32.06,946.12,219.84,693.75,1,16.00,26.63,10.00,29.96
2.39s,32.01,978.13,219.84,713.75,1,16.01,26.63,5.25,119.96
4.16s,32.02,1010.15,227.14,728.99,1,15.06,25.06,8.83,37.21
5.39s,30.12,1040.27,239.15,748.99,1,15.05,25.04,10.04,34.20
5.67s,15.05,1055.32,251.16,768.99,1,15.05,25.04,10.04,34.21
3.83s,30.10,1085.42,261.29,788.99,1,15.06,20.00,10.01,27.61
4.49s,30.12,1115.54,261.29,808.99,1,16.04,26.66,10.03,30.00
5.06s,32.08,1147.62,266.43,828.99,1,16.02,26.64,10.02,40.12
3.88s,17.02,1164.64,276.55,849.00,1,16.02,26.01,10.00,38.97
3.83s,32.03,1196.67,288.64,869.02,1,16.01,19.97,10.00,29.92
5.63s,32.01,1228.68,288.64,888.99,1,16.00,26.66,10.03,29.98
3.88s,17.00,1245.69,297.68,908.99,1,16.03,26.67,10.01,38.95
4.82s,32.06,1277.75,309.70,928.99,1,16.02,19.99,10.04,29.95
5.39s,32.04,1309.79,309.70,948.99,1,16.02,26.61,10.03,29.98
3.61s,17.02,1326.81,318.76,968.99,1,16.02,26.64,10.00,38.99
3.22s,17.02,1343.82,330.80,988.99,1,16.03,19.95,10.03,29.98
2.93s,17.03,1360.85,330.80,1009.03,1,16.02,26.67,10.01,29.95
3.30s,32.04,1392.90,330.80,1028.99,1,16.00,26.66,7.08,119.95
3.19s,32.00,1424.90,336.89,1046.01,1,15.42,21.49,5.54,27.02
5.87s,30.84,1455.74,339.88,1063.03,1,14.82,24.66,8.51,26.97
4.93s,14.82,1470.57,351.88,1083.02,1,17.02,24.66,10.00,26.97
5.19s,34.03,1504.60,362.72,1103.02,1,14.81,19.99,10.03,27.01
4.49s,29.62,1534.21,371.58,1123.02,1,15.42,19.99,10.00,27.71
5.62s,30.84,1565.05,381.19,1143.02,1,16.01,24.98,0.39,29.96
5.76s,32.03,1597.08,401.64,1153.44,1,15.03,19.95,7.20,20.38
6.03s,30.05,1627.13,413.67,1173.41,1,14.12,20.16,6.41,20.36
5.76s,28.25,1655.38,424.11,1193.05,1,14.85,23.33,0.16,20.36
5.70s,29.70,1685.08,433.69,1203.46,1,13.22,20.11,6.68,23.70
5.30s,26.43,1711.51,441.93,1223.44,1,14.00,23.32,10.02,28.61
5.45s,14.00,1725.51,451.63,1243.44,1,14.04,23.20,10.02,32.56
4.40s,28.08,1753.59,458.07,1263.46,1,15.00,20.00,10.02,25.16
4.49s,30.00,1783.59,460.15,1283.49,1,16.02,20.00,10.00,29.96
5.76s,32.03,1815.62,460.15,1303.44,1,16.04,26.67,10.03,29.94
5.55s,32.08,1847.70,470.15,1323.46,1,16.04,25.99,10.00,38.93
3.41s,17.04,1864.74,482.18,1343.44,1,16.00,26.04,10.02,38.93
2.71s,17.00,1881.75,494.26,1363.44,1,16.01,19.96,10.00,29.94
2.83s,17.01,1898.76,494.26,1383.44,1,16.04,26.66,10.00,29.96
3.26s,32.07,1930.83,494.26,1403.44,1,16.01,26.64,7.05,119.96
3.46s,32.02,1962.85,494.26,1420.49,1,15.41,25.67,5.54,119.95
3.78s,16.41,1979.26,503.34,1437.49,1,14.83,24.68,8.51,33.03
4.33s,29.65,2008.91,515.37,1457.49,1,14.81,20.00,10.04,25.99
5.46s,29.62,2038.53,521.43,1477.53,1,14.82,19.95,10.00,25.50
5.63s,29.63,2068.17,521.43,1497.52,1,15.43,25.66,9.99,28.48
3.51s,16.43,2084.60,531.04,1517.49,1,16.03,24.81,10.01,38.96
3.73s,32.06,2116.66,540.68,1537.49,1,16.00,19.96,10.01,29.94
5.45s,32.00,2148.66,540.68,1557.49,1,15.99,26.61,10.04,29.92
5.62s,31.98,2180.65,549.18,1577.49,1,16.01,26.63,10.03,41.97
3.84s,17.01,2197.66,561.18,1597.49,1,16.02,25.96,10.00,38.99
3.90s,32.03,2229.69,573.16,1617.49,1,16.00,19.96,10.01,29.99
5.54s,32.00,2261.69,573.16,1637.49,1,16.01,26.63,10.00,29.98
3.70s,17.01,2278.70,594.20,1657.49,1,16.01,21.48,7.02,29.96
