time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
2.97s,10.00,10.00,0.00,10.00,0,10.00,119.95,0.04,119.95
3.12s,20.00,30.00,0.00,30.00,0,20.00,119.95,0.06,119.94
2.64s,21.00,51.00,0.00,50.00,0,20.02,119.95,0.04,119.95
3.85s,21.02,72.02,0.00,70.00,0,20.03,119.95,0.06,119.94
4.36s,21.03,93.05,0.00,90.00,0,20.02,119.95,0.05,119.94
6.54s,20.02,113.07,0.00,110.00,0,20.00,119.95,0.06,119.94
3.00s,40.01,153.08,0.00,130.00,0,19.76,119.95,0.04,119.95
4.18s,39.52,192.60,0.00,151.00,1,19.75,37.91,0.04,119.95
4.53s,39.49,232.09,0.00,172.02,1,19.74,29.44,10.57,119.95
6.42s,39.49,271.58,0.00,193.05,1,20.03,27.64,25.68,119.96
6.57s,40.06,311.64,0.00,213.07,2,16.62,27.67,21.11,119.96
7.03s,16.62,328.26,0.00,250.00,2,19.82,31.03,39.72,119.97
9.22s,39.64,367.89,0.00,271.00,3,19.81,32.99,57.99,119.94
9.85s,19.81,387.71,0.00,292.02,3,19.79,32.95,52.65,119.96
19.32s,39.59,427.29,0.00,313.05,3,20.00,31.52,50.01,119.95
6.54s,21.00,448.29,0.00,333.07,3,16.63,27.67,41.58,119.94
7.61s,16.63,464.92,0.00,366.79,4,19.18,31.03,54.46,119.96
6.62s,20.18,485.10,0.00,387.71,4,19.14,31.89,54.66,119.94
5.55s,38.28,523.37,0.00,412.02,4,19.79,32.95,52.65,119.94
3.70s,20.79,544.17,11.75,432.02,4,19.80,32.60,49.51,119.96
12.33s,19.80,563.97,13.40,452.02,3,17.07,28.40,42.89,119.94
5.52s,18.07,582.04,13.40,472.45,3,16.96,28.21,42.37,119.97
4.51s,17.96,600.00,13.53,507.71,4,19.15,30.17,55.69,119.96
5.36s,38.31,638.31,13.53,528.50,4,19.30,32.13,56.08,119.94
4.11s,20.30,658.61,13.53,548.50,4,19.30,32.13,50.71,119.94
13.25s,38.59,697.20,14.04,568.50,3,19.22,30.35,48.05,119.94
5.60s,20.22,717.42,14.32,592.45,3,16.95,28.22,44.25,119.97
7.16s,33.90,751.31,14.32,622.98,4,18.92,31.47,54.49,119.96
