time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
3.49s,10.00,10.00,0.00,10.00,0,10.00,119.95,0.04,119.95
3.15s,11.00,21.00,0.00,21.00,0,11.00,119.95,0.06,119.94
2.90s,12.00,33.00,0.00,33.00,0,12.00,119.95,0.06,119.94
2.06s,24.00,57.00,0.00,53.00,0,20.02,119.95,0.06,119.94
4.12s,40.03,97.03,0.00,73.00,0,20.02,119.96,0.06,119.94
4.42s,40.03,137.06,14.03,93.00,0,20.04,32.99,0.05,18.96
4.80s,40.07,177.13,34.06,113.00,0,20.04,27.50,0.06,18.95
5.38s,40.07,217.20,54.13,133.00,0,19.02,24.49,1.50,18.97
4.45s,38.05,255.25,74.20,153.00,0,16.02,24.49,0.06,19.00
4.91s,32.03,287.28,92.25,173.00,0,16.01,23.98,0.04,18.99
4.48s,32.03,319.31,104.28,193.00,0,16.02,24.00,0.06,19.00
4.49s,32.03,351.34,116.31,213.00,0,16.01,23.96,0.03,18.99
4.44s,32.01,383.35,128.34,233.00,0,16.02,24.00,0.04,18.97
4.27s,32.03,415.38,140.35,253.00,0,16.01,23.96,0.03,18.99
4.47s,32.01,447.40,152.38,273.00,0,16.02,24.00,0.04,18.97
4.63s,32.03,479.43,164.40,293.00,0,16.02,24.00,0.06,19.00
4.43s,32.03,511.46,176.43,313.00,0,16.02,24.00,0.04,18.97
4.42s,32.03,543.49,188.46,333.00,0,16.02,24.00,0.04,18.97
5.05s,32.03,575.52,200.49,353.00,0,16.01,23.98,0.04,18.97
4.43s,32.03,607.55,212.52,373.00,0,16.02,24.00,0.04,18.97
4.66s,32.03,639.58,224.55,393.00,0,16.02,24.00,0.06,19.00
4.42s,32.03,671.61,236.58,413.00,0,16.02,24.01,0.06,19.00
4.62s,32.04,703.65,248.61,433.00,0,16.02,24.01,0.06,19.00
4.51s,32.04,735.69,260.64,453.00,0,16.04,24.01,0.06,19.00
4.87s,32.08,767.76,272.68,473.00,0,16.04,24.02,0.03,18.98
4.65s,32.09,799.85,284.76,493.00,0,16.02,24.00,0.06,19.00
4.69s,32.03,831.88,296.85,513.00,0,16.02,24.00,0.04,18.97
4.46s,32.03,863.91,308.88,533.00,0,16.01,23.98,0.04,18.96
4.69s,32.03,895.94,320.91,553.00,0,16.02,24.00,0.04,18.97
4.95s,32.03,927.97,332.94,573.00,0,16.03,24.01,0.04,18.97
4.62s,32.06,960.03,344.97,593.00,0,16.03,24.01,0.04,18.97
4.83s,32.06,992.09,357.03,613.00,0,16.03,24.01,0.03,19.00
4.55s,32.07,1024.16,369.09,633.00,0,16.01,23.98,0.04,18.99
4.94s,32.01,1056.17,381.15,653.00,0,16.00,23.96,0.04,18.96
4.86s,32.00,1088.17,393.17,673.00,0,16.02,23.96,0.04,18.97
4.56s,32.03,1120.21,405.17,693.00,0,16.03,24.01,0.04,18.97
4.56s,32.06,1152.27,417.20,713.00,0,16.03,24.01,0.04,18.97
4.67s,32.06,1184.33,429.26,733.00,0,16.02,24.00,0.04,18.97
4.62s,32.03,1216.36,441.32,753.00,0,16.01,23.98,0.04,18.97
4.81s,32.03,1248.38,453.35,773.00,0,16.02,24.00,0.04,18.97
4.88s,32.03,1280.42,465.38,793.00,0,16.02,24.00,0.06,19.00
4.92s,32.03,1312.45,477.41,813.00,0,16.02,24.00,0.04,18.97
4.68s,32.03,1344.48,489.44,833.00,0,16.02,24.00,0.04,18.97
4.68s,32.03,1376.51,501.47,853.00,0,16.01,23.98,0.04,18.97
4.70s,32.03,1408.54,513.51,873.00,0,16.01,23.97,0.04,18.98
4.50s,32.02,1440.56,525.53,893.00,0,16.02,24.00,0.04,18.97
4.41s,32.03,1472.59,537.55,913.00,0,16.02,24.00,0.06,19.00
4.44s,32.03,1504.62,549.59,933.00,0,16.02,24.00,0.04,18.97
4.51s,32.03,1536.65,561.62,953.00,0,16.02,24.00,0.04,18.97
4.66s,32.03,1568.68,573.65,973.00,0,16.02,24.00,0.04,18.97
4.61s,32.03,1600.71,585.68,993.00,0,16.02,24.00,0.04,18.97
4.60s,32.03,1632.75,597.71,1013.00,0,16.02,24.00,0.04,18.97
4.62s,32.03,1664.78,609.74,1033.00,0,16.02,24.00,0.04,18.97
4.47s,32.03,1696.81,621.77,1053.00,0,16.02,24.00,0.04,18.97
4.70s,32.03,1728.84,633.80,1073.00,0,16.02,24.00,0.04,18.97
4.75s,32.03,1760.87,645.84,1093.00,0,16.02,24.00,0.04,18.97
4.61s,32.03,1792.90,657.87,1113.00,0,16.02,24.00,0.04,18.97
4.74s,32.03,1824.93,669.90,1133.00,0,16.01,23.98,0.04,18.97
4.80s,32.03,1856.96,681.93,1153.00,0,16.02,24.00,0.04,18.97
4.83s,32.03,1888.99,693.96,1173.00,0,16.02,24.00,0.06,19.00
4.89s,32.03,1921.02,705.99,1193.00,0,16.01,23.98,0.04,18.97
4.65s,32.03,1953.05,718.02,1213.00,0,16.01,23.97,0.04,18.97
4.73s,32.02,1985.07,730.05,1233.00,0,16.01,23.97,0.04,18.98
4.72s,32.01,2017.08,742.07,1253.00,0,16.02,24.00,0.04,18.97
4.71s,32.03,2049.12,754.08,1273.00,0,16.01,23.98,0.03,18.97
4.72s,32.03,2081.14,766.11,1293.00,0,16.02,24.00,0.04,18.97
4.75s,32.03,2113.17,778.14,1313.00,0,16.03,24.01,0.04,18.97
4.55s,32.06,2145.23,790.17,1333.00,0,16.02,24.00,0.06,19.00
4.57s,32.03,2177.27,802.23,1353.00,0,16.02,24.00,0.04,18.97
4.76s,32.03,2209.30,814.26,1373.00,0,16.01,23.98,0.04,18.97
4.63s,32.03,2241.32,826.29,1393.00,0,16.01,23.97,0.04,18.95
4.72s,32.02,2273.35,838.32,1413.00,0,16.01,23.97,0.04,18.98
4.58s,32.01,2305.36,850.34,1433.00,0,16.02,24.00,0.04,18.97
4.99s,32.03,2337.39,862.35,1453.00,0,16.03,24.01,0.04,18.97
4.87s,32.06,2369.45,874.38,1473.00,0,16.03,24.01,0.04,18.97
4.69s,32.06,2401.51,886.45,1493.00,0,16.02,24.00,0.04,18.97
4.76s,32.03,2433.54,898.51,1513.00,0,16.02,24.00,0.04,18.97
4.66s,32.03,2465.57,910.54,1533.00,0,16.02,24.00,0.04,18.97
4.99s,32.03,2497.60,922.57,1553.00,0,16.02,24.00,0.04,18.97
4.85s,32.03,2529.63,934.60,1573.00,0,16.01,23.98,0.04,18.97
5.02s,32.03,2561.66,946.63,1593.00,0,16.02,24.00,0.04,18.97
4.93s,32.03,2593.69,958.66,1613.00,0,16.02,24.00,0.06,19.00
4.72s,32.03,2625.72,970.69,1633.00,0,16.02,24.00,0.04,18.97
4.97s,32.03,2657.76,982.72,1653.00,0,16.01,23.98,0.03,18.97
4.82s,32.03,2689.78,994.75,1673.00,0,16.01,23.97,0.04,18.98
4.74s,32.02,2721.80,1006.78,1693.00,0,16.01,23.97,0.04,18.98
4.90s,32.01,2753.82,1018.80,1713.00,0,16.02,24.00,0.04,18.97
4.74s,32.03,2785.85,1030.81,1733.00,0,16.03,24.01,0.04,18.97
4.90s,32.06,2817.91,1042.84,1753.00,0,16.02,24.00,0.06,19.00
4.98s,32.03,2849.94,1054.90,1773.00,0,16.01,23.98,0.03,18.95
4.78s,32.03,2881.97,1066.94,1793.00,0,16.01,23.97,0.04,18.98
4.88s,32.02,2913.99,1078.96,1813.00,0,16.01,23.97,0.04,18.95
4.67s,32.01,2946.00,1090.98,1833.00,0,16.00,23.96,0.04,18.99
4.77s,32.00,2978.00,1103.00,1853.00,0,16.02,23.96,0.04,18.97
4.96s,32.03,3010.03,1115.00,1873.00,0,16.03,24.01,0.04,18.97
4.77s,32.06,3042.09,1127.00,1893.04,0,16.04,24.01,0.04,18.96
4.67s,32.07,3074.17,1139.00,1913.10,0,16.05,24.03,0.00,18.93
4.73s,32.10,3106.27,1151.04,1933.13,0,16.06,24.03,0.00,18.99
4.74s,32.12,3138.38,1163.08,1953.19,0,16.08,24.07,0.06,19.00
4.64s,32.15,3170.53,1175.19,1973.19,0,16.06,24.06,0.06,19.00
