time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
3.21s,10.00,10.00,0.00,0.04,0,5.03,119.94,0.03,119.94
6.28s,10.05,20.05,0.00,10.00,1,5.03,119.94,0.04,119.94
2.66s,10.05,30.11,0.00,20.05,1,6.69,119.94,0.04,119.95
4.23s,6.69,36.79,0.00,30.13,0,7.54,119.95,0.06,119.94
4.08s,15.08,51.88,0.00,36.80,0,7.54,119.95,0.04,119.94
3.51s,15.08,66.96,0.00,51.88,0,8.39,119.95,0.04,119.95
4.81s,16.78,83.74,0.00,66.96,0,10.07,119.95,0.06,119.94
3.91s,20.14,103.88,0.00,83.74,0,11.77,119.95,0.04,119.94
4.75s,23.53,127.42,0.00,103.77,1,13.39,22.29,0.05,119.95
3.74s,26.79,154.20,0.00,116.83,1,13.02,21.63,3.73,119.95
4.86s,13.02,167.22,0.00,131.88,1,13.01,21.61,11.78,119.95
5.40s,13.01,180.23,0.00,146.96,2,12.64,21.03,15.81,119.96
4.94s,25.29,205.52,0.00,163.77,2,12.05,19.96,22.33,119.95
4.01s,24.09,229.61,0.00,183.77,1,13.39,22.29,20.28,119.96
2.82s,14.39,244.00,0.00,196.88,2,13.01,21.62,16.67,119.96
6.43s,26.01,270.01,0.00,211.88,2,13.03,21.63,26.12,119.96
5.42s,26.07,296.08,0.00,226.99,3,12.66,21.06,31.63,119.95
10.23s,25.32,321.41,0.00,243.77,3,12.00,19.96,31.90,119.97
7.54s,13.00,334.41,0.00,263.77,3,13.39,22.27,36.81,119.96
8.51s,13.39,347.80,0.00,276.90,3,13.02,21.63,33.30,119.94
7.49s,14.02,361.82,0.00,291.88,4,13.02,21.61,32.47,119.95
4.58s,14.02,375.84,4.20,307.00,4,12.65,21.03,31.62,119.95
7.87s,25.29,401.13,14.40,323.77,3,12.01,19.97,31.89,119.97
3.74s,13.01,414.14,14.40,343.77,3,13.41,22.25,36.79,119.96
4.23s,14.41,428.56,14.40,356.90,3,13.02,21.63,33.30,119.96
3.73s,14.02,442.58,14.40,371.90,3,13.00,21.59,32.48,119.94
5.15s,14.00,456.58,14.40,387.00,3,12.65,21.04,31.64,119.97
3.66s,13.65,470.24,14.63,403.77,3,12.00,19.99,31.89,119.97
7.37s,12.00,482.24,14.63,423.77,3,13.38,22.28,36.80,119.96
5.12s,26.75,508.99,14.63,436.90,3,13.02,21.63,33.28,119.96
6.05s,26.04,535.03,14.63,451.90,3,13.02,21.61,32.49,119.96
10.38s,13.02,548.05,14.63,467.01,3,12.66,21.06,31.65,119.96
4.31s,13.66,561.71,14.63,483.80,3,12.02,19.98,31.96,119.94
6.41s,12.02,573.73,14.63,503.80,3,13.40,22.29,36.80,119.96
4.06s,14.40,588.13,14.63,516.93,4,13.02,21.63,33.29,119.97
4.25s,14.02,602.15,18.11,531.90,3,12.98,21.62,32.45,119.96
8.00s,12.98,615.13,18.11,547.01,3,12.64,21.03,31.65,119.96
3.89s,13.64,628.77,18.11,563.80,3,12.01,20.00,31.92,119.96
4.13s,13.01,641.78,18.11,583.80,3,13.39,22.26,36.81,119.97
6.84s,26.78,668.55,18.11,596.93,3,13.01,21.62,33.31,119.96
5.59s,13.01,681.56,18.11,611.90,2,12.98,21.60,31.21,119.97
3.10s,25.96,707.52,18.11,627.01,2,12.64,21.03,28.28,119.96
3.81s,13.64,721.16,18.11,643.81,3,12.01,19.97,31.95,119.94
5.23s,13.01,734.16,18.11,663.80,2,13.43,22.26,35.83,119.96
