time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
3.07s,10.00,10.00,0.00,10.00,0,10.00,119.95,0.04,119.95
3.56s,11.00,21.00,0.00,21.00,0,11.00,119.95,0.06,119.94
3.02s,12.00,33.00,0.00,33.00,0,12.00,119.95,0.06,119.94
2.28s,24.00,57.00,0.00,53.00,0,20.02,119.95,0.06,119.94
4.50s,40.03,97.03,0.00,73.00,0,20.02,119.96,0.06,119.94
4.17s,40.03,137.06,0.00,93.00,1,20.00,35.97,0.04,119.95
3.85s,40.00,177.06,0.00,113.00,1,20.00,27.96,12.06,119.95
6.40s,40.00,217.06,0.00,133.00,2,19.05,26.63,25.35,119.96
5.56s,38.10,255.16,0.00,157.00,2,16.82,27.96,24.08,119.96
4.89s,17.82,272.97,0.00,178.06,2,17.01,28.33,44.07,119.95
5.11s,18.01,290.99,0.00,213.00,3,20.00,32.53,57.48,119.95
5.45s,21.00,311.99,0.00,233.00,3,20.00,33.33,54.97,119.96
8.01s,20.00,331.99,0.00,253.00,4,19.20,32.00,49.98,119.94
9.42s,20.20,352.19,0.00,273.47,3,19.10,30.21,47.75,119.94
4.77s,20.10,372.29,0.00,293.47,3,16.11,26.81,40.50,119.94
8.51s,32.22,404.51,0.00,313.95,3,16.21,26.98,40.73,119.96
9.54s,16.21,420.73,0.00,333.95,3,16.19,26.93,40.50,119.96
8.79s,16.19,436.92,0.00,354.42,3,16.19,26.93,40.72,119.96
7.95s,16.19,453.11,0.00,374.42,3,16.19,26.93,40.49,119.96
8.66s,16.19,469.30,0.00,405.51,3,18.31,30.23,51.35,119.95
6.02s,36.63,505.93,0.00,425.51,3,18.32,30.50,51.12,119.96
4.75s,19.32,525.25,0.00,453.11,3,19.74,32.86,53.15,119.95
3.76s,19.74,544.98,0.00,474.42,2,20.02,33.31,44.92,119.94
5.00s,20.02,565.01,0.00,494.42,3,17.81,29.62,46.00,119.94
6.92s,17.81,582.82,0.00,525.25,3,19.96,33.20,53.80,119.95
2.07s,20.96,603.78,0.00,545.25,2,18.43,30.68,49.85,119.94
5.70s,18.43,622.21,0.00,565.27,2,18.17,30.25,46.27,119.94
4.96s,36.34,658.55,0.00,586.58,2,18.45,30.65,42.37,119.94
4.26s,36.90,695.45,0.00,607.55,2,16.49,27.40,38.51,119.96
6.13s,17.49,712.94,0.00,627.55,2,16.49,27.41,36.21,119.96
6.01s,32.98,745.92,0.00,663.89,2,19.74,31.12,51.80,119.97
5.47s,19.74,765.66,0.00,685.27,3,19.74,32.86,57.74,119.96
7.05s,19.74,785.40,0.00,706.58,3,19.84,32.99,52.70,119.94
15.62s,19.84,805.24,0.00,727.55,3,20.00,31.82,50.04,119.94
7.87s,40.00,845.24,0.00,747.55,3,16.75,27.88,41.85,119.94
4.57s,17.75,862.99,0.00,768.51,3,16.65,27.74,41.73,119.95
8.73s,33.30,896.29,0.00,796.29,3,17.94,29.90,48.75,119.96
10.41s,17.94,914.23,0.00,817.61,3,18.05,30.00,49.13,119.96
5.78s,19.05,933.28,0.00,846.24,3,19.74,32.87,53.18,119.94
4.07s,20.74,954.02,0.00,866.24,3,19.55,32.54,48.90,119.94
7.95s,19.55,973.56,0.00,888.51,4,18.44,30.69,47.28,119.97
8.79s,18.44,992.01,0.00,908.51,4,18.19,30.29,45.46,119.96
8.57s,18.19,1010.20,0.00,930.78,4,16.94,28.15,43.41,119.96
6.72s,33.89,1044.09,0.00,950.78,4,16.92,28.13,42.27,119.94
5.05s,17.92,1062.01,0.00,973.06,4,16.93,28.16,43.42,119.94
10.77s,16.93,1078.94,0.00,993.06,3,16.91,28.13,42.31,119.97
5.85s,17.91,1096.85,0.00,1015.33,3,16.93,28.15,43.44,119.97
6.08s,33.86,1130.70,0.00,1045.09,3,18.86,31.40,52.04,119.95
3.31s,19.86,1150.56,0.00,1067.36,3,18.87,31.40,52.04,119.96
7.22s,37.74,1188.31,0.00,1093.06,3,20.00,33.33,51.83,119.96
8.08s,40.00,1228.31,0.00,1113.06,3,19.55,32.54,48.90,119.94
10.27s,39.09,1267.40,0.00,1135.33,3,18.05,30.04,45.32,119.94
7.36s,19.05,1286.45,0.00,1165.09,3,19.55,32.54,52.45,119.96
9.52s,19.55,1305.99,0.00,1187.36,4,18.88,31.43,52.04,119.95
5.11s,19.88,1325.87,0.00,1208.31,4,19.07,31.71,48.69,119.96
4.78s,20.07,1345.94,0.00,1228.81,4,18.70,31.16,46.77,119.94
8.41s,18.70,1364.64,16.64,1249.56,5,16.92,28.14,42.24,119.95
9.57s,33.83,1398.47,17.76,1269.56,4,16.45,27.37,41.11,119.96
7.79s,32.89,1431.36,18.01,1300.46,4,18.45,30.60,51.33,119.94
8.58s,18.45,1449.81,23.05,1328.31,3,19.90,33.14,58.77,119.97
6.70s,19.90,1469.71,23.05,1348.38,3,19.80,32.90,52.58,119.96
8.15s,19.80,1489.50,23.05,1369.56,4,20.02,33.29,50.02,119.95
4.43s,21.02,1510.53,23.05,1389.56,4,17.84,29.67,44.57,119.96
5.53s,35.68,1546.21,23.05,1420.46,4,18.45,30.61,51.52,119.94
7.51s,18.45,1564.65,25.25,1440.46,4,18.42,30.67,50.93,119.95
9.23s,18.42,1583.07,25.25,1460.96,4,18.30,30.44,47.61,119.97
5.90s,19.30,1602.37,25.25,1481.98,4,18.48,30.73,46.24,119.97
5.85s,36.97,1639.34,28.55,1501.98,4,16.33,27.13,41.07,119.94
8.84s,32.66,1672.00,42.67,1521.98,4,16.34,27.15,40.76,119.94
7.85s,16.34,1688.34,42.67,1541.98,3,16.23,26.97,40.55,119.97
8.71s,17.23,1705.56,42.67,1564.66,3,16.54,27.55,42.73,119.96
5.35s,17.54,1723.10,42.67,1584.66,4,16.55,27.52,42.73,119.97
7.23s,33.11,1756.21,54.68,1604.66,4,16.56,27.52,41.82,119.96
5.94s,33.12,1789.33,67.33,1641.98,2,20.02,31.31,54.48,119.95
3.75s,20.02,1809.35,67.33,1661.98,2,19.49,32.40,51.11,119.97
3.37s,20.49,1829.84,67.33,1684.66,3,20.01,33.29,53.39,119.95
10.20s,21.01,1850.85,67.33,1704.66,3,20.00,31.33,50.03,119.96
