time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
3.27s,10.00,10.00,0.00,10.00,0,10.00,119.95,0.04,119.95
4.05s,20.00,30.00,0.00,30.00,0,20.00,119.95,0.06,119.94
2.88s,21.00,51.00,0.00,50.00,0,20.00,119.95,0.04,119.95
4.93s,40.00,91.00,0.00,70.00,0,20.00,119.96,0.06,119.94
3.86s,40.00,131.00,11.00,90.00,0,20.02,34.46,0.03,18.95
5.13s,40.04,171.04,31.00,110.00,0,20.02,28.95,0.04,18.97
6.58s,40.04,211.08,51.04,130.00,0,19.76,24.50,4.50,18.99
3.70s,20.76,231.84,70.08,151.00,0,16.20,20.59,0.04,10.74
4.91s,32.40,264.25,70.84,171.00,0,16.22,20.99,0.03,10.72
4.08s,17.22,281.46,83.25,191.00,0,19.24,19.97,0.06,9.95
5.73s,20.24,301.70,83.25,211.00,0,17.52,19.99,0.06,9.99
6.32s,17.52,319.22,83.25,231.00,0,18.73,29.99,0.05,9.95
2.75s,37.46,356.68,95.68,251.00,0,17.61,25.00,0.04,9.96
4.73s,35.22,391.90,110.90,271.00,0,18.22,22.50,0.06,9.96
4.10s,36.44,428.34,127.34,291.00,0,18.36,22.47,0.06,9.95
5.05s,36.73,465.07,144.07,311.00,0,18.79,22.49,0.06,9.95
4.30s,37.58,502.65,161.65,331.00,0,17.50,22.49,0.06,9.95
5.40s,35.00,537.65,176.65,351.00,0,17.50,22.49,0.06,9.95
4.19s,35.00,572.65,191.65,371.00,0,17.50,22.49,0.06,9.95
5.09s,35.00,607.65,206.65,391.00,0,17.50,22.49,0.06,9.95
4.76s,35.00,642.65,221.65,411.00,0,17.50,22.49,0.06,9.95
5.62s,35.00,677.65,236.65,431.00,0,17.50,22.49,0.06,9.95
4.91s,35.00,712.65,251.65,451.00,0,17.50,22.49,0.06,9.95
5.25s,35.00,747.65,266.65,471.00,0,17.50,22.49,0.06,9.95
4.56s,35.00,782.65,281.65,491.00,0,17.50,22.49,0.06,9.95
4.70s,35.00,817.65,296.65,511.00,0,17.50,22.49,0.06,9.95
4.60s,35.00,852.65,311.65,531.00,0,17.50,22.49,0.06,9.95
4.79s,35.00,887.65,326.65,551.00,0,17.50,22.49,0.06,9.95
5.36s,35.00,922.65,341.65,571.00,0,17.50,22.49,0.06,9.95
4.89s,35.00,957.65,356.65,591.00,0,17.50,22.49,0.06,9.95
5.11s,35.00,992.65,371.65,611.00,0,17.50,22.49,0.06,9.95
4.97s,35.00,1027.65,386.65,631.00,0,17.50,22.49,0.06,9.95
5.13s,35.00,1062.65,401.65,651.00,0,17.50,22.49,0.06,9.95
5.28s,35.00,1097.65,416.65,671.00,0,17.50,22.49,0.06,9.95
5.39s,35.00,1132.65,431.65,691.00,0,17.50,22.49,0.06,9.95
4.78s,35.00,1167.65,446.65,711.00,0,17.50,22.49,0.06,9.95
4.80s,35.00,1202.65,461.65,731.00,0,17.50,22.49,0.06,9.95
4.81s,35.00,1237.65,476.65,751.00,0,17.50,22.49,0.06,9.95
5.00s,35.00,1272.65,491.65,771.00,0,17.50,22.49,0.06,9.95
4.91s,35.00,1307.65,506.65,791.00,0,17.50,22.49,0.06,9.95
4.88s,35.00,1342.65,521.65,811.00,0,17.50,22.49,0.06,9.95
4.79s,35.00,1377.65,536.65,831.00,0,17.50,22.49,0.06,9.95
5.56s,35.00,1412.65,551.65,851.00,0,17.50,22.49,0.06,9.95
5.11s,35.00,1447.65,566.65,871.00,0,17.50,22.49,0.06,9.95
5.05s,35.00,1482.65,581.65,891.00,0,17.50,22.49,0.06,9.95
5.16s,35.00,1517.65,596.65,911.00,0,17.50,22.49,0.06,9.95
5.17s,35.00,1552.65,611.65,931.00,0,17.50,22.49,0.06,9.95
5.37s,35.00,1587.65,626.65,951.00,0,17.50,22.49,0.06,9.95
5.07s,35.00,1622.65,641.65,971.00,0,17.50,22.49,0.06,9.95
5.22s,35.00,1657.65,656.65,991.00,0,17.50,22.49,0.06,9.95
5.52s,35.00,1692.65,671.65,1011.00,0,17.50,22.49,0.06,9.95
5.11s,35.00,1727.65,686.65,1031.00,0,17.50,22.49,0.06,9.95
5.04s,35.00,1762.65,701.65,1051.00,0,17.50,22.49,0.06,9.95
5.50s,35.00,1797.65,716.65,1071.00,0,17.50,22.49,0.06,9.95
5.68s,35.00,1832.65,731.65,1091.00,0,17.50,22.49,0.06,9.95
5.26s,35.00,1867.65,746.65,1111.00,0,17.50,22.49,0.06,9.95
5.25s,35.00,1902.65,761.65,1131.00,0,17.50,22.49,0.06,9.95
6.16s,35.00,1937.65,776.65,1151.00,0,17.50,22.49,0.06,9.95
5.38s,35.00,1972.65,791.65,1171.00,0,17.50,22.49,0.06,9.95
4.69s,35.00,2007.65,806.65,1191.00,0,17.50,22.49,0.06,9.95
5.24s,35.00,2042.65,821.65,1211.00,0,17.50,22.49,0.06,9.95
5.31s,35.00,2077.65,836.65,1231.00,0,17.50,22.49,0.06,9.95
5.30s,35.00,2112.65,851.65,1251.00,0,17.50,22.49,0.06,9.95
5.29s,35.00,2147.65,866.65,1271.00,0,17.50,22.49,0.06,9.95
5.40s,35.00,2182.65,881.65,1291.00,0,17.50,22.49,0.06,9.95
5.17s,35.00,2217.65,896.65,1311.00,0,17.50,22.49,0.06,9.95
5.16s,35.00,2252.65,911.65,1331.00,0,17.50,22.49,0.06,9.95
5.80s,35.00,2287.65,926.65,1351.00,0,17.50,22.49,0.06,9.95
5.02s,35.00,2322.65,941.65,1371.00,0,17.50,22.49,0.06,9.95
6.14s,35.00,2357.65,956.65,1391.00,0,17.50,22.49,0.06,9.95
5.35s,35.00,2392.65,971.65,1411.00,0,17.50,22.49,0.06,9.95
5.51s,35.00,2427.65,986.65,1431.00,0,17.50,22.49,0.06,9.95
5.84s,35.00,2462.65,1001.65,1451.00,0,17.50,22.49,0.06,9.95
5.14s,35.00,2497.65,1016.65,1471.00,0,17.50,22.49,0.06,9.95
5.69s,35.00,2532.65,1031.65,1491.00,0,17.50,22.49,0.06,9.95
5.95s,35.00,2567.65,1046.65,1511.00,0,17.50,22.49,0.06,9.95
5.88s,35.00,2602.65,1061.65,1531.00,0,17.50,22.49,0.06,9.95
5.83s,35.00,2637.65,1076.65,1551.00,0,17.50,22.49,0.06,9.95
5.54s,35.00,2672.65,1091.65,1571.00,0,17.50,22.49,0.06,9.95
5.46s,35.00,2707.65,1106.65,1591.00,0,17.50,22.49,0.06,9.95
5.39s,35.00,2742.65,1121.65,1611.00,0,17.50,22.49,0.06,9.95
5.02s,35.00,2777.65,1136.65,1631.00,0,17.50,22.49,0.06,9.95
6.08s,35.00,2812.65,1151.65,1651.00,0,17.50,22.49,0.06,9.95
6.05s,35.00,2847.65,1166.65,1671.00,0,17.50,22.49,0.06,9.95
5.82s,35.00,2882.65,1181.65,1691.00,0,17.50,22.49,0.06,9.95
5.45s,35.00,2917.65,1196.65,1711.00,0,17.50,22.49,0.06,9.95
5.41s,35.00,2952.65,1211.65,1731.00,0,17.50,22.49,0.06,9.95
5.60s,35.00,2987.65,1226.65,1751.00,0,17.50,22.49,0.06,9.95
4.79s,35.00,3022.65,1241.65,1771.00,0,17.50,22.49,0.06,9.95
5.85s,35.00,3057.65,1256.65,1791.00,0,17.50,22.49,0.06,9.95
4.82s,35.00,3092.65,1271.65,1811.00,0,17.50,22.49,0.06,9.95
5.39s,35.00,3127.65,1286.65,1831.00,0,17.50,22.49,0.06,9.95
5.39s,35.00,3162.65,1301.65,1851.00,0,17.50,22.49,0.06,9.95
5.59s,35.00,3197.65,1316.65,1871.00,0,17.50,22.49,0.06,9.95
6.18s,35.00,3232.65,1331.65,1891.00,0,17.50,22.49,0.06,9.95
5.48s,35.00,3267.65,1346.65,1911.00,0,17.50,22.49,0.06,9.95
5.32s,35.00,3302.65,1361.65,1931.00,0,17.50,22.49,0.06,9.95
5.23s,35.00,3337.65,1376.65,1951.00,0,17.50,22.49,0.06,9.95
5.56s,35.00,3372.65,1391.65,1971.00,0,17.50,22.49,0.06,9.95
6.03s,35.00,3407.65,1406.65,1991.00,0,17.50,22.49,0.06,9.95
