time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
3.30s,10.00,10.00,0.00,0.04,0,5.03,49.96,0.03,49.96
5.56s,10.05,20.05,0.00,10.00,1,5.03,49.96,0.04,49.96
3.64s,6.03,26.08,0.00,20.11,0,6.72,49.96,0.06,49.95
3.41s,13.43,39.52,0.00,26.10,0,6.73,49.96,0.04,49.96
2.60s,13.46,52.98,0.00,39.53,0,7.92,49.96,0.05,49.96
3.87s,15.85,68.83,0.00,52.99,0,8.99,49.96,0.04,49.95
4.63s,17.99,86.81,0.00,68.83,0,10.71,49.97,0.04,49.95
3.77s,21.41,108.23,0.00,86.81,0,12.15,49.97,0.03,49.96
3.61s,24.31,132.54,0.00,106.13,1,13.32,22.17,0.06,49.96
4.29s,26.64,159.18,0.00,119.56,1,13.32,22.17,5.61,49.96
4.77s,26.64,185.82,0.00,132.99,1,12.85,21.35,15.08,49.95
5.77s,25.69,211.51,0.00,148.84,2,12.41,20.67,15.91,62.67
7.43s,24.81,236.32,0.00,166.81,2,12.15,20.20,26.20,49.95
10.35s,12.15,248.47,0.00,186.15,2,13.32,22.17,36.33,63.49
5.46s,13.32,261.79,0.00,199.59,3,13.33,22.18,33.86,49.96
4.33s,14.33,276.12,0.00,213.00,3,12.83,21.36,32.11,63.11
9.24s,12.83,288.95,0.00,228.85,4,12.46,20.65,31.27,53.37
5.58s,12.46,301.41,7.47,246.82,3,12.13,20.19,33.82,49.95
6.44s,24.27,325.68,7.47,266.16,3,13.32,22.18,37.35,49.96
5.23s,26.65,352.33,7.47,279.59,3,13.33,22.18,33.85,52.05
5.66s,14.33,366.65,7.47,293.00,3,12.84,21.38,32.09,65.27
4.39s,13.84,380.49,7.47,308.85,3,12.45,20.66,31.26,52.05
5.88s,12.45,392.94,7.47,326.82,3,12.16,20.19,33.82,54.89
3.79s,13.16,406.10,7.47,346.16,3,13.34,22.16,37.30,50.33
7.05s,13.34,419.44,7.47,359.63,3,13.38,22.18,33.90,54.32
5.36s,26.75,446.19,7.75,373.00,3,12.83,21.36,32.10,64.70
5.82s,25.66,471.85,7.99,388.85,3,12.45,20.66,31.29,63.58
8.74s,24.90,496.75,7.99,406.83,3,12.15,20.16,33.84,49.94
9.65s,24.29,521.05,7.99,426.16,3,13.32,22.17,37.32,70.96
6.85s,26.63,547.68,7.99,439.65,3,13.33,22.19,33.92,64.68
8.58s,13.33,561.01,7.99,453.01,4,12.88,21.37,32.09,52.00
5.91s,13.88,574.90,18.84,468.87,4,12.42,20.67,31.29,77.87
8.85s,12.42,587.31,27.89,486.83,4,12.18,20.20,33.83,66.68
6.91s,24.36,611.67,34.22,506.16,4,13.30,22.15,37.31,49.96
3.68s,14.30,625.97,41.40,519.65,3,13.33,22.19,33.91,53.50
5.50s,26.66,652.64,42.12,533.02,3,12.84,21.38,32.09,51.51
6.36s,12.84,665.48,42.12,548.87,3,12.41,20.67,31.26,49.95
6.30s,24.82,690.30,42.12,566.87,4,12.18,20.20,33.85,60.39
7.79s,24.35,714.65,44.80,586.16,3,13.32,22.12,37.32,70.18
8.59s,26.65,741.30,44.80,599.67,4,13.36,22.21,33.87,66.44
15.40s,13.36,754.66,52.46,613.02,4,12.83,21.37,32.08,49.96
4.41s,13.83,768.49,52.46,628.87,4,12.40,20.66,31.26,76.76
6.54s,12.40,780.89,61.43,646.87,4,12.16,20.23,33.86,67.20
7.86s,12.16,793.05,67.78,666.16,4,13.31,22.15,37.32,49.96
7.12s,13.31,806.36,75.13,679.67,3,13.34,22.20,33.87,53.77
4.83s,26.69,833.05,75.72,693.05,3,12.86,21.39,32.12,51.55
4.76s,13.86,846.91,75.94,708.87,3,12.43,20.66,31.23,62.10
8.42s,12.43,859.34,75.94,726.87,3,12.14,20.20,33.82,49.95
4.13s,13.14,872.48,75.94,746.18,3,13.31,22.17,37.35,60.81
7.11s,13.31,885.79,75.94,759.70,3,13.33,22.21,33.89,51.26
5.83s,26.66,912.45,75.94,773.05,3,12.84,21.36,32.14,49.95
6.37s,12.84,925.29,75.94,788.88,3,12.44,20.64,31.24,49.97
4.09s,13.44,938.73,75.94,806.88,3,12.14,20.20,33.86,54.61
7.48s,12.14,950.87,75.94,826.18,3,13.33,22.16,37.31,54.66
4.98s,26.66,977.53,75.94,839.70,3,13.35,22.19,33.90,49.96
7.37s,13.35,990.88,75.94,853.05,3,12.84,21.37,32.09,61.89
7.79s,12.84,1003.71,75.94,868.88,3,12.44,20.64,31.23,58.90
5.40s,24.87,1028.58,75.94,886.88,3,12.14,20.20,33.87,53.03
4.43s,13.14,1041.72,75.94,906.18,3,13.30,22.15,37.32,49.96
4.09s,14.30,1056.02,75.94,919.70,3,13.36,22.21,33.91,59.98
5.63s,13.36,1069.38,75.94,933.05,3,12.84,21.36,32.09,59.86
4.47s,13.84,1083.21,75.94,948.90,4,12.46,20.66,31.24,49.94
6.26s,12.46,1095.67,79.69,966.88,3,12.16,20.22,33.87,49.96
7.38s,12.16,1107.83,79.69,986.18,3,13.31,22.13,37.30,49.97
5.18s,26.62,1134.45,79.69,999.70,3,13.36,22.21,33.89,54.56
4.82s,14.36,1148.80,79.69,1013.05,3,12.84,21.37,32.09,49.95
4.52s,13.84,1162.64,79.69,1028.95,2,12.41,20.67,30.29,49.95
