time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
2.87s,10.00,10.00,0.00,0.04,0,5.03,49.96,0.03,49.96
5.92s,10.05,20.05,0.00,10.00,1,5.00,49.96,0.04,49.96
5.20s,10.00,30.05,0.00,20.07,0,6.69,49.96,0.04,49.96
4.82s,13.38,43.43,0.00,30.06,0,7.55,49.96,0.04,49.95
4.53s,15.10,58.53,0.00,43.44,0,8.73,49.96,0.00,49.95
4.87s,17.45,75.98,0.00,58.53,0,9.73,49.97,0.04,49.96
4.68s,19.46,95.44,0.00,75.98,1,11.52,49.96,0.04,49.96
3.51s,23.04,118.48,0.00,95.44,1,13.08,49.96,0.04,49.95
3.77s,26.15,144.64,0.00,110.09,1,13.36,22.22,2.55,49.97
5.99s,26.72,171.36,2.46,126.02,1,13.50,22.48,6.90,31.43
3.99s,14.50,185.86,8.62,146.02,1,14.03,23.29,10.02,29.85
3.68s,28.06,213.91,15.34,166.02,1,14.12,19.97,10.00,25.24
5.06s,28.23,242.14,15.34,186.02,1,15.20,25.28,10.01,26.92
3.75s,30.40,272.54,17.89,206.02,1,16.02,26.62,10.00,38.22
5.13s,32.03,304.57,26.12,226.02,1,16.02,25.16,10.02,38.22
4.49s,16.02,320.59,36.52,246.02,1,16.02,26.00,10.03,38.98
4.95s,16.02,336.61,48.55,266.07,1,16.02,20.00,10.01,29.94
3.26s,32.03,368.64,48.55,286.04,1,16.01,26.66,10.01,29.96
2.49s,32.02,400.66,48.55,306.04,1,16.04,26.67,6.01,49.94
4.89s,32.09,432.74,56.60,322.04,1,15.24,25.32,9.02,37.95
5.31s,30.48,463.23,68.62,342.04,1,15.19,25.32,10.01,34.96
5.24s,15.19,478.42,80.71,362.04,1,15.20,25.22,10.04,34.97
3.89s,30.40,508.82,91.19,382.04,1,15.20,19.99,10.04,27.97
4.92s,30.40,539.22,96.78,402.04,1,16.02,20.00,10.00,29.96
6.36s,16.02,555.23,96.78,422.04,1,16.04,26.67,10.03,29.98
4.07s,32.08,587.31,107.18,442.04,1,20.00,20.00,10.02,29.98
4.25s,21.00,608.31,107.18,462.04,1,16.00,26.66,10.03,29.95
3.43s,32.00,640.31,115.28,482.04,1,16.02,23.96,10.01,30.99
6.10s,32.03,672.34,128.28,502.05,1,16.00,19.99,10.01,29.95
6.58s,16.00,688.35,128.28,522.04,1,16.03,26.63,10.02,29.96
3.95s,32.06,720.41,140.31,542.04,1,20.00,20.00,10.03,29.94
4.15s,21.00,741.41,140.31,562.04,1,16.00,26.66,10.02,29.94
3.38s,16.00,757.41,148.37,582.04,1,16.02,23.96,10.02,31.00
3.37s,32.03,789.44,149.37,602.04,1,16.00,19.98,10.01,29.98
4.18s,32.00,821.44,149.37,622.04,1,16.00,26.66,10.02,30.00
6.02s,32.00,853.44,157.41,642.04,1,16.02,26.62,10.00,41.97
6.09s,32.03,885.47,169.41,662.04,1,16.02,25.98,10.03,38.96
4.42s,17.02,902.49,181.41,682.05,1,16.02,26.00,10.05,38.95
3.75s,32.04,934.53,193.44,702.04,1,16.03,19.98,10.03,29.97
5.55s,32.06,966.59,193.44,722.04,1,16.03,26.64,10.05,29.99
4.87s,32.05,998.64,202.49,742.04,1,16.01,26.64,10.01,38.97
5.92s,32.02,1030.65,214.55,762.04,1,16.01,25.97,10.04,38.98
5.94s,32.02,1062.68,226.60,782.04,1,16.00,25.99,10.02,38.99
5.67s,32.00,1094.68,238.62,802.04,1,16.02,25.98,10.00,38.98
3.72s,17.02,1111.69,250.64,822.04,1,16.02,25.97,10.03,38.96
3.84s,32.04,1143.73,262.64,842.06,1,16.02,19.98,10.03,29.93
5.61s,32.04,1175.77,271.69,862.06,1,16.01,20.00,10.04,29.96
5.71s,32.03,1207.79,283.73,882.08,1,16.02,24.93,0.04,29.91
5.33s,32.04,1239.84,305.71,892.09,1,15.02,19.97,7.53,19.97
