time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
2.82s,10.00,10.00,0.00,10.00,0,10.00,49.96,0.04,49.94
3.57s,20.00,30.00,0.00,30.00,0,20.00,49.94,0.06,49.95
2.57s,21.00,51.00,0.00,50.00,0,20.02,49.94,0.04,49.94
5.28s,40.04,91.04,0.00,70.00,0,20.02,49.96,0.06,49.95
4.24s,40.04,131.08,0.00,90.00,1,20.00,38.98,0.04,49.94
3.86s,40.00,171.08,0.00,110.00,1,20.00,29.49,10.56,49.94
6.16s,40.00,211.08,0.00,130.00,2,19.79,26.67,26.35,49.95
4.83s,39.58,250.66,0.00,151.00,2,16.22,26.99,21.09,49.96
8.63s,16.22,266.87,0.00,190.00,2,20.02,30.47,41.09,55.08
7.10s,40.04,306.91,0.00,210.00,3,20.00,33.30,59.04,60.58
5.96s,40.00,346.91,0.00,230.00,3,20.00,33.30,52.68,60.00
15.21s,20.00,366.91,0.00,250.00,4,19.80,29.96,49.55,116.25
5.62s,20.80,387.72,0.66,271.00,3,16.21,26.97,41.05,115.66
10.26s,16.21,403.93,0.66,305.85,4,19.19,30.49,55.89,100.33
6.64s,19.19,423.12,0.66,327.06,4,19.41,32.32,56.07,58.24
7.33s,38.82,461.95,19.85,347.06,4,19.41,32.30,50.72,95.03
8.68s,19.41,481.36,19.85,367.06,4,19.21,30.58,48.07,57.64
4.42s,20.21,501.57,19.85,387.06,3,16.25,27.03,40.62,94.53
9.70s,16.25,517.82,19.85,421.91,3,18.97,30.00,54.88,77.09
4.47s,19.97,537.79,19.85,443.09,3,19.23,32.00,56.04,81.40
3.47s,20.23,558.03,19.85,463.09,3,19.22,31.97,50.69,74.16
8.09s,38.44,596.47,19.85,487.06,3,20.00,32.54,50.00,71.12
5.11s,40.00,636.47,19.85,507.06,3,17.03,28.38,43.99,89.55
7.74s,34.06,670.53,19.85,536.61,3,18.72,31.12,51.54,70.14
4.62s,19.72,690.25,19.85,556.61,3,18.72,31.13,49.56,113.78
4.65s,19.72,709.97,19.85,583.09,3,19.22,31.96,51.26,107.02
3.82s,20.22,730.18,19.85,607.06,4,20.00,33.30,50.46,60.50
