time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
2.96s,10.00,10.00,0.00,10.00,0,10.00,49.96,0.04,49.94
3.01s,20.00,30.00,0.00,30.00,0,20.00,49.94,0.06,49.95
2.91s,21.00,51.00,0.00,50.00,0,20.02,49.94,0.04,49.94
5.05s,40.04,91.04,0.00,70.00,0,20.02,49.96,0.06,49.95
3.96s,40.04,131.08,11.04,90.00,0,20.02,34.52,0.03,18.99
4.87s,40.04,171.12,31.08,110.00,0,20.02,28.97,0.04,18.97
6.90s,40.04,211.16,51.12,130.00,0,19.76,24.50,4.50,18.99
3.48s,20.76,231.92,70.16,151.00,0,16.20,20.56,0.05,10.73
4.68s,32.40,264.32,70.92,171.00,0,16.22,20.96,0.06,10.74
4.38s,17.22,281.55,83.32,191.00,0,19.24,19.96,0.06,9.97
4.72s,20.24,301.78,83.32,211.00,0,17.52,19.96,0.06,9.96
4.03s,35.03,336.81,83.32,231.00,0,18.73,29.99,0.06,9.97
5.65s,37.46,374.28,103.56,251.00,0,17.61,26.12,0.04,18.96
3.98s,35.22,409.50,128.50,271.00,0,18.22,20.83,0.05,9.96
4.81s,19.22,428.72,128.50,291.00,0,18.13,23.30,0.03,9.97
5.24s,36.27,464.99,128.50,311.00,0,19.24,25.00,0.06,9.97
8.58s,38.48,503.47,143.99,331.00,0,20.00,29.61,0.05,9.97
4.32s,40.00,543.47,162.47,351.00,0,17.54,24.89,0.06,18.95
4.77s,35.08,578.55,173.47,380.00,0,20.01,28.02,0.06,14.47
4.81s,40.02,618.56,193.47,400.00,0,20.01,27.54,0.03,15.99
4.63s,40.03,658.59,208.56,420.00,0,17.81,24.45,0.06,18.97
4.86s,35.62,694.21,228.59,440.00,0,17.83,26.85,0.04,18.99
3.99s,35.65,729.87,248.62,460.00,0,16.04,23.72,0.06,18.97
4.19s,32.07,761.94,264.24,480.00,0,16.02,22.52,0.03,17.70
4.86s,32.03,793.97,279.05,504.92,0,17.01,23.11,0.06,9.97
4.62s,34.03,828.00,293.08,524.92,0,16.99,23.05,0.06,9.97
4.43s,33.98,861.98,307.06,544.92,0,16.99,23.69,0.04,9.95
5.40s,33.98,895.97,321.05,564.92,0,16.99,23.28,0.06,9.97
5.61s,33.98,929.95,335.03,584.92,0,17.50,22.46,0.06,9.97
5.22s,35.00,964.95,350.03,604.92,0,17.50,22.46,0.06,9.97
5.05s,35.00,999.95,365.03,624.92,0,17.50,22.46,0.06,9.97
5.09s,35.00,1034.95,380.03,644.92,0,17.50,22.46,0.06,9.97
5.06s,35.00,1069.95,395.03,664.92,0,17.50,22.46,0.06,9.97
5.21s,35.00,1104.95,410.03,684.92,0,17.50,22.46,0.06,9.97
5.63s,35.00,1139.95,425.03,704.92,0,17.50,22.46,0.06,9.97
5.03s,35.00,1174.95,440.03,724.92,0,17.50,22.46,0.06,9.97
5.15s,35.00,1209.95,455.03,744.92,0,17.50,22.46,0.06,9.97
5.62s,35.00,1244.95,470.03,764.92,0,17.50,22.46,0.06,9.97
5.24s,35.00,1279.95,485.03,784.92,0,17.50,22.46,0.06,9.97
5.02s,35.00,1314.95,500.03,804.92,0,17.50,22.46,0.06,9.97
5.27s,35.00,1349.95,515.03,824.92,0,17.50,22.46,0.06,9.97
5.67s,35.00,1384.95,530.03,844.92,0,17.50,22.46,0.06,9.97
5.31s,35.00,1419.95,545.03,864.92,0,17.50,22.46,0.06,9.97
5.25s,35.00,1454.95,560.03,884.92,0,17.50,22.46,0.06,9.97
5.31s,35.00,1489.95,575.03,904.92,0,17.50,22.46,0.06,9.97
5.13s,35.00,1524.95,590.03,924.92,0,17.50,22.46,0.06,9.97
5.12s,35.00,1559.95,605.03,944.92,0,17.50,22.46,0.06,9.97
5.98s,35.00,1594.95,620.03,964.92,0,17.50,22.46,0.06,9.97
5.34s,35.00,1629.95,635.03,984.92,0,17.50,22.46,0.06,9.97
5.02s,35.00,1664.95,650.03,1004.92,0,17.50,22.46,0.06,9.97
5.15s,35.00,1699.95,665.03,1024.92,0,17.50,22.46,0.06,9.97
5.12s,35.00,1734.95,680.03,1044.92,0,17.50,22.46,0.06,9.97
5.42s,35.00,1769.95,695.03,1064.92,0,17.50,22.46,0.06,9.97
4.44s,35.00,1804.95,710.03,1084.92,0,17.50,22.46,0.06,9.97
5.77s,35.00,1839.95,725.03,1104.92,0,17.50,22.46,0.06,9.97
5.74s,35.00,1874.95,740.03,1124.92,0,17.50,22.46,0.06,9.97
5.25s,35.00,1909.95,755.03,1144.92,0,17.50,22.46,0.06,9.97
5.23s,35.00,1944.95,770.03,1164.92,0,17.50,22.46,0.06,9.97
5.39s,35.00,1979.95,785.03,1184.92,0,17.50,22.46,0.06,9.97
5.93s,35.00,2014.95,800.03,1204.92,0,17.50,22.46,0.06,9.97
5.36s,35.00,2049.95,815.03,1224.92,0,17.50,22.46,0.06,9.97
5.97s,35.00,2084.95,830.03,1244.92,0,17.50,22.46,0.06,9.97
5.96s,35.00,2119.95,845.03,1264.92,0,17.50,22.46,0.06,9.97
5.26s,35.00,2154.95,860.03,1284.92,0,17.50,22.46,0.06,9.97
5.34s,35.00,2189.95,875.03,1304.92,0,17.50,22.46,0.06,9.97
5.85s,35.00,2224.95,890.03,1324.92,0,17.50,22.46,0.06,9.97
5.25s,35.00,2259.95,905.03,1344.92,0,17.50,22.46,0.06,9.97
6.09s,35.00,2294.95,920.03,1364.92,0,17.50,22.46,0.06,9.97
5.22s,35.00,2329.95,935.03,1384.92,0,17.50,22.46,0.06,9.97
5.32s,35.00,2364.95,950.03,1404.92,0,17.50,22.46,0.06,9.97
4.53s,35.00,2399.95,965.03,1424.92,0,17.50,22.46,0.06,9.97
5.65s,35.00,2434.95,980.03,1444.92,0,17.50,22.46,0.06,9.97
5.33s,35.00,2469.95,995.03,1464.92,0,17.50,22.46,0.06,9.97
5.20s,35.00,2504.95,1010.03,1484.92,0,17.50,22.46,0.06,9.97
5.17s,35.00,2539.95,1025.03,1504.92,0,17.50,22.46,0.06,9.97
5.66s,35.00,2574.95,1040.03,1524.92,0,17.50,22.46,0.06,9.97
5.28s,35.00,2609.95,1055.03,1544.92,0,17.50,22.46,0.06,9.97
5.23s,35.00,2644.95,1070.03,1564.92,0,17.50,22.46,0.06,9.97
5.23s,35.00,2679.95,1085.03,1584.92,0,17.50,22.46,0.06,9.97
5.17s,35.00,2714.95,1100.03,1604.92,0,17.50,22.46,0.06,9.97
5.16s,35.00,2749.95,1115.03,1624.92,0,17.50,22.46,0.06,9.97
5.33s,35.00,2784.95,1130.03,1644.92,0,17.50,22.46,0.06,9.97
5.18s,35.00,2819.95,1145.03,1664.92,0,17.50,22.46,0.06,9.97
5.29s,35.00,2854.95,1160.03,1684.92,0,17.50,22.46,0.06,9.97
5.92s,35.00,2889.95,1175.03,1704.92,0,17.50,22.46,0.06,9.97
5.29s,35.00,2924.95,1190.03,1724.92,0,17.50,22.46,0.06,9.97
5.12s,35.00,2959.95,1205.03,1744.92,0,17.50,22.46,0.06,9.97
5.32s,35.00,2994.95,1220.03,1764.92,0,17.50,22.46,0.06,9.97
5.28s,35.00,3029.95,1235.03,1784.92,0,17.50,22.46,0.06,9.97
5.57s,35.00,3064.95,1250.03,1804.92,0,17.50,22.46,0.06,9.97
5.35s,35.00,3099.95,1265.03,1824.92,0,17.50,22.46,0.06,9.97
5.37s,35.00,3134.95,1280.03,1844.92,0,17.50,22.46,0.06,9.97
5.73s,35.00,3169.95,1295.03,1864.92,0,17.50,22.46,0.06,9.97
5.37s,35.00,3204.95,1310.03,1884.92,0,17.50,22.46,0.06,9.97
5.79s,35.00,3239.95,1325.03,1904.92,0,17.50,22.46,0.06,9.97
5.31s,35.00,3274.95,1340.03,1924.92,0,17.50,22.46,0.06,9.97
5.29s,35.00,3309.95,1355.03,1944.92,0,17.50,22.46,0.06,9.97
5.80s,35.00,3344.95,1370.03,1964.92,0,17.50,22.46,0.06,9.97
5.19s,35.00,3379.95,1385.03,1984.92,0,17.50,22.46,0.06,9.97
5.19s,35.00,3414.95,1400.03,2004.92,0,17.50,22.46,0.06,9.97
