time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
4.83s,6.00,6.00,0.00,0.04,0,5.00,119.94,0.06,119.94
5.02s,6.00,12.00,0.00,6.00,1,5.00,119.94,0.06,119.94
3.97s,6.00,18.00,0.00,12.00,1,5.02,119.94,0.06,119.94
4.32s,5.02,23.02,0.00,18.02,0,5.04,119.94,0.04,119.94
4.60s,6.04,29.06,0.00,23.03,0,5.02,119.94,0.00,119.94
4.29s,6.02,35.07,0.00,29.06,0,5.02,119.94,0.05,119.94
4.60s,6.02,41.10,0.00,35.08,0,5.04,119.94,0.02,119.94
4.27s,6.04,47.13,0.00,41.10,0,5.04,119.94,0.04,119.94
4.79s,5.04,52.18,0.00,47.13,1,5.00,119.94,0.05,119.94
3.57s,6.00,58.18,0.00,52.18,1,5.00,119.94,0.05,119.94
4.08s,5.00,63.18,0.00,58.18,1,5.03,119.95,0.06,119.94
3.86s,10.06,73.24,0.00,63.18,1,5.00,119.94,0.03,119.94
4.08s,5.00,78.24,0.00,73.24,1,5.30,119.94,0.04,119.94
3.44s,10.59,88.84,0.00,78.24,1,5.29,119.95,0.06,119.94
3.79s,6.29,95.13,0.00,88.84,1,6.44,119.94,0.06,119.94
3.29s,6.44,101.56,0.00,95.13,1,6.46,119.94,0.05,119.94
5.62s,7.46,109.02,0.00,101.56,1,5.87,119.94,0.04,119.94
4.05s,6.87,115.89,0.00,109.02,1,6.17,119.95,0.04,119.94
4.42s,6.17,122.05,0.00,115.89,1,5.41,119.94,0.04,119.94
4.16s,10.82,132.88,0.00,122.05,1,5.39,119.94,0.04,119.94
4.86s,5.39,138.27,0.00,132.88,1,6.29,119.94,0.04,119.94
3.64s,6.29,144.56,0.00,138.27,1,6.00,119.94,0.03,119.94
5.30s,7.00,151.57,0.00,144.56,1,5.75,119.94,0.04,119.94
4.27s,11.50,163.07,0.00,151.57,1,5.94,119.94,0.04,119.94
4.69s,5.94,169.01,0.00,163.07,1,6.23,119.94,0.04,119.94
3.61s,7.23,176.24,0.00,169.01,1,6.23,119.95,0.06,119.94
4.67s,12.46,188.70,0.00,176.24,1,6.38,119.94,0.04,119.94
4.08s,7.38,196.08,0.00,188.70,1,7.43,119.95,0.03,119.94
3.60s,8.43,204.50,0.00,196.08,1,6.80,119.94,0.05,119.94
3.49s,7.80,212.31,0.00,204.50,1,7.13,119.95,0.05,119.94
3.66s,8.13,220.43,0.00,212.31,1,7.25,119.94,0.04,119.94
4.60s,7.25,227.69,0.00,220.43,1,6.35,119.94,0.05,119.94
3.96s,6.35,234.03,0.00,227.69,1,6.32,119.94,0.05,119.94
3.89s,6.32,240.36,0.00,234.03,1,5.91,119.94,0.05,119.94
