time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
4.56s,6.00,6.00,0.00,0.04,0,5.00,119.94,0.06,119.94
5.79s,6.00,12.00,0.00,6.00,1,5.00,119.94,0.06,119.94
4.68s,6.00,18.00,0.00,12.00,1,5.02,119.94,0.06,119.94
5.01s,6.02,24.02,0.00,18.02,0,5.02,119.94,0.03,119.94
5.48s,6.02,30.04,0.00,24.03,0,5.02,119.94,0.01,119.94
5.67s,5.02,35.06,0.00,30.04,1,5.00,119.94,0.06,119.94
3.72s,10.00,45.06,0.00,35.06,1,5.02,119.94,0.05,119.94
5.45s,5.02,50.08,0.00,45.06,1,5.45,119.95,0.05,119.94
4.39s,5.45,55.53,0.00,50.09,0,5.28,119.94,0.05,119.94
5.28s,10.56,66.09,0.00,55.53,0,5.13,119.94,0.04,119.94
6.35s,5.13,71.22,0.00,66.09,0,6.26,119.94,0.05,119.94
4.94s,7.26,78.48,0.00,71.22,0,5.34,119.95,0.06,119.94
4.80s,5.34,83.82,0.00,78.48,1,5.75,119.94,0.06,119.94
3.54s,6.75,90.57,0.00,83.82,1,5.78,119.94,0.05,119.94
4.16s,6.78,97.35,0.00,90.57,1,5.04,119.94,0.06,119.94
3.93s,6.04,103.40,0.00,97.35,1,5.23,119.94,0.04,119.94
3.79s,5.23,108.62,0.00,103.40,1,5.00,119.94,0.04,119.94
4.17s,5.00,113.62,0.00,108.62,1,5.03,119.94,0.04,119.94
3.46s,5.03,118.66,0.00,113.62,1,5.00,119.94,0.05,119.94
3.45s,10.00,128.66,0.00,118.66,1,5.00,119.95,0.06,119.94
4.24s,5.00,133.66,0.00,128.66,1,5.06,119.94,0.04,119.94
3.68s,10.12,143.78,0.00,133.66,1,5.02,119.95,0.06,119.94
4.94s,6.02,149.80,0.00,143.78,1,6.31,119.94,0.06,119.94
3.70s,6.31,156.11,0.00,149.80,1,6.30,119.94,0.04,119.94
4.88s,7.30,163.41,0.00,156.11,1,5.61,119.94,0.04,119.94
4.28s,5.61,169.02,0.00,163.41,1,5.98,119.94,0.06,119.94
3.92s,5.98,175.00,0.00,169.02,1,5.05,119.94,0.04,119.94
4.16s,5.05,180.05,0.00,175.00,1,5.07,119.94,0.06,119.94
3.95s,6.07,186.12,0.00,180.05,1,5.01,119.94,0.06,119.94
3.83s,5.01,191.13,0.00,186.12,1,5.04,119.94,0.03,119.94
3.78s,6.04,197.17,0.00,191.13,1,5.03,119.94,0.03,119.94
3.78s,10.05,207.22,0.00,197.17,1,5.00,119.94,0.06,119.94
3.82s,6.00,213.22,0.00,207.22,1,5.43,119.94,0.04,119.94
3.65s,6.43,219.66,0.00,213.22,1,5.53,119.94,0.04,119.94
4.29s,11.06,230.72,0.00,219.66,1,5.73,119.94,0.06,119.94
3.95s,6.73,237.45,0.00,230.72,1,6.73,119.94,0.06,119.94
3.98s,7.73,245.18,0.00,237.45,1,6.06,119.94,0.05,119.94
4.11s,7.06,252.24,0.00,245.18,1,6.44,119.94,0.06,119.94
4.52s,7.44,259.67,0.00,252.24,1,6.52,119.94,0.05,119.94
4.34s,6.52,266.19,0.00,259.67,1,5.79,119.94,0.05,119.94
4.56s,5.79,271.98,0.00,266.19,1,5.75,119.94,0.04,119.94
3.98s,11.50,283.49,0.00,272.03,0,5.38,119.94,0.04,119.94
5.75s,5.38,288.87,0.00,283.51,0,6.29,119.95,0.06,119.94
6.12s,7.29,296.16,0.00,288.88,0,5.97,119.94,0.04,119.94
5.65s,11.94,308.09,0.00,296.16,0,6.07,119.95,0.04,119.94
6.57s,6.07,314.16,0.00,308.10,0,7.24,119.95,0.03,119.94
6.46s,8.24,322.40,0.00,314.16,0,6.43,119.94,0.04,119.94
4.63s,7.43,329.83,0.00,322.40,1,6.70,119.94,0.04,119.94
4.53s,6.70,336.54,0.00,329.83,1,6.73,119.94,0.05,119.94
4.65s,7.73,344.27,0.00,336.54,1,5.70,119.95,0.06,119.94
6.21s,11.39,355.66,0.00,344.27,0,6.05,119.95,0.06,119.94
6.25s,6.05,361.71,0.00,355.66,1,6.67,119.95,0.06,119.94
4.40s,7.67,369.39,0.00,361.71,1,6.49,119.94,0.05,119.94
4.95s,6.49,375.88,0.00,369.39,1,6.58,119.95,0.06,119.94
4.51s,7.58,383.47,0.00,375.88,0,6.33,119.95,0.06,119.94
4.44s,7.33,390.80,0.00,383.47,1,5.57,119.94,0.04,119.94
4.28s,5.57,396.38,0.00,390.80,1,5.82,119.94,0.04,119.94
3.66s,11.63,408.01,0.00,396.38,1,5.42,119.95,0.05,119.94
4.28s,5.42,413.43,0.00,408.01,0,6.45,119.95,0.05,119.94
5.15s,7.45,420.88,0.00,413.43,1,6.18,119.95,0.04,119.94
4.88s,12.36,433.25,0.00,420.88,1,6.13,119.94,0.04,119.94
3.78s,6.13,439.38,0.00,433.25,1,7.39,119.95,0.06,119.94
3.95s,7.39,446.77,0.00,439.38,0,6.61,119.95,0.03,119.94
4.77s,6.61,453.38,0.00,446.77,1,6.67,119.95,0.04,119.94
3.90s,6.67,460.05,0.00,453.38,1,6.50,119.94,0.05,119.94
3.66s,7.50,467.55,0.00,460.05,1,5.38,119.95,0.06,119.94
4.21s,5.38,472.94,0.00,467.56,0,5.69,119.94,0.06,119.94
5.77s,6.69,479.62,0.00,472.94,1,5.26,119.94,0.05,119.94
3.98s,5.26,484.89,0.00,479.62,1,5.25,119.94,0.04,119.94
4.27s,5.25,490.14,0.00,484.89,1,5.00,119.95,0.04,119.94
4.20s,10.01,500.14,0.00,490.14,1,5.00,119.95,0.06,119.94
3.64s,5.00,505.15,0.00,500.14,1,5.49,119.94,0.04,119.94
3.46s,10.97,516.12,0.00,505.15,1,5.13,119.94,0.05,119.94
5.46s,6.13,522.25,0.00,516.12,1,6.52,119.94,0.04,119.94
4.00s,7.52,529.77,0.00,522.25,1,6.53,119.95,0.06,119.94
4.83s,7.53,537.30,0.00,529.77,1,6.16,119.94,0.06,119.94
4.72s,6.16,543.46,0.00,537.30,1,6.45,119.94,0.06,119.94
4.35s,7.45,550.91,0.00,543.46,1,5.48,119.94,0.04,119.94
4.92s,6.48,557.39,0.00,550.91,1,5.73,119.94,0.04,119.94
4.34s,11.46,568.86,0.00,557.39,1,5.55,119.94,0.06,119.94
4.45s,6.55,575.41,0.00,568.86,1,6.37,119.94,0.03,119.94
4.39s,7.37,582.78,0.00,575.41,1,6.40,119.94,0.04,119.94
4.41s,6.40,589.17,0.00,582.78,1,6.37,119.94,0.05,119.94
4.45s,6.37,595.55,0.00,589.17,1,6.36,119.94,0.05,119.94
4.43s,7.36,602.90,0.00,595.55,1,5.38,119.94,0.04,119.94
4.92s,5.38,608.28,0.00,602.90,1,5.53,119.94,0.06,119.94
3.87s,11.06,619.34,0.00,608.28,1,5.10,119.94,0.04,119.94
4.31s,6.10,625.44,0.00,619.34,1,6.03,119.94,0.05,119.94
3.65s,7.03,632.48,0.00,625.44,1,6.01,119.94,0.04,119.94
3.90s,12.01,644.49,0.00,632.48,1,6.05,119.94,0.04,119.94
4.17s,7.05,651.54,0.00,644.49,1,7.27,119.95,0.06,119.94
4.08s,14.53,666.07,0.00,651.54,1,6.53,119.94,0.05,119.94
5.52s,6.53,672.60,0.00,666.07,1,8.40,119.95,0.03,119.95
4.12s,16.80,689.40,0.00,672.60,1,8.42,119.95,0.04,119.94
6.34s,8.42,697.82,0.00,689.40,1,9.46,119.95,0.04,119.95
4.11s,10.46,708.28,0.00,697.82,1,9.51,119.95,0.04,119.94
4.59s,9.51,717.79,0.00,708.28,1,8.92,119.95,0.06,119.94
4.28s,9.92,727.72,0.00,717.79,1,9.06,119.95,0.06,119.94
4.17s,9.06,736.77,0.00,727.73,0,7.67,119.95,0.06,119.94
5.87s,8.67,745.44,0.00,736.78,0,7.80,119.95,0.06,119.94
