time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
4.58s,6.00,6.00,0.00,6.00,0,6.00,119.94,0.05,119.95
3.82s,7.00,13.00,0.00,13.00,0,7.00,119.94,0.06,119.94
3.75s,8.00,21.00,0.00,21.00,0,8.00,119.95,0.06,119.94
4.05s,9.00,30.00,0.00,30.00,0,9.00,119.95,0.06,119.94
4.13s,10.00,40.00,0.00,40.00,0,10.00,119.95,0.06,119.94
3.67s,11.00,51.00,0.00,51.00,0,11.00,119.95,0.06,119.94
4.78s,12.00,63.00,0.00,63.00,0,12.00,119.95,0.06,119.94
4.35s,13.00,76.00,0.00,76.00,0,13.00,119.95,0.06,119.94
3.11s,13.00,89.00,0.00,89.00,0,13.00,119.95,0.06,119.94
3.04s,13.00,102.00,0.00,102.00,0,13.00,119.95,0.06,119.94
2.65s,13.00,115.00,0.00,115.00,0,13.00,119.95,0.06,119.94
2.79s,13.00,128.00,0.00,128.00,0,13.00,119.95,0.06,119.94
2.98s,13.00,141.00,0.00,141.00,0,13.00,119.95,0.06,119.94
2.95s,13.00,154.00,0.00,154.00,0,13.00,119.95,0.06,119.94
3.32s,13.00,167.00,0.00,167.00,0,13.00,119.95,0.06,119.94
3.43s,13.00,180.00,0.00,180.00,0,13.00,119.95,0.06,119.94
3.16s,13.00,193.00,0.00,193.00,0,13.00,119.95,0.06,119.94
2.66s,13.00,206.00,0.00,206.00,0,13.00,119.95,0.06,119.94
2.70s,13.00,219.00,0.00,219.00,0,13.00,119.95,0.06,119.94
2.35s,13.00,232.00,0.00,232.00,0,13.00,119.95,0.06,119.94
2.65s,13.00,245.00,0.00,245.00,0,13.00,119.95,0.06,119.94
2.81s,13.00,258.00,0.00,258.00,0,13.00,119.95,0.06,119.94
2.94s,13.00,271.00,0.00,271.00,0,13.00,119.95,0.06,119.94
3.18s,13.00,284.00,0.00,284.00,0,13.00,119.95,0.06,119.94
3.05s,13.00,297.00,0.00,297.00,0,13.00,119.95,0.06,119.94
2.99s,14.00,311.00,0.00,311.00,0,14.00,119.95,0.06,119.94
3.35s,14.00,325.00,0.00,325.00,0,14.00,119.95,0.06,119.94
3.22s,14.00,339.00,0.00,339.00,0,14.00,119.95,0.06,119.94
2.66s,15.00,354.00,0.00,354.00,0,15.00,119.95,0.06,119.94
2.75s,16.00,370.00,0.00,370.00,0,16.00,119.95,0.06,119.94
2.69s,17.00,387.00,0.00,387.00,0,17.00,119.95,0.06,119.94
2.21s,18.00,405.00,0.00,405.00,0,18.00,119.95,0.06,119.94
2.61s,18.00,423.00,0.00,423.00,0,18.00,119.95,0.06,119.94
2.42s,18.00,441.00,0.00,441.00,0,18.00,119.95,0.06,119.94
2.36s,18.00,459.00,0.00,459.00,0,18.00,119.95,0.06,119.94
2.41s,18.00,477.00,0.00,477.00,0,18.00,119.95,0.06,119.94
