time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
4.95s,5.00,5.00,0.00,0.04,0,5.00,119.94,0.04,119.94
3.96s,5.00,10.00,0.00,5.00,0,5.00,119.94,0.06,119.94
2.65s,5.00,15.00,0.00,10.00,0,5.00,119.94,0.06,119.94
2.70s,5.00,20.00,0.00,15.00,1,5.00,119.94,0.06,119.94
2.41s,5.00,25.00,0.00,20.00,1,5.03,119.94,0.04,119.94
2.78s,5.03,30.03,0.00,25.00,1,5.04,119.94,0.05,119.94
3.32s,5.04,35.07,0.00,30.03,0,5.02,119.94,0.00,119.94
3.80s,5.02,40.09,0.00,35.07,0,5.03,119.94,0.00,119.94
4.15s,5.03,45.12,0.00,40.09,0,5.03,119.94,0.01,119.94
3.72s,5.03,50.15,0.00,45.12,1,5.01,119.94,0.05,119.94
3.46s,5.01,55.16,0.00,50.15,1,5.00,119.94,0.06,119.94
3.25s,5.00,60.16,0.00,55.16,1,5.00,119.94,0.05,119.94
3.29s,5.00,65.16,0.00,60.16,1,5.03,119.94,0.04,119.94
2.80s,5.03,70.19,0.00,65.16,1,5.03,119.94,0.05,119.94
3.71s,5.03,75.23,0.00,70.19,1,5.01,119.94,0.03,119.94
3.24s,5.01,80.24,0.00,75.23,1,5.02,119.94,0.02,119.94
3.51s,5.02,85.26,0.00,80.24,1,5.00,119.94,0.04,119.94
3.31s,5.00,90.26,0.00,85.26,1,5.03,119.94,0.04,119.94
3.09s,5.03,95.29,0.00,90.26,1,5.00,119.94,0.06,119.94
3.71s,5.00,100.29,0.00,95.29,1,5.02,119.94,0.03,119.94
3.42s,5.02,105.30,0.00,100.29,1,5.00,119.94,0.05,119.94
3.47s,5.00,110.30,0.00,105.30,1,5.00,119.94,0.05,119.94
3.37s,5.00,115.30,0.00,110.30,1,5.00,119.94,0.05,119.94
3.74s,5.00,120.30,0.00,115.30,1,5.00,119.94,0.02,119.94
3.87s,5.00,125.30,0.00,120.30,1,5.00,119.94,0.02,119.94
3.57s,5.00,130.30,0.00,125.30,1,5.00,119.94,0.06,119.94
3.06s,5.00,135.30,0.00,130.30,1,5.00,119.94,0.06,119.94
3.02s,5.00,140.30,0.00,135.30,1,5.00,119.94,0.06,119.94
3.16s,5.00,145.30,0.00,140.30,1,5.00,119.94,0.06,119.94
3.03s,5.00,150.30,0.00,145.30,1,5.00,119.94,0.06,119.94
3.06s,5.00,155.30,0.00,150.30,1,5.00,119.94,0.06,119.94
3.03s,5.00,160.30,0.00,155.30,1,5.00,119.94,0.06,119.94
3.49s,5.00,165.30,0.00,160.30,1,5.00,119.94,0.06,119.94
3.24s,5.00,170.30,0.00,165.30,1,5.00,119.94,0.06,119.94
2.78s,5.00,175.30,0.00,170.30,1,5.00,119.94,0.06,119.94
2.82s,5.00,180.30,0.00,175.30,1,5.00,119.94,0.06,119.94
2.73s,5.00,185.30,0.00,180.30,1,5.00,119.94,0.06,119.94
3.27s,5.00,190.30,0.00,185.30,1,5.00,119.94,0.06,119.94
2.82s,5.00,195.30,0.00,190.30,1,5.00,119.94,0.06,119.94
2.82s,5.00,200.30,0.00,195.30,1,5.00,119.94,0.06,119.94
3.23s,5.00,205.30,0.00,200.30,1,5.02,119.94,0.06,119.94
2.63s,5.02,210.32,0.00,205.30,1,5.00,119.94,0.01,119.94
2.89s,5.00,215.32,0.00,210.32,1,5.00,119.94,0.03,119.94
2.94s,5.00,220.32,0.00,215.32,1,5.00,119.94,0.02,119.94
2.79s,5.00,225.32,0.00,220.34,0,5.01,119.94,0.02,119.94
2.87s,5.01,230.33,0.00,225.33,0,5.02,119.94,0.06,119.94
3.04s,5.02,235.35,0.00,230.33,0,5.01,119.94,0.06,119.94
3.54s,5.01,240.36,0.00,235.35,0,5.00,119.94,0.01,119.94
3.34s,5.00,245.36,0.00,240.36,1,5.00,119.94,0.02,119.94
2.35s,5.00,250.36,0.00,245.36,1,5.00,119.94,0.03,119.94
3.31s,5.00,255.36,0.00,250.36,1,5.00,119.94,0.03,119.94
3.53s,5.00,260.36,0.00,255.36,0,5.00,119.94,0.00,119.94
3.74s,5.00,265.37,0.00,260.36,1,5.00,119.94,0.01,119.94
2.97s,5.00,270.37,0.00,265.37,1,5.00,119.94,0.01,119.94
3.60s,5.00,275.37,0.00,270.37,1,5.00,119.94,0.00,119.94
3.47s,5.00,280.37,0.00,275.37,1,5.00,119.94,0.01,119.94
3.64s,5.00,285.37,0.00,280.39,0,5.00,119.94,0.00,119.94
3.90s,5.00,290.38,0.00,285.38,0,5.00,119.94,0.06,119.94
3.55s,5.00,295.38,0.00,290.38,0,5.00,119.94,0.01,119.94
3.45s,5.00,300.38,0.00,295.38,0,5.00,119.94,0.00,119.94
3.96s,5.00,305.38,0.00,300.38,1,5.03,119.94,0.04,119.94
3.24s,5.03,310.41,0.00,305.38,1,5.02,119.94,0.06,119.94
3.62s,5.02,315.43,0.00,310.41,1,5.00,119.94,0.05,119.94
3.17s,5.00,320.43,0.00,315.43,1,5.01,119.94,0.03,119.94
3.39s,5.01,325.44,0.00,320.45,0,5.03,119.94,0.06,119.94
3.32s,5.03,330.47,0.00,325.45,0,5.03,119.95,0.06,119.94
3.46s,5.03,335.50,0.00,330.48,0,5.01,119.94,0.01,119.94
3.61s,5.01,340.51,0.00,335.50,0,5.03,119.94,0.00,119.94
2.99s,5.03,345.54,0.00,340.51,1,5.01,119.94,0.05,119.94
3.68s,5.01,350.55,0.00,345.54,1,5.00,119.94,0.04,119.94
3.34s,5.00,355.55,0.00,350.55,1,5.01,119.94,0.03,119.94
3.03s,5.01,360.56,0.00,355.55,0,5.03,119.94,0.06,119.94
3.65s,5.03,365.58,0.00,360.56,1,5.03,119.94,0.04,119.94
3.57s,5.03,370.61,0.00,365.58,1,5.00,119.94,0.04,119.94
3.12s,5.00,375.61,0.00,370.61,1,5.03,119.94,0.01,119.94
3.08s,5.03,380.64,0.00,375.61,1,5.00,119.94,0.03,119.94
2.99s,5.00,385.64,0.00,380.64,1,5.01,119.94,0.03,119.94
2.93s,5.01,390.65,0.00,385.64,1,5.00,119.94,0.03,119.94
3.05s,5.00,395.65,0.00,390.65,1,5.00,119.94,0.04,119.94
2.97s,5.00,400.65,0.00,395.65,1,5.00,119.94,0.04,119.94
2.93s,5.00,405.65,0.00,400.65,1,5.00,119.94,0.01,119.94
3.11s,5.00,410.66,0.00,405.65,1,5.00,119.94,0.01,119.94
2.78s,5.00,415.66,0.00,410.66,1,5.00,119.94,0.01,119.94
3.09s,5.00,420.66,0.00,415.66,1,5.00,119.94,0.01,119.94
2.93s,5.00,425.66,0.00,420.66,1,5.00,119.94,0.06,119.94
2.75s,5.00,430.66,0.00,425.66,1,5.00,119.94,0.00,119.94
2.92s,5.00,435.67,0.00,430.66,1,5.00,119.94,0.00,119.94
3.27s,5.00,440.67,0.00,435.67,1,5.00,119.94,0.01,119.94
3.07s,5.00,445.67,0.00,440.67,1,5.00,119.94,0.00,119.94
2.79s,5.00,450.67,0.00,445.67,1,5.00,119.94,0.01,119.94
2.93s,5.00,455.67,0.00,450.67,1,5.00,119.94,0.01,119.94
3.09s,5.00,460.67,0.00,455.67,1,5.00,119.94,0.00,119.94
2.71s,5.00,465.67,0.00,460.67,1,5.00,119.94,0.00,119.94
2.79s,5.00,470.67,0.00,465.67,1,5.00,119.94,0.00,119.94
2.57s,5.00,475.67,0.00,470.67,1,5.00,119.94,0.06,119.94
2.62s,5.00,480.67,0.00,475.67,1,5.00,119.94,0.06,119.94
3.27s,5.00,485.67,0.00,480.67,1,5.00,119.94,0.06,119.94
2.97s,5.00,490.67,0.00,485.67,1,5.00,119.94,0.06,119.94
2.72s,5.00,495.67,0.00,490.67,1,5.00,119.94,0.06,119.94
2.94s,5.00,500.67,0.00,495.67,1,5.00,119.94,0.06,119.94
