time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
4.47s,5.00,5.00,0.00,0.04,0,5.00,119.94,0.04,119.94
3.90s,5.00,10.00,0.00,5.01,0,5.00,119.94,0.04,119.94
2.74s,5.00,15.00,0.00,10.00,0,5.00,119.94,0.06,119.94
2.53s,5.00,20.00,0.00,15.00,0,5.00,119.94,0.06,119.94
2.19s,5.00,25.00,0.00,20.00,0,5.02,119.94,0.06,119.94
3.07s,5.02,30.02,0.00,25.00,1,5.02,119.94,0.03,119.94
3.03s,5.02,35.04,0.00,30.02,1,5.00,119.94,0.03,119.94
3.26s,5.00,40.04,0.00,35.04,1,5.02,119.94,0.00,119.94
2.34s,5.02,45.06,0.00,40.04,1,5.00,119.94,0.04,119.94
3.00s,5.00,50.06,0.00,45.06,1,5.00,119.94,0.06,119.94
2.72s,5.00,55.06,0.00,50.06,1,5.00,119.94,0.04,119.94
3.10s,5.00,60.06,0.00,55.06,1,5.00,119.94,0.02,119.94
3.27s,5.00,65.06,0.00,60.06,1,5.00,119.94,0.02,119.94
3.38s,5.00,70.06,0.00,65.06,1,5.00,119.94,0.06,119.94
3.06s,5.00,75.06,0.00,70.06,1,5.00,119.94,0.06,119.94
3.38s,5.00,80.06,0.00,75.06,1,5.00,119.94,0.06,119.94
3.45s,5.00,85.06,0.00,80.06,1,5.00,119.94,0.06,119.94
2.90s,5.00,90.06,0.00,85.06,1,5.00,119.94,0.06,119.94
2.92s,5.00,95.06,0.00,90.06,1,5.00,119.94,0.06,119.94
2.95s,5.00,100.06,0.00,95.06,1,5.00,119.94,0.06,119.94
3.16s,5.00,105.06,0.00,100.06,1,5.00,119.94,0.06,119.94
3.28s,5.00,110.06,0.00,105.06,1,5.00,119.94,0.06,119.94
2.84s,5.00,115.06,0.00,110.06,1,5.00,119.94,0.06,119.94
2.76s,5.00,120.06,0.00,115.06,1,5.00,119.94,0.06,119.94
3.10s,5.00,125.06,0.00,120.06,1,5.00,119.94,0.06,119.94
3.33s,5.00,130.06,0.00,125.06,1,5.00,119.94,0.06,119.94
3.43s,5.00,135.06,0.00,130.06,1,5.00,119.94,0.06,119.94
3.09s,5.00,140.06,0.00,135.06,1,5.00,119.94,0.06,119.94
3.05s,5.00,145.06,0.00,140.06,1,5.00,119.94,0.06,119.94
