time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
4.36s,5.00,5.00,0.00,5.00,0,5.00,119.94,0.04,119.94
3.72s,5.00,10.00,0.00,10.00,0,5.00,119.94,0.06,119.94
2.50s,5.00,15.00,0.00,15.00,0,5.00,119.94,0.06,119.94
2.37s,5.00,20.00,0.00,20.00,0,5.00,119.94,0.06,119.94
2.41s,5.00,25.00,0.00,25.00,0,5.00,119.94,0.06,119.94
2.62s,5.00,30.00,0.00,30.00,0,5.00,119.94,0.06,119.94
2.55s,5.00,35.00,0.00,35.00,0,5.00,119.94,0.06,119.94
2.57s,5.00,40.00,0.00,40.00,0,5.00,119.94,0.06,119.94
2.46s,5.00,45.00,0.00,45.00,0,5.00,119.94,0.06,119.94
2.34s,5.00,50.00,0.00,50.00,0,5.00,119.94,0.06,119.94
2.52s,5.00,55.00,0.00,55.00,0,5.00,119.94,0.06,119.94
2.70s,5.00,60.00,0.00,60.00,0,5.00,119.94,0.06,119.94
2.91s,5.00,65.00,0.00,65.00,0,5.00,119.94,0.06,119.94
2.68s,5.00,70.00,0.00,70.00,0,5.00,119.94,0.06,119.94
2.62s,5.00,75.00,0.00,75.00,0,5.00,119.94,0.06,119.94
2.52s,5.00,80.00,0.00,80.00,0,5.00,119.94,0.06,119.94
2.61s,5.00,85.00,0.00,85.00,0,5.00,119.94,0.06,119.94
2.47s,5.00,90.00,0.00,90.00,0,5.00,119.94,0.06,119.94
2.33s,5.00,95.00,0.00,95.00,0,5.00,119.94,0.06,119.94
2.33s,5.00,100.00,0.00,100.00,0,5.00,119.94,0.06,119.94
2.35s,5.00,105.00,0.00,105.00,0,5.00,119.94,0.06,119.94
2.25s,5.00,110.00,0.00,110.00,0,5.00,119.94,0.06,119.94
2.38s,5.00,115.00,0.00,115.00,0,5.00,119.94,0.06,119.94
2.29s,5.00,120.00,0.00,120.00,0,5.00,119.94,0.06,119.94
2.48s,5.00,125.00,0.00,125.00,0,5.00,119.94,0.06,119.94
3.02s,5.00,130.00,0.00,130.00,0,5.00,119.94,0.06,119.94
3.66s,5.00,135.00,0.00,135.00,0,5.00,119.94,0.06,119.94
3.52s,5.00,140.00,0.00,140.00,0,5.00,119.94,0.06,119.94
3.56s,5.00,145.00,0.00,145.00,0,5.00,119.94,0.06,119.94
3.42s,5.00,150.00,0.00,150.00,0,5.00,119.94,0.06,119.94
3.41s,5.00,155.00,0.00,155.00,0,5.00,119.94,0.06,119.94
2.80s,5.00,160.00,0.00,160.00,0,5.00,119.94,0.06,119.94
2.60s,5.00,165.00,0.00,165.00,0,5.00,119.94,0.06,119.94
2.74s,5.00,170.00,0.00,170.00,0,5.00,119.94,0.06,119.94
2.69s,5.00,175.00,0.00,175.00,0,5.00,119.94,0.06,119.94
2.55s,5.00,180.00,0.00,180.00,0,5.00,119.94,0.06,119.94
2.51s,5.00,185.00,0.00,185.00,0,5.00,119.94,0.06,119.94
2.63s,5.00,190.00,0.00,190.00,0,5.00,119.94,0.06,119.94
2.27s,5.00,195.00,0.00,195.00,0,5.00,119.94,0.06,119.94
2.33s,5.00,200.00,0.00,200.00,0,5.00,119.94,0.06,119.94
2.33s,5.00,205.00,0.00,205.00,0,5.00,119.94,0.06,119.94
2.37s,5.00,210.00,0.00,210.00,0,5.00,119.94,0.06,119.94
2.35s,5.00,215.00,0.00,215.00,0,5.00,119.94,0.06,119.94
2.29s,5.00,220.00,0.00,220.00,0,5.00,119.94,0.06,119.94
2.42s,5.00,225.00,0.00,225.00,0,5.00,119.94,0.06,119.94
2.44s,5.00,230.00,0.00,230.00,0,5.00,119.94,0.06,119.94
2.36s,5.00,235.00,0.00,235.00,0,5.00,119.94,0.06,119.94
2.33s,5.00,240.00,0.00,240.00,0,5.00,119.94,0.06,119.94
2.32s,5.00,245.00,0.00,245.00,0,5.00,119.94,0.06,119.94
2.22s,5.00,250.00,0.00,250.00,0,5.00,119.94,0.06,119.94
2.46s,5.00,255.00,0.00,255.00,0,5.00,119.94,0.06,119.94
2.94s,5.00,260.00,0.00,260.00,0,5.00,119.94,0.06,119.94
2.80s,5.00,265.00,0.00,265.00,0,5.00,119.94,0.06,119.94
2.75s,5.00,270.00,0.00,270.00,0,5.00,119.94,0.06,119.94
2.98s,5.00,275.00,0.00,275.00,0,5.00,119.94,0.06,119.94
2.69s,5.00,280.00,0.00,280.00,0,5.00,119.94,0.06,119.94
2.80s,5.00,285.00,0.00,285.00,0,5.00,119.94,0.06,119.94
3.11s,5.00,290.00,0.00,290.00,0,5.00,119.94,0.06,119.94
2.69s,5.00,295.00,0.00,295.00,0,5.00,119.94,0.06,119.94
2.72s,5.00,300.00,0.00,300.00,0,5.00,119.94,0.06,119.94
2.82s,5.00,305.00,0.00,305.00,0,5.00,119.94,0.06,119.94
2.79s,5.00,310.00,0.00,310.00,0,5.00,119.94,0.06,119.94
2.52s,5.00,315.00,0.00,315.00,0,5.00,119.94,0.06,119.94
2.60s,5.00,320.00,0.00,320.00,0,5.00,119.94,0.06,119.94
2.66s,5.00,325.00,0.00,325.00,0,5.00,119.94,0.06,119.94
2.61s,5.00,330.00,0.00,330.00,0,5.00,119.94,0.06,119.94
2.55s,5.00,335.00,0.00,335.00,0,5.00,119.94,0.06,119.94
2.58s,5.00,340.00,0.00,340.00,0,5.00,119.94,0.06,119.94
2.68s,5.00,345.00,0.00,345.00,0,5.00,119.94,0.06,119.94
2.71s,5.00,350.00,0.00,350.00,0,5.00,119.94,0.06,119.94
2.81s,5.00,355.00,0.00,355.00,0,5.00,119.94,0.06,119.94
2.57s,5.00,360.00,0.00,360.00,0,5.00,119.94,0.06,119.94
2.64s,5.00,365.00,0.00,365.00,0,5.00,119.94,0.06,119.94
2.75s,5.00,370.00,0.00,370.00,0,5.00,119.94,0.06,119.94
2.65s,5.00,375.00,0.00,375.00,0,5.00,119.94,0.06,119.94
2.55s,5.00,380.00,0.00,380.00,0,5.00,119.94,0.06,119.94
2.31s,5.00,385.00,0.00,385.00,0,5.00,119.94,0.06,119.94
2.38s,5.00,390.00,0.00,390.00,0,5.00,119.94,0.06,119.94
2.41s,5.00,395.00,0.00,395.00,0,5.00,119.94,0.06,119.94
2.41s,5.00,400.00,0.00,400.00,0,5.00,119.94,0.06,119.94
2.34s,5.00,405.00,0.00,405.00,0,5.00,119.94,0.06,119.94
2.36s,5.00,410.00,0.00,410.00,0,5.00,119.94,0.06,119.94
2.39s,5.00,415.00,0.00,415.00,0,5.00,119.94,0.06,119.94
2.23s,5.00,420.00,0.00,420.00,0,5.00,119.94,0.06,119.94
2.45s,5.00,425.00,0.00,425.00,0,5.00,119.94,0.06,119.94
2.45s,5.00,430.00,0.00,430.00,0,5.00,119.94,0.06,119.94
2.39s,5.00,435.00,0.00,435.00,0,5.00,119.94,0.06,119.94
2.34s,5.00,440.00,0.00,440.00,0,5.00,119.94,0.06,119.94
2.44s,5.00,445.00,0.00,445.00,0,5.00,119.94,0.06,119.94
2.34s,5.00,450.00,0.00,450.00,0,5.00,119.94,0.06,119.94
2.23s,5.00,455.00,0.00,455.00,0,5.00,119.94,0.06,119.94
2.40s,5.00,460.00,0.00,460.00,0,5.00,119.94,0.06,119.94
2.41s,5.00,465.00,0.00,465.00,0,5.00,119.94,0.06,119.94
2.56s,5.00,470.00,0.00,470.00,0,5.00,119.94,0.06,119.94
2.28s,5.00,475.00,0.00,475.00,0,5.00,119.94,0.06,119.94
2.44s,5.00,480.00,0.00,480.00,0,5.00,119.94,0.06,119.94
2.37s,5.00,485.00,0.00,485.00,0,5.00,119.94,0.06,119.94
2.44s,5.00,490.00,0.00,490.00,0,5.00,119.94,0.06,119.94
2.37s,5.00,495.00,0.00,495.00,0,5.00,119.94,0.06,119.94
2.53s,5.00,500.00,0.00,500.00,0,5.00,119.94,0.06,119.94
