time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
273.82ms,6.56,6.56,0.00,0.00,0,5.00,120.00,0.12,120.00,0.00,1.19,5.33,6.56
251.72ms,7.50,14.06,0.00,6.56,1,5.33,120.00,0.50,120.00,0.00,3.72,5.16,7.50
206.50ms,9.84,23.91,0.00,14.15,0,5.06,120.00,0.46,120.00,0.00,8.77,4.27,9.76
166.93ms,1.00,24.91,0.00,23.91,1,5.98,120.00,0.25,120.00,0.00,1.00,1.00,1.00
306.17ms,8.91,33.81,0.00,24.95,0,6.15,120.00,0.30,120.00,0.00,3.93,8.86,8.86
223.53ms,8.91,42.72,0.00,33.83,0,5.93,120.00,0.49,120.00,0.00,7.07,7.50,8.88
213.47ms,10.78,53.50,0.00,42.73,0,6.12,120.00,0.49,120.00,0.00,10.70,5.05,10.77
218.15ms,1.00,54.50,0.00,53.50,0,7.27,120.00,0.50,120.00,0.00,0.96,0.50,1.00
319.98ms,9.84,64.34,0.00,54.50,0,7.32,120.00,0.50,120.00,0.00,3.70,9.84,9.84
225.52ms,9.84,74.19,0.00,64.34,0,6.77,120.00,0.50,120.00,0.00,7.53,8.92,9.84
188.64ms,11.25,85.44,0.00,74.19,1,6.68,120.00,0.50,120.00,0.00,11.21,6.68,11.25
171.06ms,1.00,86.44,0.00,85.44,1,7.98,120.00,0.44,120.00,0.00,0.72,1.00,1.00
275.98ms,10.31,96.75,0.00,86.44,1,8.00,120.00,0.50,120.00,0.00,3.41,10.31,10.31
231.73ms,10.78,107.53,0.00,96.75,1,7.45,120.00,0.50,120.00,0.00,7.70,10.11,10.78
204.82ms,11.72,119.25,0.00,107.53,1,7.36,120.00,0.50,120.00,0.00,11.29,7.32,11.72
191.05ms,1.00,120.25,0.00,119.25,1,8.20,120.00,0.45,120.00,0.00,0.97,1.00,1.00
250.29ms,11.25,131.50,0.00,120.25,1,8.20,120.00,0.50,120.00,0.00,3.75,11.25,11.25
234.12ms,11.25,142.75,0.00,131.50,1,7.75,120.00,0.50,120.00,0.00,8.18,10.55,11.25
210.19ms,12.19,154.94,0.00,142.75,1,7.83,120.00,0.50,120.00,0.00,11.84,7.62,12.19
192.02ms,1.00,155.94,0.00,154.94,1,8.92,120.00,0.50,120.00,0.00,0.97,1.00,1.00
297.42ms,11.72,167.66,0.00,155.94,1,8.67,120.00,0.27,120.00,0.00,3.88,11.72,11.72
234.77ms,11.72,179.38,0.00,167.66,1,7.98,120.00,0.50,120.00,0.00,8.51,10.99,11.72
227.72ms,12.66,192.03,0.00,179.38,1,7.89,120.00,0.50,120.00,0.00,12.45,7.91,12.66
198.55ms,1.00,193.03,0.00,192.03,1,9.27,120.00,0.25,120.00,0.00,0.97,1.00,1.00
300.27ms,11.72,204.75,0.00,193.03,1,9.20,120.00,0.50,120.00,0.00,3.53,11.72,11.72
239.46ms,12.19,216.94,0.00,204.75,1,8.47,120.00,0.28,120.00,0.00,8.46,11.81,12.19
225.48ms,13.12,230.06,0.00,216.94,1,8.04,120.00,0.50,120.00,0.00,12.77,8.20,13.12
164.84ms,1.00,231.06,0.00,230.06,1,9.51,120.00,0.25,120.00,0.00,1.00,1.00,1.00
313.95ms,12.19,243.25,0.00,231.06,1,9.45,120.00,0.50,120.00,0.00,3.76,12.19,12.19
249.57ms,12.66,255.91,0.00,243.25,1,8.81,120.00,0.50,120.00,0.00,8.78,12.26,12.66
227.43ms,13.12,269.03,0.00,255.91,1,8.54,120.00,0.50,120.00,0.00,12.92,8.61,13.12
175.82ms,1.00,270.03,0.00,269.03,1,9.49,120.00,0.26,120.00,0.00,1.00,1.00,1.00
381.64ms,12.66,282.69,0.00,270.16,0,9.70,120.00,0.42,120.00,0.00,4.01,12.53,12.53
256.00ms,12.66,295.34,0.00,282.75,0,8.95,120.00,0.47,120.00,0.00,8.94,12.20,12.59
249.34ms,13.59,308.94,0.00,295.38,0,8.70,120.00,0.48,120.00,0.00,13.52,7.63,13.56
196.69ms,1.00,309.94,0.00,308.95,0,9.77,120.00,0.49,120.00,0.00,0.94,0.49,0.98
344.66ms,12.66,322.59,0.00,309.95,0,9.79,120.00,0.50,120.00,0.00,3.94,12.65,12.65
256.60ms,13.12,335.72,0.00,322.60,0,8.94,120.00,0.50,120.00,0.00,9.04,12.71,13.12
273.44ms,13.59,349.31,0.00,335.72,0,8.61,120.00,0.50,120.00,0.00,13.33,7.64,13.59
189.74ms,1.00,350.31,0.00,349.31,0,10.20,120.00,0.50,120.00,0.00,0.72,0.50,1.00
320.71ms,13.12,363.44,0.00,350.31,1,10.06,120.00,0.50,120.00,0.00,4.23,13.12,13.12
240.40ms,13.12,376.56,0.00,363.44,1,8.91,120.00,0.50,120.00,0.00,9.26,12.71,13.12
209.66ms,13.59,390.16,0.00,376.56,1,8.80,120.00,0.50,120.00,0.00,13.20,8.92,13.59
179.42ms,1.00,391.16,0.00,390.16,1,9.96,120.00,0.28,120.00,0.00,0.97,1.00,1.00
339.80ms,13.12,404.28,0.00,391.28,0,10.16,120.00,0.29,120.00,0.00,4.16,13.00,13.00
245.38ms,13.12,417.41,0.00,404.34,0,8.92,120.00,0.47,120.00,0.00,9.38,12.65,13.06
234.78ms,13.59,431.00,0.00,417.44,0,9.02,120.00,0.48,120.00,0.00,13.18,8.05,13.56
195.83ms,1.00,432.00,0.00,431.01,0,10.20,120.00,0.49,120.00,0.00,0.71,0.49,0.99
332.00ms,13.12,445.12,0.00,432.01,0,9.93,120.00,0.50,120.00,0.00,4.17,13.12,13.12
256.93ms,13.12,458.25,0.00,445.13,0,9.06,120.00,0.50,120.00,0.00,9.04,12.71,13.12
247.46ms,13.59,471.84,0.00,458.25,0,9.02,120.00,0.50,120.00,0.00,13.30,8.07,13.59
186.12ms,1.00,472.84,0.00,471.84,1,10.20,120.00,0.42,120.00,0.00,0.97,1.00,1.00
293.38ms,13.12,485.97,0.00,472.84,1,9.96,120.00,0.31,120.00,0.00,4.00,13.12,13.12
223.24ms,13.12,499.09,0.00,485.97,1,8.93,120.00,0.34,120.00,0.00,9.26,12.71,13.12
205.62ms,13.59,512.69,0.00,499.09,1,8.75,120.00,0.50,120.00,0.00,13.45,8.92,13.59
179.40ms,1.00,513.69,0.00,512.69,1,9.96,120.00,0.50,120.00,0.00,0.97,1.00,1.00
281.84ms,13.12,526.81,0.00,513.69,1,10.12,120.00,0.34,120.00,0.00,3.77,13.12,13.12
248.63ms,13.12,539.94,0.00,526.81,1,8.91,120.00,0.50,120.00,0.00,9.38,12.71,13.12
207.97ms,13.59,553.53,0.00,539.94,1,8.92,120.00,0.50,120.00,0.00,13.20,8.92,13.59
179.56ms,1.00,554.53,0.00,553.53,1,9.96,120.00,0.50,120.00,0.00,0.97,1.00,1.00
306.78ms,13.12,567.66,0.00,554.53,1,10.16,120.00,0.50,120.00,0.00,3.99,13.12,13.12
230.00ms,13.12,580.78,0.00,567.66,1,8.99,120.00,0.50,120.00,0.00,9.26,12.71,13.12
217.75ms,13.59,594.38,0.00,580.78,1,8.92,120.00,0.45,120.00,0.00,13.45,8.92,13.59
175.33ms,1.00,595.38,0.00,594.38,1,10.21,120.00,0.25,120.00,0.00,0.97,1.00,1.00
295.94ms,13.12,608.50,0.00,595.38,1,10.16,120.00,0.50,120.00,0.00,4.10,13.12,13.12
249.63ms,13.12,621.62,0.00,608.50,1,9.17,120.00,0.50,120.00,0.00,9.26,12.71,13.12
214.24ms,13.59,635.22,0.00,621.62,1,8.80,120.00,0.50,120.00,0.00,13.33,8.92,13.59
