time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
16.87s,5.00,5.00,0.00,0.00,0,5.00,120.00,0.47,120.00,0.00,0.00,5.00,5.00
24.70s,6.56,11.56,0.00,5.25,0,5.33,120.00,0.12,120.00,0.00,1.45,5.13,6.31
19.62s,3.88,15.44,0.00,11.56,1,5.31,120.00,0.31,120.00,0.00,0.00,3.88,3.88
17.02s,7.97,23.41,0.00,15.44,1,5.00,120.00,0.43,120.00,0.00,3.30,6.47,7.97
30.68s,6.56,29.97,0.00,23.41,1,5.12,120.00,0.50,120.00,0.00,6.16,5.33,6.56
15.32s,1.00,30.97,0.00,29.97,1,5.37,120.00,0.50,120.00,0.00,0.71,1.00,1.00
17.56s,9.84,40.82,0.00,30.97,1,5.00,120.00,0.50,120.00,0.00,5.63,8.00,9.84
16.41s,1.00,41.82,0.00,40.82,1,5.23,120.00,0.50,120.00,0.00,0.71,1.00,1.00
19.97s,10.78,52.60,0.00,41.82,1,5.00,120.00,0.50,120.00,0.00,6.72,9.10,10.78
16.13s,1.00,53.60,0.00,52.60,1,5.73,120.00,0.50,120.00,0.00,0.94,1.00,1.00
20.37s,11.72,65.32,0.00,53.60,1,5.56,120.00,0.25,120.00,0.00,7.13,9.89,11.72
16.85s,1.00,66.32,0.00,65.32,1,6.23,120.00,0.50,120.00,0.00,0.94,1.00,1.00
21.16s,12.66,78.97,0.00,66.32,1,5.88,120.00,0.25,120.00,0.00,7.47,11.07,12.66
17.14s,1.00,79.97,0.00,78.97,1,6.34,120.00,0.41,120.00,0.00,0.94,1.00,1.00
22.75s,13.59,93.57,0.00,79.97,1,6.61,120.00,0.14,120.00,0.00,7.99,11.89,13.59
16.76s,1.00,94.57,0.00,93.57,1,7.22,120.00,0.50,120.00,0.00,0.94,1.00,1.00
21.08s,14.53,109.10,0.00,94.57,1,7.29,120.00,0.50,120.00,0.00,8.51,12.71,14.53
20.10s,1.00,110.10,0.00,109.10,1,7.72,120.00,0.50,120.00,0.00,0.94,1.00,1.00
