time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
8.82s,5.00,5.00,0.00,0.00,0,5.00,120.00,0.47,120.00,0.00,0.00,5.00,5.00
12.05s,6.56,11.56,0.00,5.25,0,5.33,120.00,0.12,120.00,0.00,1.45,5.13,6.31
15.17s,3.88,15.44,0.00,11.62,0,5.00,120.00,0.47,120.00,0.00,0.00,3.34,3.82
10.52s,4.00,19.44,0.00,15.54,0,5.33,120.00,0.45,120.00,0.00,0.00,3.91,3.91
10.82s,5.33,24.77,0.00,19.47,0,5.28,120.00,0.50,120.00,0.00,2.92,5.30,5.30
10.76s,7.97,32.74,0.00,24.79,0,5.33,120.00,0.49,120.00,0.00,5.75,4.97,7.96
16.17s,1.00,33.74,0.00,32.75,0,5.00,120.00,0.50,120.00,0.00,0.96,0.50,0.99
18.26s,8.91,42.65,0.00,33.75,0,5.48,120.00,0.43,120.00,0.00,4.67,8.07,8.90
13.01s,1.00,43.65,0.00,42.65,0,5.01,120.00,0.50,120.00,0.00,0.47,0.50,1.00
19.98s,9.84,53.49,0.00,43.65,1,5.10,120.00,0.50,120.00,0.00,5.64,8.92,9.84
16.84s,1.00,54.49,0.00,53.49,1,5.00,120.00,0.50,120.00,0.00,0.84,1.00,1.00
10.19s,10.78,65.27,0.00,54.49,1,5.24,120.00,0.16,120.00,0.00,6.60,9.10,10.78
15.14s,1.00,66.27,0.00,65.27,1,5.41,120.00,0.34,120.00,0.00,0.94,1.00,1.00
14.09s,11.72,77.99,0.00,66.27,1,5.42,120.00,0.50,120.00,0.00,7.13,9.89,11.72
16.86s,1.00,78.99,0.00,77.99,1,5.88,120.00,0.37,120.00,0.00,0.94,1.00,1.00
16.79s,12.66,91.65,0.00,78.99,1,6.17,120.00,0.50,120.00,0.00,7.46,11.07,12.66
18.70s,1.00,92.65,0.00,91.65,1,6.34,120.00,0.41,120.00,0.00,0.94,1.00,1.00
16.67s,13.59,106.24,0.00,92.65,1,6.61,120.00,0.14,120.00,0.00,7.99,11.89,13.59
19.49s,1.00,107.24,0.00,106.24,1,6.81,120.00,0.44,120.00,0.00,0.97,1.00,1.00
15.98s,14.53,121.77,0.00,107.24,1,6.84,120.00,0.50,120.00,0.00,8.56,12.71,14.53
19.67s,1.00,122.77,0.00,121.77,1,7.53,120.00,0.47,120.00,0.00,0.94,1.00,1.00
13.78s,15.47,138.24,0.00,122.77,1,7.59,120.00,0.50,120.00,0.00,9.03,14.02,15.47
17.79s,1.00,139.24,0.00,138.24,1,7.75,120.00,0.26,120.00,0.00,0.94,1.00,1.00
15.23s,16.41,155.65,0.00,139.24,1,7.87,120.00,0.25,120.00,0.00,9.42,14.61,16.41
18.46s,1.00,156.65,0.00,155.65,1,8.47,120.00,0.47,120.00,0.00,0.94,1.00,1.00
17.69s,17.34,173.99,0.00,156.65,1,8.23,120.00,0.02,120.00,0.00,9.95,15.45,17.34
20.08s,1.00,174.99,0.00,173.99,1,8.94,120.00,0.50,120.00,0.00,0.70,1.00,1.00
12.66s,18.28,193.27,0.00,174.99,1,8.87,120.00,0.50,120.00,0.00,10.30,16.57,18.28
21.05s,1.00,194.27,0.00,193.27,1,9.16,120.00,0.25,120.00,0.00,0.94,1.00,1.00
16.74s,19.22,213.49,0.00,194.27,1,9.16,120.00,0.02,120.00,0.00,10.81,17.42,19.22
21.01s,1.00,214.49,0.00,213.49,1,9.64,120.00,0.50,120.00,0.00,0.94,1.00,1.00
15.27s,20.16,234.65,0.00,214.49,1,9.93,120.00,0.16,120.00,0.00,11.33,18.27,20.16
21.49s,1.00,235.65,0.00,234.49,1,10.08,19.96,0.04,120.00,0.00,0.94,1.16,1.16
19.86s,21.09,256.74,0.00,235.65,1,10.11,19.98,0.28,120.00,0.32,11.93,19.12,21.09
22.90s,1.00,257.74,0.00,255.65,1,10.58,19.98,0.28,120.00,0.00,1.98,1.05,2.09
24.33s,21.56,279.30,0.00,257.74,1,10.58,20.41,1.14,120.00,1.02,13.06,19.88,21.56
20.05s,1.00,280.30,0.00,277.74,1,10.70,19.99,1.17,120.00,0.00,2.21,1.28,2.56
25.97s,22.03,302.34,0.00,280.30,1,10.52,20.79,1.56,120.00,1.10,13.81,20.31,22.03
21.27s,1.00,303.34,0.00,300.30,1,10.93,19.78,1.60,120.00,0.00,2.90,1.52,3.03
30.08s,22.03,325.37,0.00,303.34,1,10.68,21.15,2.03,120.00,0.79,14.38,20.31,22.03
17.76s,1.00,326.37,0.00,323.34,1,10.83,19.68,2.05,120.00,0.00,2.90,1.52,3.03
33.77s,22.50,348.87,0.00,326.72,0,10.96,21.42,2.03,120.00,1.22,14.71,20.42,22.15
22.76s,1.00,349.87,0.00,346.60,1,10.82,20.20,2.03,120.00,0.00,3.02,1.63,3.27
27.14s,22.50,372.37,0.00,350.05,0,10.86,21.33,2.52,120.00,1.24,14.88,20.57,22.32
19.37s,1.00,373.37,0.00,370.01,1,10.94,20.13,2.37,120.00,0.00,3.07,1.68,3.36
27.39s,22.50,395.87,0.00,373.46,0,11.01,21.31,2.36,120.00,1.25,14.96,20.66,22.41
19.17s,1.00,396.87,0.00,393.46,1,10.98,19.75,2.75,120.00,0.00,3.09,1.71,3.41
26.02s,22.50,419.37,0.00,396.91,0,10.98,21.65,2.41,120.00,0.82,14.87,20.70,22.46
20.75s,1.00,420.37,0.00,416.93,1,11.00,19.77,2.73,120.00,0.00,3.11,1.72,3.44
24.70s,22.50,442.87,0.00,420.37,1,10.97,21.62,2.50,120.00,0.83,14.96,20.74,22.50
18.67s,1.00,443.87,0.00,440.37,1,11.06,19.90,2.63,120.00,0.00,3.14,1.75,3.50
24.13s,22.50,466.37,0.00,443.87,1,10.89,21.35,2.50,120.00,0.83,15.01,20.74,22.50
19.55s,1.00,467.37,0.00,463.87,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
21.31s,22.50,489.87,0.00,467.37,1,11.02,21.48,2.50,120.00,0.80,14.95,21.09,22.50
19.75s,1.00,490.87,0.00,487.37,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
25.11s,22.50,513.37,0.00,490.87,1,10.88,21.70,2.83,120.00,0.86,14.96,21.09,22.50
19.82s,1.00,514.37,0.00,510.87,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
23.85s,22.50,536.87,0.00,514.37,1,10.90,21.36,2.87,120.00,0.80,14.95,21.09,22.50
20.20s,1.00,537.87,0.00,534.37,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
24.25s,22.50,560.37,0.00,537.87,1,10.90,21.36,2.50,120.00,0.86,14.96,21.09,22.50
19.65s,1.00,561.37,0.00,557.91,1,11.06,19.90,2.60,120.00,0.00,3.12,1.73,3.46
21.42s,22.50,583.87,0.00,561.37,1,11.02,21.48,2.46,120.00,0.84,14.76,21.09,22.50
19.94s,1.00,584.87,0.00,581.37,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
29.40s,22.50,607.37,0.00,584.87,1,11.22,21.75,2.50,120.00,0.80,14.95,21.09,22.50
20.14s,1.00,608.37,0.00,604.87,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
31.51s,22.50,630.87,0.00,608.37,1,11.22,21.75,2.50,120.00,0.85,14.79,21.09,22.50
19.84s,1.00,631.87,0.00,628.37,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
22.89s,22.50,654.37,0.00,631.87,1,10.94,21.40,2.50,120.00,0.80,14.95,21.09,22.50
19.87s,1.00,655.37,0.00,651.87,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
23.32s,22.50,677.87,0.00,655.37,1,10.90,21.36,2.50,120.00,0.80,14.95,21.09,22.50
19.57s,1.00,678.87,0.00,675.37,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
22.90s,22.50,701.37,0.00,678.87,1,10.90,21.36,2.87,120.00,0.80,14.95,21.09,22.50
