time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
5.76s,119.94,119.94,0.00,0.04,0,5.02,119.94,0.06,119.94
9.87s,2.51,122.45,0.00,20.00,1,10.04,19.95,0.03,119.96
24.31s,5.02,127.47,0.00,40.00,2,13.33,20.00,20.00,119.96
10.83s,14.33,141.81,0.00,60.00,3,15.00,20.00,40.04,119.97
12.13s,30.00,171.81,0.00,80.00,4,16.01,26.63,40.06,119.94
9.97s,17.01,188.81,39.94,80.06,4,15.02,19.99,30.04,119.96
18.64s,7.51,196.33,39.94,100.00,3,13.35,19.97,33.34,119.97
20.93s,26.71,223.03,39.94,120.00,3,13.33,20.00,39.96,119.97
8.51s,14.33,237.36,39.94,140.02,3,15.01,19.98,40.05,119.97
11.12s,30.03,267.39,39.94,160.00,2,15.99,26.60,36.42,119.96
6.21s,16.99,284.38,39.94,160.08,3,15.03,19.98,30.07,119.94
29.66s,19.98,304.36,39.94,180.04,4,13.36,19.97,33.34,119.97
25.76s,6.68,311.04,42.99,200.04,3,13.32,19.99,39.96,119.96
10.09s,26.64,337.68,42.99,220.05,4,15.03,19.98,40.03,119.94
15.22s,15.03,352.71,42.99,240.00,4,16.01,26.60,40.02,119.96
10.67s,16.01,368.71,42.99,240.11,4,15.02,20.02,30.08,119.94
34.50s,16.02,384.73,42.99,260.08,4,13.35,20.01,33.33,119.94
13.08s,13.35,398.09,50.96,280.05,4,13.35,19.96,39.97,119.96
7.24s,19.96,418.05,52.66,300.05,4,15.00,20.00,39.98,119.94
8.17s,30.00,448.05,52.66,320.00,3,15.99,26.61,39.97,119.97
9.79s,26.61,474.66,52.66,320.15,4,15.02,20.02,30.07,119.95
30.28s,7.51,482.16,58.08,340.08,3,13.33,20.00,33.31,119.96
30.27s,26.67,508.83,58.08,360.08,3,13.36,19.97,39.95,119.95
10.03s,19.97,528.80,58.82,380.09,4,15.02,19.99,40.03,119.95
8.12s,7.51,536.31,67.96,400.03,4,16.00,26.58,39.98,119.96
10.77s,17.00,553.32,74.54,400.19,4,15.02,20.02,30.07,119.96
24.07s,7.51,560.83,81.97,420.09,4,13.32,19.99,33.28,119.96
33.15s,26.64,587.46,88.74,440.09,3,13.30,19.97,39.91,119.97
11.84s,26.60,614.06,88.74,460.09,3,15.00,20.00,40.01,119.96
10.12s,16.00,630.06,88.74,480.05,2,15.97,26.59,32.03,119.97
7.46s,31.94,662.01,88.74,480.21,3,15.03,20.00,30.06,119.96
43.72s,16.03,678.04,88.74,500.13,3,13.32,19.99,33.33,119.96
14.96s,19.99,698.03,88.74,520.13,4,13.36,19.97,39.93,119.96
14.18s,26.72,724.75,93.93,540.09,3,14.97,20.00,40.00,119.94
13.50s,15.97,740.72,93.93,560.09,4,15.99,26.61,40.01,119.95
14.11s,26.61,767.32,101.86,560.21,4,15.05,20.01,30.07,119.96
39.42s,7.52,774.85,117.83,580.13,4,13.32,19.99,33.30,119.96
42.87s,13.32,788.17,117.90,600.13,4,13.31,19.98,39.93,119.96
9.79s,19.98,808.14,124.61,620.09,3,15.00,19.97,39.98,119.95
7.17s,19.97,828.12,124.61,640.11,4,15.99,26.59,40.00,119.94
14.23s,15.99,844.11,127.22,640.25,4,15.02,20.01,30.06,119.94
36.92s,7.51,851.62,128.04,660.13,4,13.35,19.96,33.29,119.97
30.12s,13.35,864.97,128.04,680.13,3,13.29,19.96,39.91,119.96
12.64s,26.59,891.55,128.87,700.11,3,15.00,19.97,39.99,119.96
9.04s,16.00,907.55,128.94,720.11,3,15.97,26.59,40.00,119.96
11.43s,16.97,924.53,128.94,720.27,4,15.04,20.00,30.10,119.94
39.10s,20.00,944.53,128.94,740.13,3,13.33,19.99,33.25,119.94
23.56s,6.66,951.19,128.94,760.14,4,13.29,20.01,39.87,119.96
7.35s,20.01,971.20,131.41,780.14,3,15.00,20.00,40.01,119.97
14.06s,30.00,1001.21,131.41,800.11,3,15.97,26.58,39.99,119.96
10.14s,15.97,1017.17,131.41,800.33,4,15.03,20.03,30.11,119.96
32.76s,16.03,1033.20,144.21,820.17,3,13.32,19.99,33.25,119.96
27.11s,14.32,1047.53,144.21,840.14,3,13.29,19.96,39.87,119.94
11.88s,26.58,1074.11,144.21,860.14,3,14.95,19.98,39.99,119.95
11.84s,15.95,1090.06,144.21,880.11,3,15.97,26.59,39.97,119.95
7.28s,7.99,1098.05,144.21,880.34,4,14.99,20.01,30.10,119.94
38.73s,20.01,1118.06,152.86,900.18,3,13.35,20.01,33.27,119.96
32.31s,20.01,1138.07,152.86,920.16,4,13.30,20.00,39.85,119.94
14.90s,14.30,1152.37,153.95,940.14,3,14.95,19.98,39.96,119.96
10.66s,15.95,1168.32,153.95,960.11,3,15.95,26.57,39.97,119.97
11.93s,15.95,1184.27,153.95,960.34,4,14.98,20.01,30.10,119.97
41.08s,29.96,1214.23,157.72,980.18,4,13.33,19.96,33.26,119.96
36.47s,19.96,1234.20,157.89,1000.17,3,13.30,19.96,39.86,119.95
13.25s,26.60,1260.80,157.89,1020.17,3,14.96,19.99,40.02,119.94
9.94s,19.99,1280.78,157.89,1040.11,3,15.95,26.57,39.97,119.95
12.61s,16.95,1297.74,157.89,1040.34,4,14.99,20.04,30.10,119.95
42.55s,14.99,1312.73,173.89,1060.20,4,13.34,20.00,33.25,119.96
32.90s,14.34,1327.07,173.89,1080.18,4,13.30,20.00,39.85,119.96
18.68s,26.59,1353.66,180.60,1100.18,3,14.98,20.03,40.02,119.94
13.83s,14.98,1368.64,181.37,1120.11,3,15.99,26.59,39.97,119.96
7.55s,7.99,1376.63,181.37,1120.40,4,14.98,20.05,30.15,119.94
29.74s,7.49,1384.12,192.33,1140.20,3,13.35,19.99,33.23,119.94
31.09s,26.69,1410.81,192.33,1160.23,4,13.28,20.00,39.83,119.96
11.47s,26.55,1437.37,193.43,1180.18,3,14.95,20.02,40.02,119.96
9.45s,29.89,1467.26,193.43,1200.11,2,15.95,26.57,30.53,119.96
14.14s,31.90,1499.16,193.43,1200.43,3,15.00,20.07,30.13,119.96
49.29s,29.99,1529.15,193.43,1220.23,3,13.32,20.00,33.20,119.96
27.81s,6.66,1535.81,193.43,1240.25,4,13.27,20.00,39.86,119.94
12.51s,14.27,1550.09,197.12,1260.19,4,14.96,19.99,39.98,119.96
13.55s,15.96,1566.05,197.12,1280.14,4,15.96,26.52,39.96,119.95
8.63s,7.98,1574.03,197.12,1280.45,5,14.99,20.04,30.14,119.96
44.87s,29.99,1604.02,197.12,1300.25,5,13.35,19.95,33.23,119.96
34.45s,13.35,1617.36,215.56,1320.25,5,13.27,20.00,39.83,119.97
18.78s,26.54,1643.90,226.55,1340.19,3,14.93,20.01,39.94,119.96
12.23s,29.87,1673.77,226.55,1360.14,3,15.97,26.55,39.94,119.96
