time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
7.88s,10.00,10.00,0.00,0.04,0,5.03,119.94,0.03,119.94
12.62s,119.94,129.94,0.00,10.00,1,5.03,119.96,0.06,119.96
9.81s,2.51,132.46,89.94,30.00,1,10.00,19.99,0.04,19.99
4.80s,19.99,152.45,89.94,42.53,0,10.90,19.99,10.01,19.14
4.32s,21.80,174.25,89.94,62.51,0,13.14,29.95,10.03,24.33
7.87s,26.28,200.53,89.94,82.52,1,14.50,24.14,0.06,119.95
6.86s,24.14,224.66,91.70,92.55,1,13.35,20.81,6.71,26.26
9.87s,26.71,251.37,97.98,112.55,1,14.02,22.04,10.03,26.29
9.58s,28.03,279.40,102.12,132.55,1,14.01,23.32,10.01,27.48
9.30s,28.02,307.42,116.85,152.55,1,15.00,19.97,10.02,27.51
10.96s,30.00,337.42,124.87,172.59,1,16.02,24.01,1.99,29.97
10.32s,32.04,369.47,132.89,184.54,1,15.04,23.96,8.01,29.94
11.24s,30.08,399.54,142.89,204.54,1,14.41,23.95,10.01,30.90
12.46s,28.82,428.37,154.93,224.54,1,14.41,23.98,10.02,30.93
9.26s,23.98,452.35,166.19,244.54,1,15.03,23.81,10.01,32.93
9.84s,23.81,476.16,173.83,264.54,1,16.02,22.54,10.00,33.96
9.48s,17.02,493.18,177.81,284.54,1,16.02,21.90,10.05,33.78
9.47s,32.03,525.21,181.62,304.54,1,16.00,19.95,10.02,29.99
10.02s,32.00,557.21,181.62,324.54,1,16.02,26.63,10.01,29.96
10.55s,16.02,573.23,190.67,344.54,1,16.02,26.64,10.00,38.99
8.97s,32.03,605.26,202.67,364.54,1,16.01,19.97,10.04,29.96
8.33s,32.02,637.27,202.67,384.54,1,16.00,26.66,10.03,29.97
8.88s,32.00,669.27,222.74,404.55,1,16.00,21.94,6.04,29.98
12.47s,32.01,701.28,226.72,420.55,1,15.25,25.29,9.00,29.96
8.54s,25.29,726.58,238.72,440.55,1,16.03,25.32,10.02,29.95
10.99s,32.06,758.64,250.73,460.55,1,15.24,22.62,10.02,33.95
9.57s,30.48,789.11,257.02,480.55,1,15.21,25.31,10.02,33.25
10.91s,30.43,819.54,268.09,500.55,1,16.04,25.74,10.01,38.98
11.23s,32.07,851.62,278.56,520.57,1,16.00,25.19,10.00,38.98
11.81s,32.01,883.63,288.99,540.55,1,16.00,25.99,10.03,38.98
10.79s,32.01,915.63,301.07,560.55,1,16.00,26.00,10.02,38.94
9.70s,32.00,947.63,313.07,580.55,1,16.00,25.95,10.02,38.94
12.16s,32.00,979.63,325.08,600.55,1,16.00,25.95,10.01,38.98
10.58s,31.99,1011.63,347.58,620.55,1,16.03,20.71,10.01,31.46
12.54s,32.05,1043.68,349.08,640.57,1,16.00,26.67,10.01,31.46
8.08s,26.67,1070.35,361.07,660.55,1,18.50,25.99,10.03,31.46
11.07s,19.50,1089.85,373.13,680.55,1,16.04,23.33,10.00,36.61
7.60s,17.04,1106.88,379.79,700.57,1,16.04,19.99,10.00,29.94
7.19s,17.04,1123.92,379.79,720.55,1,16.04,26.62,10.02,29.98
7.26s,32.08,1156.00,379.79,740.55,1,16.01,26.63,9.50,119.96
6.31s,32.02,1188.02,385.95,760.05,1,15.91,21.45,6.79,29.45
11.62s,31.81,1219.83,400.93,777.09,1,15.30,23.23,2.15,27.01
10.44s,30.61,1250.44,407.46,790.56,1,14.14,23.30,7.50,27.00
11.67s,28.27,1278.71,419.28,810.56,1,14.00,23.32,10.03,27.00
10.46s,28.00,1306.72,429.89,830.55,1,14.11,23.47,10.02,31.87
