time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
7.94s,10.00,10.00,0.00,10.00,0,10.00,119.95,0.04,119.95
7.83s,20.00,30.00,0.00,30.00,0,20.00,119.95,0.06,119.94
6.69s,21.00,51.00,0.00,50.00,0,20.02,119.95,0.05,119.94
10.08s,40.04,91.04,0.00,70.00,0,20.02,119.96,0.06,119.94
7.23s,40.04,131.08,0.00,90.00,1,20.00,38.99,0.04,119.95
7.56s,40.00,171.08,0.00,110.00,1,20.00,29.47,10.56,119.95
8.73s,40.00,211.08,0.00,130.00,2,19.79,26.67,26.35,119.95
7.05s,39.58,250.66,0.00,150.00,2,16.02,26.64,21.10,119.96
16.54s,17.02,267.67,0.00,170.00,3,16.02,26.64,40.02,119.94
11.00s,8.01,275.68,0.00,190.00,3,16.00,26.66,40.02,119.95
8.35s,8.00,283.68,0.00,210.00,4,16.03,26.62,40.01,119.96
7.97s,32.06,315.74,0.00,230.00,4,16.00,26.66,40.03,119.95
8.61s,17.00,332.74,0.00,250.00,5,16.03,26.66,40.01,119.94
8.15s,8.01,340.76,0.00,270.00,4,16.00,26.66,40.03,119.95
10.70s,32.00,372.76,0.00,290.00,3,16.00,26.66,40.00,119.95
9.11s,26.66,399.42,0.00,310.00,4,16.00,26.66,40.00,119.96
10.92s,26.66,426.09,0.00,330.00,4,16.02,26.64,40.04,119.97
8.52s,26.64,452.73,2.73,350.00,3,16.02,26.64,40.00,119.97
13.58s,16.02,468.74,2.73,370.00,4,16.03,26.64,40.03,119.97
6.98s,16.03,484.77,2.76,390.00,4,16.02,26.63,40.03,119.97
13.23s,16.02,500.79,9.42,410.00,4,16.00,26.66,40.03,119.96
8.42s,17.00,517.79,9.45,430.00,4,16.03,26.63,40.03,119.95
13.83s,17.03,534.82,16.12,450.00,4,16.01,26.64,40.01,119.95
12.93s,17.01,551.83,16.12,470.00,3,16.00,26.66,40.03,119.96
9.01s,16.00,567.83,16.12,490.00,3,16.02,26.64,40.02,119.95
11.78s,32.03,599.86,16.12,510.00,3,16.02,26.64,40.00,119.95
10.28s,17.02,616.87,16.12,530.00,3,16.00,26.66,40.01,119.95
6.34s,8.00,624.87,16.12,550.00,3,16.02,26.63,40.04,119.96
6.18s,8.01,632.88,16.12,570.00,3,16.04,26.67,40.02,119.95
7.80s,32.08,664.96,16.12,590.00,3,16.04,26.63,40.04,119.94
6.09s,8.02,672.98,16.12,610.00,2,16.01,26.66,38.76,119.97
5.15s,32.03,705.01,16.12,630.00,2,16.02,26.64,26.78,119.96
5.94s,8.01,713.02,16.12,650.00,2,16.02,26.64,38.85,119.96
4.57s,32.03,745.05,16.12,670.00,2,16.02,26.64,26.88,119.96
8.00s,16.02,761.06,16.12,690.00,2,16.00,26.66,38.94,119.97
4.85s,32.00,793.06,16.12,710.00,2,16.00,26.66,26.92,119.97
9.06s,32.00,825.06,16.12,730.00,2,16.00,26.66,38.93,119.96
10.98s,26.66,851.73,16.12,750.00,2,16.00,26.66,34.98,119.96
8.30s,8.00,859.73,16.12,770.00,3,16.04,26.67,40.05,119.97
8.44s,32.08,891.81,16.12,790.00,3,16.02,26.64,40.02,119.94
7.56s,8.01,899.82,16.12,810.00,3,16.02,26.64,40.02,119.94
12.45s,32.03,931.85,16.12,830.00,4,16.00,26.66,40.02,119.95
7.91s,8.00,939.85,21.73,850.00,3,16.02,26.64,40.02,119.94
6.64s,26.64,966.49,21.73,870.00,4,16.00,26.66,40.00,119.95
7.38s,8.00,974.49,21.73,890.00,3,16.02,26.64,40.02,119.96
9.42s,32.03,1006.52,21.73,910.00,4,16.02,26.64,40.02,119.94
5.45s,8.01,1014.53,21.85,930.00,3,16.02,26.64,40.02,119.96
11.44s,17.02,1031.54,21.85,950.00,3,16.02,26.64,40.02,119.94
10.98s,16.02,1047.56,21.85,970.00,3,16.02,26.64,40.03,119.96
8.75s,32.03,1079.59,21.85,990.00,3,16.02,26.64,40.03,119.94
9.07s,16.02,1095.61,21.85,1010.00,2,16.00,26.66,39.02,119.96
12.19s,16.00,1111.61,21.85,1030.00,2,16.00,26.66,35.71,119.94
7.55s,26.66,1138.27,21.85,1050.00,3,16.04,26.67,40.03,119.96
6.71s,8.02,1146.29,21.85,1070.00,3,16.02,26.64,40.02,119.94
7.82s,26.64,1172.93,21.85,1090.00,2,16.03,26.64,39.04,119.97
9.64s,16.03,1188.96,21.85,1110.00,3,16.00,26.66,40.02,119.94
8.78s,17.00,1205.96,21.85,1130.00,2,16.00,26.66,34.49,119.97
7.45s,16.00,1221.96,21.85,1150.00,3,16.02,26.63,40.01,119.96
9.04s,17.02,1238.98,21.85,1170.00,2,16.00,26.66,37.14,119.96
7.00s,16.00,1254.98,21.85,1190.00,2,16.00,26.64,34.15,119.96
3.97s,26.64,1281.62,21.85,1210.00,2,16.00,26.66,30.13,119.96
7.26s,32.00,1313.62,21.85,1230.00,2,16.00,26.66,27.14,119.94
5.78s,8.00,1321.62,21.85,1250.00,2,16.00,26.66,23.19,119.94
10.58s,32.00,1353.62,21.85,1270.00,2,16.03,26.66,29.78,119.96
7.26s,17.03,1370.65,21.85,1290.00,3,16.02,26.64,40.03,119.94
7.02s,8.01,1378.66,21.85,1310.00,2,16.02,26.64,29.80,119.96
9.15s,32.03,1410.69,21.85,1330.00,3,16.00,26.64,40.02,119.97
8.90s,17.00,1427.69,21.85,1350.00,2,16.00,26.66,38.83,119.97
3.84s,8.00,1435.69,21.85,1370.00,2,16.01,26.64,26.83,119.96
6.89s,26.64,1462.34,21.85,1390.00,2,16.00,26.66,38.85,119.97
4.89s,26.66,1489.00,21.85,1410.00,2,16.03,26.64,35.87,119.97
3.86s,8.02,1497.02,21.85,1430.00,2,16.02,26.64,23.85,119.95
7.74s,16.02,1513.03,21.85,1450.00,2,16.02,26.64,30.51,119.96
5.09s,26.64,1539.67,21.85,1470.00,2,16.01,26.66,37.17,119.96
4.91s,17.01,1556.68,21.85,1490.00,2,16.00,26.66,25.21,119.96
5.05s,16.00,1572.68,21.85,1510.00,2,16.02,26.67,21.19,119.96
5.10s,26.67,1599.34,21.85,1530.00,2,16.00,26.66,27.83,119.96
6.38s,17.00,1616.34,21.85,1550.00,2,16.00,26.66,24.85,119.96
5.66s,32.00,1648.34,21.85,1570.00,2,16.00,26.66,20.85,119.94
6.17s,8.00,1656.34,21.85,1590.00,2,16.03,26.64,27.50,119.96
6.36s,16.03,1672.37,21.85,1610.00,2,16.02,26.64,24.52,119.96
7.52s,32.03,1704.41,21.85,1630.00,2,16.02,26.64,36.54,119.97
4.23s,8.01,1712.42,21.85,1650.00,2,16.03,26.64,24.51,119.96
4.15s,26.64,1739.06,21.85,1670.00,2,16.00,26.65,20.53,119.96
6.69s,26.65,1765.71,21.85,1690.00,2,16.00,26.66,32.56,119.97
5.58s,8.00,1773.71,21.85,1710.00,2,16.02,26.64,20.57,119.95
6.80s,32.03,1805.74,21.85,1730.00,2,16.02,26.64,27.21,119.96
5.27s,16.02,1821.76,21.85,1750.00,2,16.00,26.66,33.87,119.96
4.35s,26.66,1848.42,21.85,1770.00,2,16.00,26.66,21.88,119.94
11.20s,32.00,1880.42,21.85,1790.00,2,16.00,26.66,33.92,119.95
5.95s,32.00,1912.42,21.85,1810.00,2,16.00,26.66,29.95,119.95
11.95s,26.66,1939.09,21.85,1830.00,2,16.00,26.66,36.60,119.96
14.87s,32.00,1971.09,21.85,1850.00,3,16.00,26.66,40.03,119.96
11.34s,32.00,2003.09,21.85,1870.00,3,16.02,26.64,40.02,119.96
18.10s,32.03,2035.12,21.85,1890.00,4,16.02,26.64,40.03,119.97
23.12s,17.02,2052.13,22.42,1910.00,4,16.02,26.64,40.02,119.94
17.27s,32.03,2084.16,29.09,1930.00,4,16.04,26.62,40.03,119.95
16.84s,16.04,2100.21,41.09,1950.00,4,16.00,26.66,40.02,119.96
17.96s,16.00,2116.21,53.09,1970.00,4,16.02,26.64,40.01,119.96
13.61s,32.03,2148.24,62.13,1990.00,4,16.02,26.64,40.02,119.94
