time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
7.87s,119.94,119.94,0.00,20.00,0,20.02,119.94,0.06,119.94
18.65s,20.02,139.96,89.94,40.00,0,20.03,29.97,0.04,9.99
5.82s,10.01,149.97,89.96,60.00,0,20.00,20.00,10.00,10.00
5.07s,21.00,170.97,89.96,80.00,0,20.00,20.00,10.00,10.00
6.75s,40.00,210.97,89.96,100.00,0,20.00,29.96,0.04,9.99
7.42s,29.96,240.93,100.97,120.00,0,20.00,29.42,0.04,18.96
8.76s,40.00,280.93,110.93,140.00,0,20.03,28.98,0.06,18.96
12.16s,10.01,290.95,130.93,160.00,0,19.77,20.00,8.99,9.96
7.34s,20.00,310.95,130.93,180.00,0,19.99,19.99,0.00,9.96
2.60s,9.99,320.94,130.93,190.01,0,20.00,29.96,0.04,9.99
6.31s,21.00,341.94,130.93,210.01,0,20.00,119.95,0.01,119.94
9.81s,40.00,381.94,130.93,230.01,0,20.00,119.96,0.06,119.94
8.28s,40.00,421.94,141.94,250.01,0,20.03,34.46,0.06,19.00
8.50s,40.06,462.01,161.94,270.01,0,20.02,28.98,0.06,18.98
14.58s,21.02,483.02,182.00,290.01,0,19.78,20.34,8.66,10.99
14.12s,19.78,502.81,183.02,310.01,0,16.03,19.98,0.04,9.96
14.88s,17.03,519.84,183.02,330.01,0,18.76,20.00,0.06,9.95
6.09s,20.00,539.84,183.02,350.01,0,17.50,29.96,0.06,9.99
9.74s,35.00,574.84,183.02,370.01,0,17.51,119.95,0.05,119.94
9.86s,35.02,609.87,194.84,390.01,0,17.74,29.10,0.05,19.00
6.46s,35.47,645.34,209.86,410.01,0,18.32,26.07,0.06,19.00
9.91s,36.64,681.98,225.33,430.01,0,18.32,24.49,0.05,18.98
9.03s,36.64,718.62,241.98,450.01,0,16.02,24.49,0.04,18.97
8.51s,24.49,743.12,258.62,470.01,0,16.00,21.47,0.06,14.45
8.81s,21.47,764.59,264.58,490.01,0,16.02,20.00,0.06,9.95
11.12s,32.03,796.62,276.61,510.01,0,16.02,19.99,0.05,9.98
7.47s,32.05,828.67,288.66,530.01,0,16.02,20.49,0.06,9.95
7.54s,32.03,860.70,300.69,550.01,0,16.68,22.49,0.04,10.00
11.40s,33.36,894.06,314.05,570.01,0,17.50,22.49,0.04,9.96
10.19s,35.00,929.06,329.05,590.01,0,17.50,22.49,0.06,9.95
12.09s,35.00,964.06,344.05,610.01,0,17.50,22.49,0.04,9.96
11.55s,35.00,999.06,359.05,630.01,0,17.50,22.49,0.06,9.95
11.22s,35.00,1034.06,374.05,650.01,0,17.50,22.49,0.06,9.95
8.92s,35.00,1069.06,389.05,670.01,0,17.50,22.49,0.06,9.95
9.25s,35.00,1104.06,404.05,690.01,0,17.50,22.49,0.06,9.95
11.78s,35.00,1139.06,419.05,710.01,0,17.50,22.49,0.06,9.95
12.37s,35.00,1174.06,434.05,730.01,0,17.50,22.49,0.06,9.95
12.33s,22.49,1196.55,436.54,750.01,0,18.76,22.49,0.02,9.98
12.21s,9.38,1205.93,436.54,769.39,0,20.00,23.71,0.05,9.98
8.13s,40.01,1245.94,436.54,789.39,0,20.02,27.50,0.06,9.95
7.68s,27.50,1273.44,446.55,809.39,0,20.03,29.96,0.06,17.45
12.21s,21.03,1294.47,454.05,829.39,0,20.03,20.51,9.49,11.00
16.47s,40.07,1334.53,455.08,849.39,0,20.03,20.51,9.49,11.00
9.98s,20.51,1355.05,475.15,869.39,0,18.98,20.15,0.03,10.49
12.11s,19.98,1375.03,475.66,889.39,0,17.52,19.98,0.03,9.97
15.74s,17.52,1392.56,475.66,909.39,0,19.48,19.98,0.03,9.97
8.46s,20.48,1413.03,475.66,929.39,0,17.52,30.00,0.05,9.95
8.66s,35.05,1448.08,488.70,949.39,0,17.50,21.98,0.05,9.99
7.99s,21.98,1470.06,490.67,969.39,0,17.53,20.97,0.04,9.98
6.35s,8.77,1478.83,490.67,988.15,0,20.00,23.99,0.06,9.95
7.12s,40.01,1518.83,490.67,1008.15,0,20.00,28.01,0.06,9.96
7.32s,28.01,1546.84,500.68,1028.15,0,20.04,29.99,0.04,17.98
8.08s,29.99,1576.83,508.69,1048.15,0,20.01,25.00,5.00,17.97
13.90s,20.01,1596.85,518.68,1068.15,0,20.00,20.00,10.00,10.00
10.25s,20.00,1616.85,518.69,1088.15,0,16.02,20.00,0.00,9.96
9.58s,16.02,1632.87,518.70,1108.15,0,19.99,19.99,0.01,9.97
5.70s,20.99,1653.85,518.70,1128.15,0,17.52,19.99,0.06,9.99
6.87s,35.05,1688.90,518.70,1148.15,0,18.53,29.98,0.00,9.96
8.58s,29.98,1718.88,530.75,1168.15,0,18.00,26.44,0.06,19.00
6.49s,35.99,1754.88,540.73,1188.15,0,18.51,25.98,0.06,19.00
10.01s,37.01,1791.89,556.72,1208.15,0,18.28,24.50,0.06,19.00
8.80s,36.56,1828.45,573.74,1228.15,0,16.00,24.46,0.06,18.99
8.24s,32.00,1860.45,590.30,1248.15,0,16.04,24.00,0.06,19.00
8.39s,24.00,1884.45,602.30,1268.15,0,16.00,21.31,0.06,13.98
