time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
3.08s,10.00,10.00,0.00,0.04,0,5.03,119.94,0.03,119.94
6.41s,10.05,20.05,0.00,10.00,1,5.01,119.94,0.05,119.94
3.40s,10.03,30.08,0.00,20.08,0,6.69,119.94,0.04,119.95
4.69s,13.39,43.47,0.00,30.09,0,7.55,119.95,0.05,119.94
4.47s,15.10,58.56,0.00,43.47,0,8.73,119.95,0.01,119.94
4.88s,17.46,76.03,0.00,58.57,0,9.73,119.95,0.04,119.94
4.21s,19.46,95.48,0.00,76.03,0,11.49,119.95,0.05,119.94
3.60s,22.98,118.47,0.00,95.48,1,13.11,119.95,0.06,119.94
3.53s,26.21,144.68,0.00,110.09,1,13.34,22.21,2.58,119.95
3.53s,14.34,159.02,0.00,123.50,1,13.01,21.64,11.21,119.95
5.58s,13.01,172.03,0.00,138.58,2,12.51,20.80,15.65,119.96
4.55s,25.02,197.06,0.00,156.04,2,12.15,20.17,21.21,119.96
3.43s,24.30,221.35,0.00,175.49,1,13.08,21.80,20.45,119.95
2.76s,14.08,235.43,0.00,190.12,2,13.32,22.18,17.20,119.96
6.39s,26.65,262.08,0.00,203.53,2,13.04,21.63,26.01,119.96
5.09s,26.08,288.16,0.00,218.60,3,12.52,20.85,31.29,119.96
11.28s,12.52,300.68,0.00,236.07,2,12.12,20.17,31.55,119.95
7.25s,24.23,324.91,0.00,255.54,3,13.09,21.77,36.94,119.96
5.17s,14.09,339.01,0.00,270.14,3,13.35,22.20,34.38,119.97
6.47s,26.71,365.71,0.00,283.54,4,13.03,21.62,32.48,119.96
4.94s,14.03,379.74,2.06,298.62,4,12.53,20.81,31.31,119.96
5.70s,12.53,392.27,2.06,316.09,4,12.15,20.15,32.56,119.95
7.17s,24.30,416.57,8.82,335.54,3,13.08,21.79,36.93,119.96
6.70s,26.16,442.72,8.82,350.16,4,13.32,22.18,34.41,119.95
6.62s,14.32,457.05,15.55,363.54,4,13.01,21.60,32.47,119.96
9.37s,13.01,470.06,16.20,378.62,3,12.51,20.80,31.29,119.96
4.88s,13.51,483.57,16.20,396.12,4,12.13,20.16,32.61,119.96
6.08s,12.13,495.69,16.20,415.54,4,13.08,21.78,36.95,119.95
3.19s,14.08,509.78,27.19,430.16,3,13.32,22.18,34.39,119.96
4.82s,14.32,524.10,27.38,443.57,3,13.04,21.62,32.51,119.96
3.71s,13.04,537.14,27.44,458.62,3,12.50,20.79,31.26,119.97
3.44s,13.50,550.64,27.44,476.16,3,12.17,20.19,32.61,119.96
5.16s,24.34,574.97,27.44,495.54,3,13.09,21.76,36.92,119.97
3.98s,14.09,589.06,27.44,510.19,2,13.33,22.16,33.40,119.96
5.11s,26.66,615.72,27.44,523.57,2,13.01,21.60,31.50,119.97
3.20s,14.01,629.73,27.44,538.65,3,12.50,20.79,31.26,119.94
5.10s,13.50,643.24,27.44,556.16,3,12.13,20.16,32.61,119.94
