time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
3.46s,10.00,10.00,0.00,0.04,0,5.00,119.94,0.04,119.95
7.17s,10.00,20.00,0.00,10.00,1,5.00,119.94,0.05,119.94
2.52s,6.00,26.00,0.00,20.00,1,6.67,119.94,0.05,119.94
1.56s,7.67,33.67,0.00,26.00,1,6.70,119.94,0.05,119.94
3.17s,13.39,47.06,0.00,33.69,0,6.75,119.95,0.06,119.94
4.62s,13.50,60.56,0.00,47.07,0,7.44,119.95,0.05,119.95
4.56s,14.88,75.43,0.00,60.56,0,9.02,119.95,0.00,119.94
3.46s,18.03,93.47,0.00,75.44,0,10.46,119.95,0.05,119.94
3.41s,20.92,114.38,0.00,93.47,0,11.97,119.95,0.06,119.94
3.95s,23.95,138.33,0.00,113.48,1,13.28,22.09,0.05,119.95
4.50s,26.57,164.90,0.00,127.10,1,13.35,22.14,4.52,119.95
4.52s,26.71,191.60,3.95,144.42,1,13.84,22.97,7.32,31.96
5.75s,27.67,219.27,10.51,164.42,1,14.19,23.33,10.00,30.46
3.58s,15.19,234.46,17.22,184.38,1,14.33,23.62,9.99,32.12
4.60s,28.66,263.13,24.89,204.38,1,15.46,20.00,10.00,28.60
4.19s,30.91,294.04,28.74,224.38,1,15.99,19.95,10.01,29.93
5.85s,15.99,310.03,28.74,244.38,1,16.04,26.62,10.01,29.98
3.78s,32.07,342.11,39.66,264.42,1,16.02,20.00,10.00,29.93
4.70s,32.03,374.14,39.66,284.41,1,16.01,26.67,10.01,29.94
5.83s,32.01,406.15,47.72,304.41,1,16.02,26.65,10.00,41.98
5.06s,16.02,422.17,59.76,324.41,1,16.01,26.00,10.00,38.98
3.74s,32.02,454.20,71.77,344.38,1,15.99,19.96,10.00,29.93
4.75s,31.99,486.18,79.81,364.38,1,16.01,19.99,10.01,29.96
5.68s,32.01,518.20,79.81,384.38,1,16.02,26.65,10.02,29.96
4.53s,32.03,550.23,91.80,404.38,1,20.01,26.01,10.02,29.95
5.23s,40.02,590.25,103.81,424.38,1,16.02,26.01,10.00,38.99
6.27s,32.03,622.28,115.84,444.38,1,16.02,26.64,10.00,38.99
3.77s,17.02,639.30,135.87,464.38,1,16.03,26.01,10.04,38.96
4.26s,32.06,671.36,147.90,484.38,1,16.02,20.00,10.01,30.00
5.41s,32.03,703.39,147.90,504.38,1,16.02,26.64,10.00,29.96
5.25s,32.03,735.42,156.98,524.40,1,16.00,26.67,10.01,38.98
5.48s,32.01,767.43,169.01,544.40,1,16.02,26.01,10.00,39.00
5.39s,32.04,799.47,181.04,564.38,1,16.00,26.00,10.03,38.96
3.85s,17.00,816.47,193.05,584.38,1,16.02,26.00,10.00,38.94
4.38s,32.03,848.50,205.08,604.38,1,16.00,19.97,10.01,29.98
5.66s,32.01,880.51,205.08,624.38,1,16.02,26.64,10.00,29.96
4.36s,16.02,896.52,214.12,644.38,1,16.02,26.64,10.00,38.99
4.79s,32.03,928.56,226.12,664.38,1,16.00,19.96,10.01,29.99
4.67s,32.00,960.56,226.12,684.38,1,16.00,26.66,10.03,29.97
4.80s,32.00,992.56,234.17,704.38,1,16.02,26.64,10.01,41.95
5.12s,16.02,1008.57,246.17,724.40,1,16.02,25.96,10.01,39.00
3.75s,32.04,1040.61,258.17,744.39,1,16.00,19.96,10.01,29.94
4.44s,32.00,1072.61,266.22,764.42,1,16.02,19.98,10.00,29.92
5.74s,32.03,1104.64,266.22,784.38,1,16.02,26.64,10.00,29.96
3.27s,17.02,1121.66,278.23,804.38,1,20.02,26.02,10.03,29.97
4.77s,40.04,1161.70,290.26,824.38,1,16.00,19.96,10.01,29.94
5.46s,32.00,1193.70,290.26,844.38,1,15.99,26.61,10.02,29.95
5.17s,31.98,1225.68,307.31,864.38,1,16.00,26.66,10.01,38.99
5.96s,32.00,1257.68,319.31,884.38,1,16.00,25.95,10.01,38.99
3.59s,17.00,1274.68,331.30,904.38,1,16.02,25.96,10.00,38.99
3.72s,32.03,1306.71,343.30,924.41,1,16.02,20.00,10.02,29.96
5.82s,32.03,1338.74,352.33,944.41,1,16.02,20.00,10.00,29.96
6.83s,16.02,1354.76,364.36,964.38,1,16.00,24.99,0.06,29.97
3.54s,32.00,1386.76,374.34,974.41,1,15.01,19.99,7.51,19.99
6.69s,30.02,1416.78,374.34,994.41,1,14.03,23.33,6.67,20.00
5.16s,28.07,1444.85,382.35,1014.41,1,14.00,23.32,10.02,36.68
6.56s,28.00,1472.85,392.38,1034.41,1,15.01,23.31,10.01,34.01
5.14s,15.01,1487.86,408.44,1054.41,1,16.01,20.00,10.03,29.99
4.65s,16.01,1503.87,408.44,1074.41,1,16.02,26.62,10.00,30.00
2.39s,32.03,1535.91,408.44,1094.41,1,16.02,26.64,10.01,119.96
2.51s,32.03,1567.94,411.50,1114.42,1,16.03,22.46,5.05,29.97
5.08s,32.06,1600.00,416.49,1129.46,1,15.04,24.98,8.74,29.97
5.27s,30.07,1630.07,428.52,1149.45,1,15.01,24.97,9.99,29.97
3.76s,16.01,1646.09,440.58,1169.42,1,15.03,25.00,10.02,34.00
4.67s,16.03,1662.11,450.66,1189.43,1,15.03,19.95,10.02,27.48
2.89s,16.03,1678.14,450.66,1209.42,1,16.02,26.63,10.01,29.94
2.27s,32.03,1710.17,450.66,1227.48,1,15.65,29.94,6.04,119.95
1.89s,16.65,1726.82,452.71,1245.43,1,15.20,22.98,4.04,29.94
4.48s,30.41,1757.23,458.72,1261.46,1,14.46,23.95,8.01,23.95
4.46s,28.92,1786.15,458.72,1281.47,1,14.45,23.97,7.38,23.97
4.09s,15.45,1801.60,465.77,1301.48,1,14.81,24.64,9.99,37.40
4.41s,29.62,1831.22,474.70,1321.50,1,15.21,19.97,10.03,27.97
5.36s,30.43,1861.65,479.77,1341.46,1,16.00,19.96,10.02,29.95
5.92s,32.00,1893.65,479.77,1361.46,1,16.04,26.66,10.02,29.93
5.52s,32.07,1925.73,490.20,1381.46,1,16.00,25.99,10.03,38.93
4.46s,16.00,1941.73,502.20,1401.46,1,16.00,26.01,10.00,38.94
3.67s,32.01,1973.73,514.27,1421.46,1,16.00,19.96,10.01,29.99
4.59s,32.00,2005.73,522.28,1441.46,1,16.02,20.00,10.00,29.96
6.53s,16.02,2021.75,522.28,1461.46,1,16.03,26.62,10.01,30.00
3.84s,32.06,2053.81,534.28,1481.46,1,20.00,20.00,10.02,29.99
4.34s,21.00,2074.81,534.28,1501.47,1,16.02,26.63,10.00,29.98
3.52s,32.03,2106.84,542.35,1521.48,1,16.02,23.96,10.00,30.95
5.41s,32.04,2138.88,543.35,1541.46,1,16.00,26.00,10.01,30.95
4.43s,16.00,2154.88,567.43,1561.50,1,16.02,20.00,10.02,29.92
3.92s,16.02,2170.90,567.43,1581.46,1,16.00,26.62,10.04,29.96
2.39s,32.01,2202.91,567.43,1601.46,1,16.00,26.62,10.00,29.93
2.51s,32.01,2234.91,571.45,1621.46,1,16.00,21.98,6.01,29.95
5.55s,32.01,2266.92,575.45,1637.46,1,15.25,25.29,9.01,29.97
5.01s,30.50,2297.42,599.47,1657.50,1,15.24,19.96,8.69,27.98
5.73s,30.48,2327.90,609.97,1677.46,1,15.20,25.00,0.07,27.32
6.58s,30.40,2358.30,630.40,1687.50,1,14.01,19.96,6.64,20.01
7.16s,28.02,2386.32,630.40,1707.50,1,14.01,20.04,10.02,20.01
5.34s,28.02,2414.34,640.81,1727.50,1,20.00,23.33,10.02,20.00
6.00s,40.01,2454.35,648.82,1747.50,1,15.01,23.31,10.03,31.49
6.43s,30.02,2484.38,666.84,1767.50,1,16.02,24.98,10.00,38.02
5.13s,32.03,2516.41,686.88,1787.51,1,16.00,24.99,0.06,29.97
5.35s,32.01,2548.41,708.89,1797.51,1,15.04,20.00,7.54,20.00
5.22s,30.08,2578.49,720.90,1817.51,1,14.00,19.97,6.68,19.97
5.29s,28.01,2606.50,730.98,1837.51,1,15.00,23.31,0.06,19.97
6.03s,30.00,2636.50,748.99,1847.51,1,13.34,20.00,6.67,19.97
