time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
2.87s,10.00,10.00,0.00,10.00,0,10.00,119.95,0.04,119.95
3.25s,11.00,21.00,0.00,21.00,0,11.00,119.95,0.06,119.94
2.95s,12.00,33.00,0.00,33.00,0,12.00,119.95,0.06,119.94
2.26s,24.00,57.00,0.00,53.00,0,20.02,119.95,0.06,119.94
4.56s,40.03,97.03,0.00,73.00,0,20.02,119.96,0.06,119.94
4.51s,40.03,137.06,0.00,93.00,1,20.00,35.97,0.04,119.95
4.15s,40.00,177.06,0.00,113.00,1,20.00,27.96,12.06,119.95
6.30s,40.00,217.06,0.00,133.00,2,19.01,26.67,25.39,119.96
6.77s,19.01,236.07,0.00,153.00,2,16.01,26.63,24.07,119.96
7.38s,17.01,253.08,0.00,173.00,3,16.00,26.62,40.02,119.96
5.76s,32.01,285.09,0.00,193.00,3,16.01,26.62,40.00,119.96
7.20s,16.01,301.10,0.00,213.00,4,16.03,26.62,40.04,119.96
6.80s,32.06,333.16,0.00,233.00,4,16.00,26.66,40.00,119.96
6.15s,16.00,349.16,0.12,253.00,3,16.00,26.66,40.03,119.95
7.80s,32.00,381.16,0.58,273.00,4,16.00,26.66,40.03,119.96
8.62s,16.00,397.16,8.10,293.00,4,16.00,26.66,40.03,119.96
4.87s,32.00,429.16,8.10,313.00,4,16.02,26.64,40.00,119.96
8.16s,16.02,445.17,15.66,333.00,4,16.01,26.67,40.03,119.96
5.41s,32.02,477.20,15.66,353.00,4,16.02,26.64,40.05,119.95
8.71s,16.02,493.21,16.16,373.00,4,16.02,26.63,40.02,119.96
6.23s,17.02,510.23,16.16,393.00,4,16.01,26.65,40.00,119.95
8.04s,16.01,526.24,16.91,413.00,4,16.00,26.66,40.01,119.96
7.79s,32.00,558.24,25.24,433.00,4,16.01,26.64,40.02,119.95
4.11s,17.01,575.25,25.24,453.00,4,16.01,26.67,40.02,119.96
4.12s,17.01,592.26,25.24,473.00,4,16.01,26.67,40.02,119.95
9.19s,16.01,608.28,25.24,493.00,4,16.00,26.66,40.03,119.96
5.51s,17.00,625.28,25.24,513.00,4,16.01,26.63,40.01,119.95
5.82s,16.01,641.29,26.24,533.00,4,16.00,26.66,40.01,119.95
5.70s,32.00,673.29,26.24,553.00,4,16.01,26.63,40.01,119.96
11.04s,16.01,689.31,26.24,573.00,4,16.01,26.62,40.01,119.96
6.14s,16.01,705.32,27.24,593.00,4,16.01,26.62,40.02,119.96
7.24s,16.01,721.33,27.24,613.00,4,16.01,26.62,40.01,119.96
4.95s,17.01,738.34,27.24,633.00,4,16.00,26.66,40.03,119.96
3.52s,17.00,755.34,28.24,653.00,4,16.02,26.66,40.01,119.97
4.06s,17.02,772.36,28.24,673.00,4,16.00,26.66,40.02,119.95
4.67s,17.00,789.37,28.24,693.00,4,16.00,26.66,40.03,119.96
3.11s,17.00,806.37,28.24,713.00,3,16.02,26.66,40.01,119.95
4.06s,17.02,823.38,28.24,733.00,3,16.00,26.66,40.05,119.94
5.53s,32.00,855.38,28.24,753.00,3,16.02,26.66,40.03,119.94
6.29s,16.02,871.40,28.24,773.00,3,16.02,26.63,40.02,119.97
4.50s,17.02,888.42,28.24,793.00,3,16.00,26.66,40.02,119.95
6.76s,16.00,904.42,28.24,813.00,3,16.01,26.62,40.01,119.94
6.95s,16.01,920.42,28.24,833.00,3,16.05,26.65,40.03,119.95
5.38s,32.10,952.52,28.24,853.00,3,16.00,26.67,40.04,119.96
6.30s,32.00,984.52,28.24,873.00,3,16.00,26.66,40.01,119.95
