time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
3.04s,10.00,10.00,0.00,10.00,0,10.00,119.95,0.04,119.95
3.22s,11.00,21.00,0.00,21.00,0,11.00,119.95,0.06,119.94
3.40s,12.00,33.00,0.00,33.00,0,12.00,119.95,0.06,119.94
2.35s,24.00,57.00,0.00,53.00,0,20.02,119.95,0.06,119.94
4.32s,40.03,97.03,0.00,73.00,0,20.02,119.96,0.06,119.94
4.41s,40.03,137.06,14.03,93.00,0,20.02,32.97,0.04,19.00
5.06s,40.04,177.11,34.06,113.00,0,20.04,27.50,0.06,18.95
4.65s,40.07,217.18,54.11,133.00,0,19.04,24.46,1.56,18.97
4.35s,38.08,255.26,74.18,153.00,0,16.02,24.49,0.06,19.00
4.71s,32.03,287.29,92.26,173.00,0,16.01,23.98,0.06,19.00
4.47s,32.03,319.31,104.29,193.00,0,16.01,23.97,0.06,19.00
4.52s,32.02,351.34,116.31,213.00,0,16.02,24.00,0.04,18.97
4.68s,32.03,383.37,128.34,233.00,0,16.02,24.00,0.06,19.00
4.30s,32.03,415.40,140.37,253.00,0,16.02,24.00,0.04,18.97
4.52s,32.03,447.43,152.40,273.00,0,16.01,23.98,0.03,18.96
4.52s,32.03,479.46,164.43,293.00,0,16.02,24.00,0.04,18.97
4.88s,32.03,511.49,176.46,313.00,0,16.02,24.00,0.06,19.00
4.28s,32.03,543.52,188.49,333.00,0,16.01,23.98,0.06,19.00
4.69s,32.03,575.55,200.52,353.00,0,16.02,24.00,0.04,18.97
4.58s,32.03,607.58,212.55,373.00,0,16.01,23.98,0.06,19.00
4.51s,32.03,639.61,224.58,393.00,0,16.01,23.97,0.06,19.00
4.76s,32.02,671.63,236.61,413.00,0,16.02,24.00,0.04,18.97
4.59s,32.03,703.66,248.63,433.00,0,16.02,24.00,0.06,19.00
4.45s,32.03,735.69,260.66,453.00,0,16.02,24.00,0.04,18.97
4.42s,32.03,767.72,272.69,473.00,0,16.02,24.00,0.04,18.97
4.53s,32.03,799.75,284.72,493.00,0,16.02,24.00,0.04,18.97
4.70s,32.03,831.78,296.75,513.00,0,16.02,24.00,0.04,18.97
4.60s,32.03,863.81,308.78,533.00,0,16.02,24.00,0.04,18.97
4.72s,32.03,895.85,320.81,553.00,0,16.02,24.00,0.04,18.97
4.54s,32.03,927.88,332.85,573.00,0,16.02,24.00,0.04,18.97
4.61s,32.03,959.91,344.88,593.00,0,16.01,23.98,0.06,19.00
4.63s,32.03,991.94,356.91,613.00,0,16.02,24.00,0.04,18.97
4.54s,32.03,1023.97,368.94,633.00,0,16.02,24.00,0.06,19.00
4.56s,32.03,1056.00,380.97,653.00,0,16.02,24.00,0.04,18.97
4.57s,32.03,1088.03,393.00,673.00,0,16.01,23.98,0.06,19.00
4.74s,32.03,1120.06,405.03,693.00,0,16.01,23.97,0.04,18.98
4.62s,32.02,1152.08,417.06,713.00,0,16.02,24.00,0.04,18.97
4.49s,32.03,1184.11,429.08,733.00,0,16.01,23.96,0.03,18.99
4.62s,32.01,1216.12,441.11,753.00,0,16.02,24.00,0.04,18.97
4.69s,32.03,1248.15,453.12,773.00,0,16.01,23.98,0.06,19.00
4.30s,32.03,1280.18,465.15,793.00,0,16.02,24.00,0.04,18.97
4.56s,32.03,1312.21,477.18,813.00,0,16.03,24.01,0.04,18.97
4.74s,32.06,1344.27,489.21,833.00,0,16.02,24.00,0.06,19.00
4.58s,32.03,1376.30,501.27,853.00,0,16.02,24.00,0.04,18.97
4.57s,32.03,1408.34,513.30,873.00,0,16.02,24.00,0.04,18.97
4.47s,32.03,1440.37,525.34,893.00,0,16.02,24.00,0.04,18.97
4.48s,32.03,1472.40,537.37,913.00,0,16.02,24.00,0.04,18.97
4.37s,32.03,1504.43,549.40,933.00,0,16.02,24.00,0.04,18.97
4.47s,32.03,1536.46,561.43,953.00,0,16.02,24.00,0.04,18.97
4.57s,32.03,1568.49,573.46,973.00,0,16.02,24.00,0.04,18.97
4.43s,32.03,1600.52,585.49,993.00,0,16.01,23.98,0.04,18.97
4.50s,32.03,1632.55,597.52,1013.00,0,16.02,24.00,0.04,18.97
4.50s,32.03,1664.58,609.55,1033.00,0,16.02,24.00,0.06,19.00
4.63s,32.03,1696.61,621.58,1053.00,0,16.02,24.00,0.04,18.97
4.68s,32.03,1728.64,633.61,1073.00,0,16.01,23.98,0.03,18.97
4.43s,32.03,1760.67,645.64,1093.00,0,16.02,24.00,0.04,18.97
4.92s,32.03,1792.70,657.67,1113.00,0,16.02,24.00,0.06,19.00
4.73s,32.03,1824.73,669.70,1133.00,0,16.02,24.00,0.04,18.97
4.74s,32.03,1856.77,681.73,1153.00,0,16.01,23.98,0.03,18.97
4.51s,32.03,1888.79,693.77,1173.00,0,16.02,24.00,0.04,18.97
4.67s,32.03,1920.82,705.79,1193.00,0,16.01,23.98,0.06,19.00
4.93s,32.03,1952.85,717.82,1213.00,0,16.02,24.00,0.04,18.97
4.71s,32.03,1984.88,729.85,1233.00,0,16.02,24.00,0.06,19.00
4.68s,32.03,2016.91,741.88,1253.00,0,16.02,24.00,0.04,18.97
4.48s,32.03,2048.95,753.91,1273.00,0,16.01,23.98,0.03,18.97
4.51s,32.03,2080.97,765.95,1293.00,0,16.02,24.00,0.04,18.97
4.62s,32.03,2113.00,777.97,1313.00,0,16.02,24.00,0.06,19.00
4.49s,32.03,2145.04,790.00,1333.00,0,16.02,24.00,0.04,18.97
4.48s,32.03,2177.07,802.04,1353.00,0,16.02,24.00,0.04,18.97
4.53s,32.03,2209.10,814.07,1373.00,0,16.01,23.98,0.04,18.97
4.46s,32.03,2241.12,826.10,1393.00,0,16.01,23.97,0.06,19.00
4.66s,32.02,2273.15,838.12,1413.00,0,16.02,24.00,0.04,18.97
4.40s,32.03,2305.18,850.15,1433.00,0,16.03,24.01,0.04,18.97
4.85s,32.06,2337.24,862.18,1453.00,0,16.02,24.00,0.06,19.00
4.49s,32.03,2369.27,874.24,1473.00,0,16.02,24.00,0.04,18.97
4.61s,32.03,2401.30,886.27,1493.00,0,16.02,24.00,0.04,18.97
4.69s,32.03,2433.33,898.30,1513.00,0,16.01,23.98,0.06,19.00
4.58s,32.03,2465.36,910.33,1533.00,0,16.01,23.97,0.06,19.00
4.74s,32.02,2497.38,922.36,1553.00,0,16.01,23.97,0.06,19.00
4.84s,32.01,2529.39,934.38,1573.00,0,16.00,23.96,0.04,18.99
4.69s,32.00,2561.39,946.39,1593.00,0,16.02,23.96,0.04,18.97
4.65s,32.03,2593.42,958.39,1613.00,0,16.01,23.98,0.06,19.00
4.69s,32.03,2625.45,970.42,1633.00,0,16.01,23.97,0.06,19.00
4.64s,32.02,2657.47,982.45,1653.00,0,16.02,24.00,0.04,18.97
4.60s,32.03,2689.50,994.47,1673.00,0,16.02,24.00,0.06,19.00
4.67s,32.03,2721.54,1006.50,1693.00,0,16.02,24.00,0.04,18.97
4.74s,32.03,2753.57,1018.54,1713.00,0,16.01,23.98,0.06,19.00
4.69s,32.03,2785.59,1030.57,1733.00,0,16.01,23.97,0.06,19.00
4.80s,32.02,2817.62,1042.59,1753.00,0,16.02,24.00,0.04,18.97
4.67s,32.03,2849.65,1054.62,1773.00,0,16.02,24.00,0.06,19.00
4.70s,32.03,2881.68,1066.65,1793.00,0,16.02,24.00,0.04,18.97
4.62s,32.03,2913.71,1078.68,1813.00,0,16.02,24.00,0.04,18.97
4.60s,32.03,2945.74,1090.71,1833.00,0,16.01,23.98,0.06,19.00
4.67s,32.03,2977.77,1102.74,1853.00,0,16.02,24.00,0.04,18.97
4.46s,32.03,3009.80,1114.77,1873.00,0,16.01,23.98,0.04,18.97
4.68s,32.03,3041.83,1126.80,1893.00,0,16.02,24.00,0.04,18.97
4.69s,32.03,3073.86,1138.83,1913.00,0,16.02,24.00,0.06,19.00
4.77s,32.03,3105.89,1150.86,1933.00,0,16.02,24.00,0.04,18.97
4.75s,32.03,3137.92,1162.89,1953.00,0,16.02,24.00,0.04,18.97
4.58s,32.03,3169.95,1174.92,1973.00,0,16.02,24.00,0.04,18.97
