time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
12.09s,6.00,6.00,0.00,0.04,0,5.00,119.94,0.06,119.94
10.42s,6.00,12.00,0.00,6.00,1,5.00,119.94,0.06,119.94
10.27s,5.00,17.00,0.00,12.02,0,5.00,119.94,0.05,119.94
9.82s,6.00,23.00,0.00,17.02,0,5.01,119.94,0.05,119.94
12.97s,6.01,29.01,0.00,23.01,0,5.02,119.94,0.06,119.94
11.37s,2.51,31.52,0.00,29.01,0,5.00,119.94,0.04,119.94
10.41s,5.00,36.52,0.00,31.52,0,5.02,119.94,0.06,119.94
7.34s,10.04,46.56,0.00,36.52,0,5.02,119.94,0.06,119.94
12.41s,5.02,51.58,0.00,46.56,1,5.06,119.94,0.04,119.94
9.09s,2.53,54.11,0.00,51.58,1,5.02,119.94,0.04,119.94
7.20s,6.02,60.13,0.00,54.11,1,5.05,119.95,0.06,119.94
8.53s,5.05,65.18,0.00,60.13,1,5.06,119.94,0.04,119.94
8.71s,5.06,70.23,0.00,65.18,1,5.01,119.94,0.06,119.94
8.48s,5.01,75.24,0.00,70.23,1,5.02,119.94,0.04,119.94
8.66s,2.51,77.75,0.00,75.24,1,5.03,119.94,0.04,119.94
7.00s,6.03,83.78,0.00,77.75,1,5.00,119.94,0.06,119.94
9.90s,5.00,88.78,0.00,83.78,1,5.04,119.94,0.06,119.94
7.90s,6.04,94.82,0.00,88.78,1,5.04,119.94,0.01,119.94
9.31s,5.04,99.86,0.00,94.82,1,5.00,119.94,0.03,119.94
8.68s,6.00,105.86,0.00,99.86,1,5.04,119.94,0.06,119.94
8.91s,5.04,110.90,0.00,105.86,1,5.00,119.94,0.03,119.94
9.00s,5.00,115.90,0.00,110.90,1,5.04,119.94,0.06,119.94
7.39s,6.04,121.93,0.00,115.90,1,5.00,119.94,0.03,119.94
8.97s,5.00,126.93,0.00,121.93,1,5.00,119.94,0.03,119.94
9.14s,2.50,129.43,0.00,126.93,1,5.00,119.94,0.03,119.94
6.67s,2.50,131.93,0.00,129.43,1,5.02,119.94,0.04,119.94
6.86s,6.02,137.95,0.00,131.93,1,5.00,119.94,0.05,119.94
9.27s,6.00,143.95,0.00,137.95,1,5.03,119.94,0.06,119.94
10.39s,5.03,148.98,0.00,143.95,1,5.00,119.94,0.06,119.94
8.11s,2.50,151.48,0.00,148.98,1,5.00,119.94,0.04,119.94
7.65s,5.00,156.48,0.00,151.48,1,5.03,119.94,0.05,119.94
