time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
11.72s,6.00,6.00,0.00,6.00,0,6.00,119.94,0.05,119.95
12.53s,7.00,13.00,0.00,13.00,0,7.00,119.94,0.06,119.94
6.96s,8.00,21.00,0.00,21.00,0,8.00,119.95,0.06,119.94
5.69s,9.00,30.00,0.00,30.00,0,9.00,119.95,0.06,119.94
6.37s,10.00,40.00,0.00,40.00,0,10.00,119.95,0.06,119.94
5.95s,11.00,51.00,0.00,51.00,0,11.00,119.95,0.06,119.94
6.68s,12.00,63.00,0.00,63.00,0,12.00,119.95,0.06,119.94
7.28s,13.00,76.00,0.00,76.00,0,13.00,119.95,0.06,119.94
7.67s,13.00,89.00,0.00,89.00,0,13.00,119.95,0.06,119.94
6.79s,13.00,102.00,0.00,102.00,0,13.00,119.95,0.06,119.94
6.44s,14.00,116.00,0.00,116.00,0,14.00,119.95,0.06,119.94
6.77s,14.00,130.00,0.00,130.00,0,14.00,119.95,0.06,119.94
6.39s,14.00,144.00,0.00,144.00,0,14.00,119.95,0.06,119.94
7.12s,14.00,158.00,0.00,158.00,0,14.00,119.95,0.06,119.94
7.22s,15.00,173.00,0.00,173.00,0,15.00,119.95,0.06,119.94
6.91s,16.00,189.00,0.00,189.00,0,16.00,119.95,0.06,119.94
6.22s,17.00,206.00,0.00,206.00,0,17.00,119.95,0.06,119.94
5.91s,18.00,224.00,0.00,224.00,0,18.00,119.95,0.06,119.94
6.83s,18.00,242.00,0.00,242.00,0,18.00,119.95,0.06,119.94
7.45s,18.00,260.00,0.00,260.00,0,18.00,119.95,0.06,119.94
6.91s,18.00,278.00,0.00,278.00,0,18.00,119.95,0.06,119.94
7.65s,18.00,296.00,0.00,296.00,0,18.00,119.95,0.06,119.94
7.79s,18.00,314.00,0.00,314.00,0,18.00,119.95,0.06,119.94
6.21s,18.00,332.00,0.00,332.00,0,18.00,119.95,0.06,119.94
10.48s,18.00,350.00,0.00,350.00,0,18.00,119.95,0.06,119.94
10.47s,18.00,368.00,0.00,368.00,0,18.00,119.95,0.06,119.94
9.70s,18.00,386.00,0.00,386.00,0,18.00,119.95,0.06,119.94
6.66s,18.00,404.00,0.00,404.00,0,18.00,119.95,0.06,119.94
6.95s,18.00,422.00,0.00,422.00,0,18.00,119.95,0.06,119.94
6.20s,18.00,440.00,0.00,440.00,0,18.00,119.95,0.06,119.94
6.09s,18.00,458.00,0.00,458.00,0,18.00,119.95,0.06,119.94
6.30s,18.00,476.00,0.00,476.00,0,18.00,119.95,0.06,119.94
6.34s,18.00,494.00,0.00,494.00,0,18.00,119.95,0.06,119.94
6.90s,18.00,512.00,0.00,512.00,0,18.00,119.95,0.06,119.94
7.30s,18.00,530.00,0.00,530.00,0,18.00,119.95,0.06,119.94
7.43s,18.00,548.00,0.00,548.00,0,18.00,119.95,0.06,119.94
6.66s,18.00,566.00,0.00,566.00,0,18.00,119.95,0.06,119.94
6.58s,18.00,584.00,0.00,584.00,0,18.00,119.95,0.06,119.94
6.65s,18.00,602.00,0.00,602.00,0,18.00,119.95,0.06,119.94
6.61s,18.00,620.00,0.00,620.00,0,18.00,119.95,0.06,119.94
6.05s,18.00,638.00,0.00,638.00,0,18.00,119.95,0.06,119.94
6.45s,18.00,656.00,0.00,656.00,0,18.00,119.95,0.06,119.94
6.14s,18.00,674.00,0.00,674.00,0,18.00,119.95,0.06,119.94
7.76s,18.00,692.00,0.00,692.00,0,18.00,119.95,0.06,119.94
10.43s,18.00,710.00,0.00,710.00,0,18.00,119.95,0.06,119.94
10.85s,18.00,728.00,0.00,728.00,0,18.00,119.95,0.06,119.94
7.09s,18.00,746.00,0.00,746.00,0,18.00,119.95,0.06,119.94
6.11s,18.00,764.00,0.00,764.00,0,18.00,119.95,0.06,119.94
6.97s,18.00,782.00,0.00,782.00,0,18.00,119.95,0.06,119.94
10.95s,18.00,800.00,0.00,800.00,0,18.00,119.95,0.06,119.94
10.08s,18.00,818.00,0.00,818.00,0,18.00,119.95,0.06,119.94
6.62s,18.00,836.00,0.00,836.00,0,18.00,119.95,0.06,119.94
6.52s,18.00,854.00,0.00,854.00,0,18.00,119.95,0.06,119.94
6.17s,18.00,872.00,0.00,872.00,0,18.00,119.95,0.06,119.94
6.00s,18.00,890.00,0.00,890.00,0,18.00,119.95,0.06,119.94
6.22s,18.00,908.00,0.00,908.00,0,18.00,119.95,0.06,119.94
5.99s,18.00,926.00,0.00,926.00,0,18.00,119.95,0.06,119.94
6.32s,18.00,944.00,0.00,944.00,0,18.00,119.95,0.06,119.94
6.15s,18.00,962.00,0.00,962.00,0,18.00,119.95,0.06,119.94
6.22s,18.00,980.00,0.00,980.00,0,18.00,119.95,0.06,119.94
5.86s,18.00,998.00,0.00,998.00,0,18.00,119.95,0.06,119.94
6.38s,18.00,1016.00,0.00,1016.00,0,18.00,119.95,0.06,119.94
7.13s,18.00,1034.00,0.00,1034.00,0,18.00,119.95,0.06,119.94
10.18s,18.00,1052.00,0.00,1052.00,0,18.00,119.95,0.06,119.94
8.13s,18.00,1070.00,0.00,1070.00,0,18.00,119.95,0.06,119.94
7.52s,18.00,1088.00,0.00,1088.00,0,18.00,119.95,0.06,119.94
7.45s,18.00,1106.00,0.00,1106.00,0,18.00,119.95,0.06,119.94
7.35s,18.00,1124.00,0.00,1124.00,0,18.00,119.95,0.06,119.94
6.66s,18.00,1142.00,0.00,1142.00,0,18.00,119.95,0.06,119.94
6.43s,18.00,1160.00,0.00,1160.00,0,18.00,119.95,0.06,119.94
6.58s,18.00,1178.00,0.00,1178.00,0,18.00,119.95,0.06,119.94
7.03s,18.00,1196.00,0.00,1196.00,0,18.00,119.95,0.06,119.94
