time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
6.80s,6.00,6.00,0.00,0.00,0,5.00,120.00,0.06,120.00,5.02,6.00
10.13s,6.00,12.00,0.00,6.00,1,5.03,120.00,0.06,120.00,5.02,6.00
6.73s,6.03,18.03,0.00,12.02,0,5.03,120.00,0.06,120.00,4.04,6.02
7.13s,6.03,24.07,0.00,18.03,1,5.04,120.00,0.06,120.00,5.04,6.03
7.00s,6.04,30.11,0.00,24.07,0,5.01,120.00,0.06,120.00,4.01,6.04
8.24s,6.01,36.11,0.00,30.11,0,5.04,120.00,0.06,120.00,4.03,6.00
9.71s,6.04,42.16,0.00,36.12,0,5.00,120.00,0.03,120.00,4.01,6.04
8.76s,6.00,48.16,0.00,42.16,1,5.00,120.00,0.06,120.00,5.02,6.00
6.46s,120.00,168.16,0.00,48.16,1,5.02,120.00,0.06,120.00,5.04,120.00
9.28s,5.02,173.17,0.00,68.16,1,10.00,19.99,0.06,120.00,5.03,105.02
20.55s,5.00,178.17,0.00,88.16,2,13.36,20.00,20.04,120.00,10.02,90.02
5.15s,6.68,184.85,0.00,108.16,3,15.01,21.99,40.02,120.00,16.70,76.70
8.76s,30.01,214.87,6.00,122.16,4,15.00,24.64,37.00,120.00,41.69,86.71
26.70s,7.50,222.37,45.52,128.16,3,13.50,19.99,30.01,120.00,34.54,48.69
19.34s,19.99,242.35,45.77,148.16,2,12.00,19.96,24.29,120.00,26.96,48.43
20.43s,12.00,254.35,45.77,168.17,3,13.34,19.95,40.05,120.00,38.68,40.42
6.61s,19.95,274.30,45.77,188.16,2,15.05,21.99,28.45,120.00,33.48,40.38
6.30s,30.10,304.40,45.77,202.16,2,15.05,24.63,31.44,120.00,39.43,56.47
13.80s,15.05,319.45,45.77,208.17,3,13.54,19.98,30.04,120.00,40.53,65.51
23.68s,19.98,339.42,45.77,228.17,3,12.04,19.95,33.35,120.00,36.01,65.49
21.58s,24.08,363.50,45.77,248.17,3,13.33,20.00,40.02,120.00,40.02,69.57
12.22s,26.66,390.16,45.77,268.16,3,15.00,21.97,40.04,120.00,45.00,76.23
7.80s,7.50,397.66,45.77,282.16,3,15.00,24.64,37.01,120.00,37.52,69.73
22.47s,15.00,412.66,45.77,288.17,4,13.51,20.00,30.00,120.00,36.02,78.72
21.87s,14.51,427.16,51.25,308.17,4,12.04,19.95,33.33,120.00,36.00,67.75
29.64s,13.04,440.20,55.33,328.17,4,13.33,20.00,40.02,120.00,39.73,56.70
11.44s,13.33,453.53,61.99,348.17,3,15.00,21.97,40.03,120.00,40.88,43.37
7.79s,30.00,483.53,61.99,362.16,3,15.02,24.63,37.04,120.00,45.00,59.38
21.33s,24.63,508.16,61.99,368.23,3,13.55,19.99,30.05,120.00,40.53,77.94
33.51s,27.11,535.26,61.99,388.17,3,12.04,19.95,33.32,120.00,36.03,85.10
24.68s,24.08,559.34,61.99,408.17,3,13.31,19.98,39.96,120.00,39.98,89.18
10.40s,6.66,566.00,61.99,428.17,3,14.99,21.96,40.01,120.00,36.66,75.84
14.83s,15.99,581.98,61.99,442.17,4,15.01,24.63,36.99,120.00,37.66,77.82
24.16s,15.01,596.99,65.98,448.26,4,13.50,20.00,30.10,120.00,37.68,82.74
23.04s,14.50,611.49,87.00,468.17,4,12.00,19.96,33.29,120.00,36.01,56.32
25.56s,24.00,635.49,91.17,488.17,3,13.36,19.97,39.91,120.00,39.92,56.15
9.87s,26.72,662.21,91.17,508.17,2,14.98,21.95,37.65,120.00,42.61,62.87
7.51s,14.98,677.19,91.17,522.18,2,14.98,24.62,35.12,120.00,43.08,63.84
28.97s,14.98,692.17,91.17,528.28,3,13.51,20.00,30.10,120.00,40.51,72.72
34.39s,13.51,705.68,91.17,548.17,3,12.03,20.00,33.29,120.00,36.02,66.34
30.01s,24.06,729.74,91.17,568.20,4,13.37,19.98,39.96,120.00,39.93,70.37
10.44s,14.37,744.11,91.17,588.21,3,15.00,22.01,40.04,120.00,44.38,64.73
5.46s,7.50,751.61,91.17,602.18,3,15.01,24.63,36.99,120.00,36.87,58.26
21.83s,15.01,766.62,91.17,608.29,4,13.50,20.00,30.10,120.00,36.07,67.16
20.36s,14.50,781.12,97.39,628.21,4,12.05,19.96,33.30,120.00,36.03,55.52
23.61s,12.05,793.17,97.39,648.21,3,13.31,19.96,39.95,120.00,38.70,47.57
8.78s,13.31,806.48,97.39,668.22,3,14.98,22.01,40.00,120.00,39.88,40.88
6.22s,22.01,828.49,97.39,682.18,3,15.01,24.59,36.99,120.00,44.96,48.92
23.17s,16.01,844.50,97.39,688.29,3,13.49,19.99,30.06,120.00,40.50,58.82
24.92s,19.99,864.49,97.39,708.22,3,12.05,19.96,33.32,120.00,36.06,58.89
17.93s,13.05,877.54,97.39,728.22,3,13.31,19.98,39.93,120.00,39.71,51.94
10.28s,26.62,904.16,97.39,748.22,2,14.99,21.97,38.91,120.00,43.86,58.55
5.99s,21.97,926.12,97.39,762.20,3,14.98,24.62,37.00,120.00,44.97,66.54
25.86s,14.98,941.11,97.39,768.29,3,13.52,20.01,30.05,120.00,40.51,75.43
26.07s,20.01,961.11,97.39,788.22,3,12.04,19.96,33.29,120.00,36.02,75.51
21.75s,13.04,974.15,97.39,808.22,3,13.33,19.99,39.93,120.00,39.67,68.55
10.39s,13.33,987.48,97.39,828.22,4,14.99,21.96,40.04,120.00,41.41,61.87
8.66s,21.96,1009.44,97.90,842.20,4,14.98,24.62,36.98,120.00,44.98,69.34
22.29s,29.97,1039.41,98.91,848.29,4,13.53,20.02,30.07,120.00,40.52,92.21
24.23s,14.53,1053.94,112.82,868.22,3,12.04,19.96,33.30,120.00,36.02,72.90
22.81s,19.96,1073.90,112.82,888.24,3,13.36,19.98,39.99,120.00,39.97,72.83
