time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
7.70s,6.00,6.00,0.00,6.00,0,6.00,120.00,0.06,120.00,0.00,0.00
5.70s,7.00,13.00,0.00,13.00,0,7.00,120.00,0.06,120.00,0.00,0.00
4.53s,8.00,21.00,0.00,21.00,0,8.00,120.00,0.06,120.00,0.00,0.00
4.45s,9.00,30.00,0.00,30.00,0,9.00,120.00,0.06,120.00,0.00,0.00
4.14s,10.00,40.00,0.00,40.00,0,10.00,120.00,0.06,120.00,0.00,0.00
4.02s,11.00,51.00,0.00,51.00,0,11.00,120.00,0.06,120.00,0.00,0.00
4.08s,12.00,63.00,0.00,63.00,0,12.00,120.00,0.06,120.00,0.00,0.00
4.33s,13.00,76.00,0.00,76.00,0,13.00,120.00,0.06,120.00,0.00,0.00
4.35s,14.00,90.00,0.00,90.00,0,14.00,120.00,0.06,120.00,0.00,0.00
3.77s,28.00,118.00,0.00,110.00,0,20.02,120.00,0.06,120.00,0.06,8.00
5.67s,20.02,138.02,0.00,130.00,0,20.02,120.00,0.03,120.00,8.02,8.02
7.22s,20.02,158.03,0.00,150.00,0,20.02,120.00,0.06,120.00,8.03,8.03
4.93s,21.02,179.05,0.00,170.00,0,20.02,120.00,0.03,120.00,8.06,9.05
8.11s,21.02,200.07,0.00,190.00,0,18.02,120.00,0.06,120.00,7.08,10.07
10.24s,19.02,219.09,0.07,210.00,0,18.02,20.92,0.08,9.99,8.00,9.02
8.16s,36.05,255.14,0.07,230.00,0,18.00,20.95,0.12,9.98,7.05,11.85
15.70s,9.00,264.14,15.14,249.00,0,20.02,20.96,0.02,9.98,0.00,0.00
4.43s,20.02,284.16,15.14,269.00,0,20.04,20.98,0.04,9.99,0.02,0.02
4.21s,20.04,304.19,15.14,289.00,0,20.01,29.97,0.02,9.97,0.05,0.05
5.93s,20.01,324.20,15.14,309.00,0,20.04,120.00,0.03,120.00,0.06,0.06
7.02s,20.04,344.24,15.14,329.00,0,20.00,120.00,0.05,120.00,0.10,0.10
7.20s,20.00,364.24,15.14,349.00,0,20.00,120.00,0.05,120.00,0.10,0.10
7.44s,20.00,384.24,15.14,369.00,0,19.99,120.00,0.05,120.00,0.10,0.10
