time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
4.14s,120.00,120.00,0.00,0.00,0,5.01,120.00,0.04,120.00
5.30s,120.00,240.00,0.00,20.04,1,10.03,19.99,0.04,120.00
4.60s,5.01,245.01,90.00,40.02,1,13.34,20.01,10.03,25.68
9.90s,6.67,251.68,190.00,55.08,0,13.77,19.99,10.00,22.46
3.89s,27.54,279.22,190.00,61.71,0,13.79,40.01,9.98,29.91
4.28s,27.59,306.81,190.00,81.71,1,12.38,20.56,0.05,120.00
5.46s,6.19,313.00,190.00,101.68,1,13.34,20.52,7.59,120.00
11.25s,20.52,333.52,196.79,116.21,1,13.63,20.75,8.35,23.82
5.58s,27.26,360.78,196.79,136.21,1,14.90,24.79,8.37,28.27
5.62s,7.45,368.23,196.79,156.21,1,14.91,24.79,0.57,120.00
9.70s,29.82,398.05,204.06,164.18,1,13.63,19.97,0.55,18.66
13.39s,27.27,425.32,204.06,184.18,1,13.73,22.65,0.54,20.47
8.96s,22.65,447.97,211.14,204.19,1,13.62,22.65,2.75,25.95
8.17s,6.81,454.78,218.41,216.93,1,13.37,20.23,7.60,25.36
8.09s,26.74,481.52,221.04,233.74,0,13.92,20.02,10.02,22.71
4.45s,20.02,501.54,221.04,253.75,1,13.94,23.19,10.00,22.73
5.33s,23.19,524.73,221.04,273.74,1,14.23,23.15,6.76,120.00
5.55s,23.15,547.87,221.05,290.50,1,14.73,21.60,8.93,29.91
7.07s,21.60,569.47,224.23,310.50,1,15.36,21.55,10.01,29.94
6.92s,21.55,591.02,227.38,330.50,1,15.37,20.79,10.02,30.47
15.49s,30.74,621.76,228.98,350.51,1,15.37,20.77,10.01,29.92
15.77s,20.77,642.53,230.53,370.50,1,16.00,25.34,10.01,31.52
5.73s,16.00,658.53,241.27,390.50,1,16.03,20.38,10.02,30.74
10.08s,8.02,666.54,242.03,410.50,1,16.01,19.99,10.03,29.95
5.03s,19.99,686.53,242.03,424.51,1,15.05,29.96,10.02,29.97
3.92s,30.11,716.64,242.03,444.51,0,14.82,39.98,6.02,120.00
4.54s,29.64,746.28,242.14,464.54,1,14.81,24.67,0.06,27.96
7.72s,29.62,775.90,252.09,474.56,1,13.52,21.32,6.68,27.02
10.58s,27.04,802.94,261.73,494.56,1,14.01,23.31,10.00,28.99
6.54s,7.00,809.94,278.39,514.56,1,14.04,19.96,9.99,26.65
8.07s,28.07,838.02,278.39,531.55,1,14.26,24.97,9.99,26.50
4.09s,28.53,866.54,278.39,551.55,1,15.43,25.66,9.99,120.00
7.26s,15.43,881.97,278.39,571.55,1,15.43,25.62,8.10,120.00
5.62s,16.43,898.40,286.92,589.62,1,15.01,19.98,9.39,27.05
6.28s,19.98,918.39,286.92,609.62,1,15.62,25.99,9.38,28.07
4.20s,7.81,926.20,286.92,629.62,1,15.63,26.01,5.44,120.00
6.46s,31.26,957.46,286.92,639.28,0,14.56,29.00,1.86,120.00
8.12s,29.12,986.57,286.92,659.31,1,13.97,23.21,1.85,120.00
6.49s,23.21,1009.78,288.18,679.31,1,13.94,23.23,10.00,35.60
7.14s,6.97,1016.75,297.30,699.28,1,15.04,21.56,10.03,30.58
10.82s,30.08,1046.83,300.51,716.25,0,15.43,20.00,10.00,29.93
7.57s,7.71,1054.55,300.51,736.28,1,15.40,25.64,10.00,29.91
9.97s,16.40,1070.95,300.59,753.96,0,14.96,28.49,9.96,28.44
6.32s,29.93,1100.88,300.59,770.36,0,14.23,36.98,9.96,28.42
4.11s,28.45,1129.33,300.59,790.41,1,14.87,24.67,0.05,120.00
8.75s,24.67,1154.00,306.92,803.96,1,13.55,22.54,6.95,32.00
6.19s,6.78,1160.78,320.04,823.96,1,14.02,19.95,6.85,26.74
6.45s,28.04,1188.82,320.04,840.74,0,14.08,24.67,10.03,26.75
4.62s,28.15,1216.98,320.04,860.78,1,14.21,23.45,10.05,25.92
6.86s,28.41,1245.39,320.04,880.79,1,15.39,25.60,8.03,120.00
5.80s,7.69,1253.08,328.19,898.83,1,15.01,24.16,9.34,36.36
7.25s,30.02,1283.10,336.61,916.49,0,15.17,19.98,10.00,27.99
5.38s,7.58,1290.68,336.61,936.52,1,15.18,25.23,9.96,27.96
6.44s,30.35,1321.04,336.62,954.07,0,14.69,27.86,9.98,28.51
5.18s,29.38,1350.41,336.62,974.10,1,15.05,25.04,9.97,28.79
5.74s,25.04,1375.46,336.98,994.06,1,15.55,25.83,10.05,38.51
5.68s,7.78,1383.23,346.35,1014.06,1,15.52,22.48,10.00,34.42
7.07s,31.04,1414.27,351.40,1031.84,0,15.58,20.00,10.02,29.95
5.48s,7.79,1422.06,351.40,1051.88,1,15.58,25.92,10.01,29.96
6.79s,31.16,1453.23,352.44,1069.63,0,15.14,28.87,9.97,28.82
5.42s,30.29,1483.51,352.44,1089.66,1,15.12,25.16,9.96,28.84
6.62s,16.12,1499.63,353.60,1109.63,1,15.59,25.91,10.03,39.51
5.28s,7.79,1507.43,363.89,1129.63,1,15.56,19.98,10.04,28.87
10.05s,7.78,1515.21,363.89,1143.54,0,15.03,29.95,10.01,29.95
4.22s,30.06,1545.27,363.89,1151.32,0,13.48,39.95,6.13,120.00
8.20s,14.48,1559.75,363.95,1171.36,1,12.36,20.03,0.04,23.86
6.55s,12.36,1572.11,363.95,1191.32,1,13.35,20.55,10.04,20.83
9.71s,6.67,1578.78,363.95,1208.16,0,14.24,23.85,10.00,120.00
4.31s,28.47,1607.26,363.95,1214.84,1,14.25,39.98,4.49,120.00
7.09s,28.49,1635.75,363.95,1234.84,1,12.71,21.15,0.04,120.00
7.03s,6.36,1642.10,363.95,1254.88,1,13.36,21.17,8.48,120.00
