time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
4.10s,120.00,120.00,0.00,20.00,0,20.03,120.00,0.06,120.00
4.28s,120.00,240.00,90.00,40.00,0,20.00,38.99,0.04,18.97
4.63s,38.99,278.99,208.99,60.00,0,20.00,20.00,10.00,10.00
4.14s,20.00,298.99,208.99,80.00,0,20.00,20.00,10.00,10.00
5.68s,20.00,318.99,208.99,100.00,0,20.02,24.96,0.06,9.96
5.33s,40.03,359.03,208.99,120.00,0,20.00,29.96,0.04,9.97
6.56s,20.00,379.03,229.03,140.00,0,17.50,20.00,0.00,9.96
9.43s,35.00,414.03,229.03,160.00,0,17.50,20.00,0.00,9.96
4.99s,20.00,434.03,244.03,180.00,0,20.00,20.00,0.04,10.00
3.63s,10.00,444.03,244.03,200.00,0,17.50,20.00,0.00,9.96
5.84s,20.00,464.03,244.03,220.00,0,20.00,20.00,0.00,9.96
3.11s,20.00,484.03,244.03,240.00,0,20.00,29.96,0.06,9.95
3.83s,21.00,505.03,244.03,260.00,0,20.02,120.00,0.06,120.00
6.61s,40.04,545.07,255.07,280.00,0,20.04,28.99,0.06,9.96
5.26s,20.04,565.11,255.11,300.00,0,20.02,28.92,0.04,9.96
5.18s,21.02,586.12,255.11,320.00,0,20.01,28.94,0.04,9.96
6.25s,40.03,626.15,256.12,340.00,0,20.04,29.95,0.04,9.98
5.44s,20.04,646.19,276.15,360.00,0,17.51,20.01,0.01,10.03
6.92s,8.76,654.95,276.19,378.76,0,17.21,19.98,0.05,9.97
5.58s,19.98,674.93,276.19,398.74,0,20.00,20.00,0.02,9.98
2.70s,10.00,684.93,276.19,408.74,0,20.00,29.96,0.06,9.95
4.00s,29.96,714.89,276.19,428.74,0,20.01,120.00,0.06,120.00
6.52s,40.02,754.90,276.19,448.74,0,20.02,120.00,0.04,120.00
6.52s,40.04,794.94,296.16,468.74,0,20.02,29.04,0.91,18.99
4.21s,10.01,804.95,316.20,488.74,0,20.00,20.00,10.00,10.00
4.20s,20.00,824.95,316.20,508.74,0,19.99,19.99,0.08,9.99
3.63s,19.99,844.94,316.20,528.74,0,20.00,29.96,0.04,9.99
4.33s,21.00,865.94,316.20,548.74,0,20.00,120.00,0.01,120.00
7.00s,21.00,886.94,316.20,568.74,0,20.00,120.00,0.06,120.00
8.83s,40.00,926.94,328.20,588.74,0,20.01,27.96,0.06,9.95
6.02s,21.01,947.95,329.22,608.74,0,20.02,26.94,0.06,9.95
6.59s,21.02,968.97,330.23,628.74,0,19.79,20.51,6.97,9.95
12.15s,9.89,978.86,330.23,648.63,0,20.03,20.51,6.48,9.97
4.11s,20.51,999.37,330.23,668.63,0,20.00,28.97,0.05,9.95
7.01s,20.00,1019.37,330.23,688.63,0,20.02,120.00,0.06,120.00
6.94s,40.04,1059.42,340.79,708.63,0,20.02,29.48,0.06,9.96
5.87s,21.02,1080.44,341.81,728.63,0,20.05,28.46,0.06,9.95
4.98s,21.05,1101.49,342.86,748.63,0,19.90,20.50,7.98,9.98
11.60s,9.95,1111.44,342.86,768.58,0,20.03,20.51,7.96,9.98
3.73s,20.51,1131.95,342.86,788.58,0,20.02,28.92,0.03,9.96
6.74s,21.02,1152.96,342.86,808.58,0,20.01,120.00,0.02,120.00
8.79s,40.03,1192.99,342.86,828.58,0,20.02,120.00,0.04,120.00
6.82s,40.03,1233.03,354.41,848.58,0,20.05,34.22,0.04,19.00
5.38s,34.22,1267.24,374.45,868.58,0,19.91,27.11,1.37,18.97
7.77s,20.91,1288.15,388.66,888.58,0,19.63,20.30,8.17,10.90
11.87s,9.81,1297.96,389.57,908.39,0,15.98,19.98,0.06,9.98
8.35s,19.98,1317.94,389.57,928.37,0,20.00,20.00,0.06,9.97
3.58s,20.00,1337.94,389.57,948.37,0,20.00,29.96,0.06,9.95
4.35s,21.00,1358.93,389.57,968.37,0,20.01,120.00,0.06,120.00
8.03s,40.02,1398.96,389.57,988.37,0,20.02,120.00,0.04,120.00
6.62s,40.04,1438.99,400.59,1008.37,0,20.02,34.49,0.04,18.98
6.50s,20.02,1459.01,420.62,1028.37,0,20.01,20.01,9.98,9.98
7.46s,10.00,1469.01,420.64,1048.37,0,19.77,20.00,9.00,9.98
4.14s,20.00,1489.01,420.64,1068.37,0,20.00,20.00,0.00,9.96
3.21s,20.00,1509.01,420.64,1088.37,0,20.00,29.96,0.04,10.00
5.44s,21.00,1530.01,420.64,1108.37,0,20.00,120.00,0.00,120.00
8.22s,40.00,1570.01,431.64,1128.37,0,20.00,28.98,0.04,10.00
6.77s,20.00,1590.01,431.64,1148.37,0,20.00,28.98,0.04,10.00
4.76s,21.00,1611.01,432.64,1168.37,0,20.00,20.00,10.00,10.00
6.83s,10.00,1621.01,432.64,1188.37,0,20.00,20.00,9.00,9.98
3.49s,20.00,1641.01,432.64,1208.37,0,20.00,28.98,0.06,9.95
4.83s,21.00,1662.01,432.64,1228.37,0,20.02,120.00,0.06,120.00
14.25s,40.03,1702.04,432.64,1248.37,0,20.02,120.00,0.04,120.00
10.96s,40.05,1742.09,443.67,1268.37,0,20.02,34.49,0.04,18.97
6.59s,20.02,1762.11,463.72,1288.37,0,20.01,20.01,9.98,9.98
8.01s,10.00,1772.11,463.74,1308.37,0,19.77,20.00,9.00,9.98
4.26s,20.00,1792.11,463.74,1328.37,0,20.00,20.00,0.00,9.96
4.03s,20.00,1812.11,463.74,1348.37,0,20.00,29.96,0.04,10.00
5.01s,21.00,1833.11,463.74,1368.37,0,20.00,120.00,0.00,120.00
8.49s,40.00,1873.11,463.74,1388.37,0,20.00,120.00,0.06,120.00
7.90s,40.00,1913.11,474.74,1408.37,0,20.00,34.45,0.04,19.00
5.10s,34.45,1947.56,494.74,1428.37,0,20.05,27.23,1.77,18.97
7.94s,21.05,1968.61,509.19,1448.37,0,19.75,20.35,8.65,11.04
11.90s,9.88,1978.48,510.24,1468.24,0,15.98,20.00,0.06,9.95
5.76s,20.00,1998.48,510.24,1488.24,0,20.00,20.00,0.06,9.95
3.18s,20.00,2018.48,510.24,1508.24,0,20.00,29.96,0.06,9.95
3.91s,21.00,2039.48,510.24,1528.24,0,20.02,120.00,0.06,120.00
7.76s,40.04,2079.52,510.24,1548.24,0,20.03,120.00,0.04,120.00
7.43s,40.05,2119.57,521.28,1568.24,0,20.02,34.49,0.04,18.97
6.97s,21.02,2140.59,541.33,1588.24,0,20.00,20.49,9.00,11.02
12.70s,10.00,2150.59,542.35,1608.24,0,19.77,20.00,9.00,9.98
4.68s,20.00,2170.59,542.35,1628.24,0,20.00,20.00,0.06,9.95
