time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
5.76s,6.00,6.00,0.00,0.00,0,5.00,120.00,0.06,120.00,5.02,6.00
6.42s,6.00,12.00,0.00,6.00,1,5.00,120.00,0.06,120.00,5.02,6.00
4.72s,6.00,18.00,0.00,12.00,1,5.00,120.00,0.05,120.00,5.02,6.00
4.44s,6.00,24.00,0.00,18.04,0,5.02,120.00,0.06,120.00,4.00,5.96
5.96s,6.02,30.02,0.00,24.02,0,5.01,120.00,0.06,120.00,4.03,5.99
5.42s,10.01,40.03,0.00,30.03,0,5.03,120.00,0.06,120.00,4.02,10.00
5.86s,5.03,45.06,0.00,40.03,0,5.65,120.00,0.04,120.00,4.04,5.02
6.58s,11.30,56.35,0.00,45.06,0,5.51,120.00,0.06,120.00,6.00,11.30
9.58s,5.51,61.87,0.00,56.36,0,6.62,120.00,0.06,120.00,4.52,5.51
7.83s,13.24,75.11,0.00,61.87,1,6.61,120.00,0.00,120.00,7.65,13.24
9.71s,6.61,81.72,0.00,75.11,1,7.51,120.00,0.06,120.00,6.61,6.61
3.74s,15.03,96.74,0.00,81.72,1,7.52,120.00,0.06,120.00,8.45,15.03
9.52s,7.52,104.26,0.00,96.74,1,8.72,120.00,0.04,120.00,7.52,7.52
5.51s,9.72,113.98,0.00,104.26,1,8.74,120.00,0.04,120.00,9.72,9.72
7.75s,9.74,123.72,0.00,113.98,1,8.08,120.00,0.06,120.00,8.10,9.74
8.03s,4.04,127.76,0.00,123.72,1,8.43,120.00,0.04,120.00,4.04,4.04
5.16s,9.43,137.19,0.00,127.76,0,6.77,120.00,0.05,120.00,9.43,9.43
9.41s,13.54,150.73,0.00,137.19,0,6.61,120.00,0.05,120.00,6.29,13.54
8.50s,3.31,154.04,0.00,150.73,0,7.66,120.00,0.06,120.00,2.32,3.30
7.71s,15.33,169.36,0.00,154.04,1,7.66,120.00,0.06,120.00,12.04,15.33
9.88s,8.66,178.03,0.00,169.36,1,8.32,120.00,0.06,120.00,8.33,8.66
8.56s,9.32,187.35,0.00,178.03,1,8.20,120.00,0.06,120.00,8.19,9.32
7.81s,4.10,191.45,0.00,187.35,1,8.33,120.00,0.06,120.00,4.10,4.10
4.46s,9.33,200.78,0.00,191.45,1,8.36,120.00,0.04,120.00,9.33,9.33
7.58s,9.36,210.13,0.00,200.78,1,6.29,120.00,0.06,120.00,6.29,9.36
