time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
6.47s,6.00,6.00,0.00,6.00,0,6.00,120.00,0.06,120.00,0.00,0.00
4.93s,7.00,13.00,0.00,13.00,0,7.00,120.00,0.06,120.00,0.00,0.00
3.97s,8.00,21.00,0.00,21.00,0,8.00,120.00,0.06,120.00,0.00,0.00
3.79s,9.00,30.00,0.00,30.00,0,9.00,120.00,0.06,120.00,0.00,0.00
3.55s,10.00,40.00,0.00,40.00,0,10.00,120.00,0.06,120.00,0.00,0.00
3.47s,11.00,51.00,0.00,51.00,0,11.00,120.00,0.06,120.00,0.00,0.00
3.63s,12.00,63.00,0.00,63.00,0,12.00,120.00,0.06,120.00,0.00,0.00
3.84s,13.00,76.00,0.00,76.00,0,13.00,120.00,0.06,120.00,0.00,0.00
3.78s,14.00,90.00,0.00,90.00,0,14.00,120.00,0.06,120.00,0.00,0.00
3.72s,28.00,118.00,0.00,110.00,0,20.02,120.00,0.06,120.00,0.06,8.00
5.55s,20.02,138.02,0.00,130.00,0,20.02,120.00,0.03,120.00,8.02,8.02
4.06s,21.02,159.03,0.00,150.00,0,20.04,120.00,0.06,120.00,8.04,9.03
6.45s,20.04,179.07,0.00,170.00,0,20.02,120.00,0.06,120.00,9.04,9.07
6.00s,21.02,200.09,0.00,190.00,0,18.02,120.00,0.06,120.00,7.10,10.09
6.09s,19.02,219.11,0.00,210.00,0,18.01,120.00,0.06,120.00,8.12,9.11
6.61s,19.01,238.12,0.00,230.00,0,17.78,120.00,0.06,120.00,6.86,8.12
7.77s,17.78,255.90,0.00,250.00,0,17.77,120.00,0.06,120.00,5.86,5.90
6.35s,18.77,274.67,0.00,270.00,0,17.48,120.00,0.06,120.00,3.39,4.67
6.88s,18.48,293.15,0.00,290.00,0,17.75,120.00,0.06,120.00,2.41,3.15
6.07s,18.75,311.90,0.00,310.00,0,18.06,120.00,0.06,120.00,1.19,1.90
4.87s,19.06,330.96,0.00,330.00,0,18.55,120.00,0.06,120.00,0.42,0.96
5.23s,19.55,350.51,0.00,350.00,0,19.06,120.00,0.06,120.00,0.03,0.51
