time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
5.90s,6.00,6.00,0.00,0.00,0,5.00,120.00,0.06,120.00,5.02,6.00
7.49s,6.00,12.00,0.00,6.00,1,5.00,120.00,0.06,120.00,5.02,6.00
4.65s,6.00,18.00,0.00,12.00,1,5.03,120.00,0.06,120.00,5.02,6.00
4.55s,6.03,24.03,0.00,18.04,0,5.04,120.00,0.06,120.00,4.02,5.98
6.19s,6.04,30.06,0.00,24.05,0,5.03,120.00,0.06,120.00,4.04,6.02
7.16s,6.03,36.09,0.00,30.07,0,5.04,120.00,0.06,120.00,4.05,6.02
5.62s,6.04,42.13,0.00,36.09,0,5.04,120.00,0.06,120.00,4.01,6.03
6.35s,10.08,52.21,0.00,42.13,1,5.00,120.00,0.06,120.00,5.00,10.08
6.93s,6.00,58.21,0.00,52.21,1,5.63,120.00,0.06,120.00,5.67,6.00
7.81s,11.27,69.48,0.00,58.21,1,5.65,120.00,0.06,120.00,5.63,11.27
7.93s,5.65,75.13,0.00,69.48,1,6.84,120.00,0.04,120.00,5.65,5.65
4.22s,13.68,88.80,0.00,75.13,1,6.87,120.00,0.06,120.00,8.07,13.68
11.01s,7.87,96.67,0.00,88.80,1,7.65,120.00,0.06,120.00,7.68,7.87
7.26s,8.65,105.32,0.00,96.67,1,7.74,120.00,0.06,120.00,7.71,8.65
7.68s,8.74,114.07,0.00,105.32,1,7.55,120.00,0.06,120.00,7.55,8.74
8.04s,8.55,122.62,0.00,114.07,1,7.79,120.00,0.06,120.00,7.82,8.55
6.38s,8.79,131.40,0.00,122.62,1,6.77,120.00,0.06,120.00,6.76,8.79
7.99s,7.77,139.17,0.00,131.40,1,6.97,120.00,0.06,120.00,6.98,7.77
7.86s,13.95,153.12,0.00,139.17,1,6.80,120.00,0.06,120.00,6.81,13.95
7.82s,6.80,159.91,0.00,153.12,1,7.82,120.00,0.06,120.00,6.80,6.80
4.02s,15.64,175.55,0.00,159.91,1,7.63,120.00,0.06,120.00,8.49,15.64
7.78s,7.63,183.18,0.00,175.55,1,9.10,120.00,0.04,120.00,7.63,7.63
5.57s,10.10,193.28,0.00,183.18,1,9.12,120.00,0.05,120.00,10.10,10.10
8.33s,10.12,203.40,0.00,193.28,1,8.34,120.00,0.06,120.00,8.34,10.12
8.91s,8.34,211.74,0.00,203.40,1,8.70,120.00,0.04,120.00,8.34,8.34
6.47s,9.70,221.44,0.00,211.74,1,7.26,120.00,0.06,120.00,7.24,9.70
8.62s,7.26,228.70,0.00,221.48,0,7.67,120.00,0.06,120.00,6.27,7.23
7.00s,8.67,237.37,0.00,228.72,0,7.12,120.00,0.06,120.00,6.93,8.65
6.49s,8.12,245.50,0.00,237.38,0,6.84,120.00,0.06,120.00,5.80,8.11
6.84s,7.84,253.34,0.00,245.50,0,6.76,120.00,0.06,120.00,5.75,7.84
6.48s,7.76,261.09,0.00,253.34,0,6.38,120.00,0.06,120.00,5.39,7.75
6.69s,7.38,268.47,0.00,261.09,0,6.48,120.00,0.06,120.00,5.48,7.38
7.68s,7.48,275.95,0.00,268.47,1,6.26,120.00,0.06,120.00,6.25,7.48
8.40s,6.26,282.21,0.00,275.95,1,6.09,120.00,0.06,120.00,6.12,6.26
6.30s,12.18,294.39,0.00,282.21,1,5.80,120.00,0.06,120.00,5.81,12.18
8.35s,2.90,297.29,0.00,294.39,0,6.71,120.00,0.06,120.00,1.90,2.90
6.21s,13.43,310.72,0.00,297.29,0,6.50,120.00,0.06,120.00,10.07,13.43
13.49s,6.50,317.22,0.00,310.72,0,7.13,120.00,0.06,120.00,5.54,6.50
7.37s,8.13,325.36,0.00,317.22,0,7.13,120.00,0.06,120.00,7.75,8.13
9.15s,8.13,333.49,0.00,325.36,0,7.04,120.00,0.06,120.00,6.42,8.13
7.57s,8.04,341.53,0.00,333.49,0,7.26,120.00,0.06,120.00,6.41,8.04
7.65s,8.26,349.79,0.00,341.53,0,6.16,120.00,0.06,120.00,5.16,8.26
7.19s,7.16,356.95,0.00,349.79,0,6.52,120.00,0.06,120.00,5.54,7.16
7.35s,7.52,364.47,0.00,356.96,0,6.35,120.00,0.06,120.00,5.52,7.52
8.23s,7.35,371.82,0.00,364.47,0,6.23,120.00,0.06,120.00,5.23,7.35
7.93s,7.23,379.06,0.00,371.82,0,6.06,120.00,0.00,120.00,5.09,7.23
6.70s,7.06,386.11,0.00,379.06,0,5.87,120.00,0.06,120.00,4.85,7.06
6.75s,6.87,392.98,0.00,386.12,0,5.87,120.00,0.06,120.00,4.88,6.86
