time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
7.30s,6.00,6.00,0.00,6.00,0,6.00,120.00,0.06,120.00,0.00,0.00
4.93s,7.00,13.00,0.00,13.00,0,7.00,120.00,0.06,120.00,0.00,0.00
3.80s,8.00,21.00,0.00,21.00,0,8.00,120.00,0.06,120.00,0.00,0.00
3.93s,9.00,30.00,0.00,30.00,0,9.00,120.00,0.06,120.00,0.00,0.00
3.66s,10.00,40.00,0.00,40.00,0,10.00,120.00,0.06,120.00,0.00,0.00
3.57s,11.00,51.00,0.00,51.00,0,11.00,120.00,0.06,120.00,0.00,0.00
3.86s,12.00,63.00,0.00,63.00,0,12.00,120.00,0.06,120.00,0.00,0.00
4.09s,13.00,76.00,0.00,76.00,0,13.00,120.00,0.06,120.00,0.00,0.00
3.75s,14.00,90.00,0.00,90.00,0,14.00,120.00,0.06,120.00,0.00,0.00
3.76s,15.00,105.00,0.00,105.00,0,15.00,120.00,0.06,120.00,0.00,0.00
3.72s,16.00,121.00,0.00,121.00,0,16.00,120.00,0.06,120.00,0.00,0.00
3.92s,17.00,138.00,0.00,138.00,0,17.00,120.00,0.06,120.00,0.00,0.00
4.01s,18.00,156.00,0.00,156.00,0,18.00,120.00,0.06,120.00,0.00,0.00
3.70s,19.00,175.00,0.00,175.00,0,19.00,120.00,0.06,120.00,0.00,0.00
4.00s,20.00,195.00,0.00,195.00,0,20.00,120.00,0.06,120.00,0.00,0.00
3.77s,21.00,216.00,0.00,215.00,0,20.02,120.00,0.06,120.00,0.06,1.00
4.04s,21.02,237.02,0.00,235.00,0,20.03,120.00,0.06,120.00,1.01,2.02
4.48s,21.03,258.05,0.00,255.00,0,20.02,120.00,0.06,120.00,2.05,3.05
4.66s,21.02,279.07,0.00,275.00,0,20.00,120.00,0.06,120.00,3.05,4.07
6.06s,21.00,300.07,0.00,295.00,0,19.78,120.00,0.06,120.00,3.84,5.07
5.22s,20.78,320.85,0.00,315.00,0,19.50,120.00,0.06,120.00,4.57,5.85
5.91s,20.50,341.35,0.00,335.00,0,19.26,120.00,0.06,120.00,5.11,6.35
5.73s,20.26,361.61,0.00,355.00,0,18.99,120.00,0.06,120.00,5.38,6.61
5.58s,19.99,381.60,0.00,375.00,0,18.77,120.00,0.06,120.00,5.37,6.60
6.62s,19.77,401.37,0.00,395.00,0,18.55,120.00,0.06,120.00,5.18,6.37
6.44s,19.55,420.92,0.00,415.00,0,18.43,120.00,0.06,120.00,4.81,5.92
6.58s,19.43,440.36,0.00,435.00,0,18.37,120.00,0.06,120.00,4.27,5.36
6.50s,19.37,459.73,0.00,455.00,0,18.39,120.00,0.06,120.00,3.73,4.73
6.59s,19.39,479.11,0.00,475.00,0,18.42,120.00,0.06,120.00,3.15,4.11
6.53s,19.42,498.54,0.00,495.00,0,18.54,120.00,0.06,120.00,2.65,3.54
5.36s,19.54,518.07,0.00,515.00,0,18.67,120.00,0.06,120.00,2.21,3.07
7.29s,19.67,537.74,0.00,535.00,0,18.85,120.00,0.06,120.00,1.93,2.74
5.94s,19.85,557.59,0.00,555.00,0,18.97,120.00,0.06,120.00,1.74,2.59
5.94s,19.97,577.56,0.00,575.00,0,19.15,120.00,0.06,120.00,1.72,2.56
5.60s,20.15,597.71,0.00,595.00,0,19.27,120.00,0.06,120.00,1.82,2.71
5.77s,20.27,617.98,0.00,615.00,0,19.32,120.00,0.06,120.00,2.05,2.98
5.25s,20.32,638.30,0.00,635.00,0,19.36,120.00,0.06,120.00,2.38,3.30
5.37s,20.36,658.66,0.00,655.00,0,19.37,120.00,0.06,120.00,2.69,3.66
5.85s,20.37,679.03,0.00,675.00,0,19.32,120.00,0.06,120.00,3.02,4.03
5.70s,20.32,699.35,0.00,695.00,0,19.28,120.00,0.06,120.00,3.30,4.35
