time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
6.93s,6.00,6.00,0.00,0.00,0,5.00,120.00,0.06,120.00,5.02,6.00
7.48s,6.00,12.00,0.00,6.00,1,5.03,120.00,0.06,120.00,5.02,6.00
5.69s,6.03,18.03,0.00,12.02,0,5.03,120.00,0.06,120.00,4.04,6.02
6.88s,6.03,24.06,0.00,18.04,0,5.03,120.00,0.06,120.00,4.00,6.02
7.36s,6.03,30.09,0.00,24.06,1,5.00,120.00,0.06,120.00,5.04,6.03
6.81s,120.00,150.09,0.00,30.09,1,5.03,120.00,0.06,120.00,5.04,120.00
9.47s,6.03,156.13,0.00,50.09,1,10.02,19.99,0.01,120.00,6.06,106.03
13.22s,11.02,167.14,90.00,66.13,1,12.01,19.97,10.03,17.97,11.02,11.02
3.02s,12.01,179.15,90.00,77.14,1,12.03,26.01,10.00,21.98,12.01,12.01
5.28s,13.03,192.19,90.00,89.15,1,12.01,120.00,0.06,120.00,13.03,13.03
9.66s,12.01,204.20,90.00,102.19,1,10.42,120.00,0.06,120.00,10.42,12.01
10.88s,10.42,214.62,90.00,114.20,1,9.63,120.00,0.06,120.00,9.65,10.42
9.55s,120.00,334.62,90.00,124.62,1,9.52,120.00,0.06,120.00,9.55,120.00
11.49s,4.76,339.38,90.00,144.62,1,11.12,19.99,0.01,120.00,4.81,104.76
5.22s,5.56,344.94,180.00,159.39,0,11.60,21.19,10.00,23.80,5.55,5.55
3.38s,23.20,368.14,180.00,164.95,0,11.62,30.38,10.00,25.20,23.20,23.20
7.57s,5.81,373.96,180.00,184.98,1,12.09,20.12,0.06,120.00,5.82,8.98
12.52s,13.09,387.05,180.00,193.96,0,10.12,20.14,3.18,120.00,13.09,13.09
3.20s,20.23,407.28,180.00,207.07,0,10.58,25.55,3.17,120.00,12.67,20.21
8.81s,10.58,417.86,180.00,227.08,1,12.46,20.66,0.03,120.00,10.61,10.78
6.97s,24.91,442.77,180.00,237.86,0,11.07,21.02,0.23,120.00,11.53,24.91
9.70s,11.07,453.85,180.00,257.91,1,12.79,21.27,0.23,120.00,11.08,15.94
18.31s,6.40,460.24,180.00,273.85,0,13.36,25.41,4.91,120.00,6.39,6.39
2.90s,25.41,485.65,180.00,280.24,1,12.01,30.81,4.87,120.00,18.56,25.41
10.36s,12.01,497.66,180.00,300.24,1,12.51,20.78,0.06,120.00,12.01,17.42
16.18s,6.25,503.91,180.00,317.66,1,12.50,21.12,5.44,120.00,6.25,6.25
3.10s,13.50,517.41,180.00,323.91,0,12.51,26.36,5.44,120.00,13.50,13.50
6.51s,12.51,529.92,180.00,337.41,0,12.50,120.00,0.04,120.00,12.51,12.51
10.66s,6.25,536.17,180.00,349.92,0,9.95,120.00,0.06,120.00,5.27,6.25
9.32s,10.95,547.12,180.00,356.17,0,8.69,120.00,0.03,120.00,10.95,10.95
7.99s,4.35,551.47,180.00,367.12,0,8.67,120.00,0.06,120.00,4.35,4.35
10.70s,9.67,561.14,180.00,371.47,0,7.46,120.00,0.06,120.00,9.67,9.67
11.27s,3.73,564.87,180.00,381.14,0,6.25,120.00,0.06,120.00,2.74,3.73
11.47s,7.25,572.12,180.00,384.87,0,6.30,120.00,0.06,120.00,7.25,7.25
10.63s,12.59,584.71,180.00,392.12,0,5.20,120.00,0.06,120.00,4.53,12.59
13.50s,2.60,587.31,180.00,404.71,0,6.65,120.00,0.06,120.00,1.62,2.60
14.84s,13.29,600.60,180.00,407.31,0,6.65,120.00,0.06,120.00,10.65,13.29
17.32s,7.65,608.25,180.00,420.60,0,7.15,120.00,0.06,120.00,6.15,7.65
14.21s,3.58,611.82,180.00,428.25,0,7.23,120.00,0.06,120.00,3.19,3.58
8.33s,14.45,626.28,180.00,431.82,0,7.01,120.00,0.06,120.00,10.39,14.45
13.98s,3.50,629.78,180.00,446.28,0,7.79,120.00,0.06,120.00,2.52,3.50
10.63s,15.59,645.37,180.00,449.78,1,7.24,120.00,0.06,120.00,10.96,15.59
14.35s,3.62,648.99,180.00,465.37,1,8.39,120.00,0.06,120.00,3.62,3.62
8.32s,16.78,665.77,180.00,468.99,0,8.43,120.00,0.06,120.00,13.17,16.77
16.46s,9.43,675.20,180.00,485.77,0,9.06,120.00,0.06,120.00,8.00,9.43
17.33s,4.53,679.73,180.00,495.20,0,9.11,120.00,0.06,120.00,4.21,4.53
8.67s,18.23,697.96,180.00,499.73,1,8.76,120.00,0.04,120.00,12.96,18.23
14.70s,4.38,702.34,180.00,517.96,1,9.79,120.00,0.06,120.00,4.38,4.38
7.55s,9.79,712.13,180.00,522.34,1,9.14,120.00,0.06,120.00,9.79,9.79
7.85s,9.14,721.27,180.00,532.13,1,9.14,120.00,0.06,120.00,9.14,9.14
8.87s,4.57,725.84,180.00,541.27,1,9.14,120.00,0.06,120.00,4.57,4.57
7.97s,9.14,734.98,180.00,545.84,1,6.31,120.00,0.06,120.00,8.07,9.14
10.85s,3.16,738.13,180.00,554.98,1,6.54,120.00,0.06,120.00,3.16,3.16
6.74s,7.54,745.67,180.00,558.13,1,5.75,120.00,0.04,120.00,7.54,7.54
9.15s,2.87,748.55,180.00,565.67,1,5.01,120.00,0.06,120.00,2.87,2.87
7.03s,6.01,754.56,180.00,568.55,0,5.01,120.00,0.06,120.00,6.01,6.01
6.60s,6.01,760.57,180.00,574.56,0,5.05,120.00,0.06,120.00,6.01,6.01
6.24s,10.10,770.66,180.00,580.57,0,5.02,120.00,0.06,120.00,4.02,10.10
12.43s,5.02,775.69,180.00,590.66,0,5.55,120.00,0.06,120.00,4.04,5.02
18.24s,11.10,786.79,180.00,595.69,0,5.54,120.00,0.06,120.00,6.07,11.10
12.49s,2.77,789.56,180.00,606.79,0,6.57,120.00,0.06,120.00,1.78,2.77
16.35s,13.15,802.71,180.00,609.56,1,6.57,120.00,0.06,120.00,10.38,13.15
15.07s,7.57,810.28,180.00,622.71,1,6.76,120.00,0.06,120.00,6.80,7.57
10.70s,7.76,818.04,180.00,630.28,1,6.92,120.00,0.06,120.00,6.97,7.76
10.17s,13.84,831.88,180.00,638.04,1,7.12,120.00,0.06,120.00,7.14,13.84
11.26s,8.12,840.00,180.00,651.88,1,8.48,120.00,0.06,120.00,8.12,8.12
10.37s,9.48,849.48,180.00,660.00,1,7.46,120.00,0.06,120.00,7.48,9.48
