time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
6.42s,6.00,6.00,0.00,6.00,0,6.00,120.00,0.06,120.00,0.00,0.00
5.43s,7.00,13.00,0.00,13.00,0,7.00,120.00,0.06,120.00,0.00,0.00
4.59s,8.00,21.00,0.00,21.00,0,8.00,120.00,0.06,120.00,0.00,0.00
5.32s,9.00,30.00,0.00,30.00,0,9.00,120.00,0.06,120.00,0.00,0.00
3.90s,10.00,40.00,0.00,40.00,0,10.00,120.00,0.06,120.00,0.00,0.00
3.94s,11.00,51.00,0.00,51.00,0,11.00,120.00,0.06,120.00,0.00,0.00
4.10s,12.00,63.00,0.00,63.00,0,12.00,120.00,0.06,120.00,0.00,0.00
4.08s,13.00,76.00,0.00,76.00,0,13.00,120.00,0.06,120.00,0.00,0.00
4.00s,14.00,90.00,0.00,90.00,0,14.00,120.00,0.06,120.00,0.00,0.00
4.27s,15.00,105.00,0.00,105.00,0,15.00,120.00,0.06,120.00,0.00,0.00
4.09s,16.00,121.00,0.00,121.00,0,16.00,120.00,0.06,120.00,0.00,0.00
4.14s,17.00,138.00,0.00,138.00,0,17.00,120.00,0.06,120.00,0.00,0.00
4.56s,18.00,156.00,0.00,156.00,0,18.00,120.00,0.06,120.00,0.00,0.00
4.44s,19.00,175.00,0.00,175.00,0,19.00,120.00,0.06,120.00,0.00,0.00
4.55s,20.00,195.00,0.00,195.00,0,20.00,120.00,0.06,120.00,0.00,0.00
4.35s,21.00,216.00,0.00,215.00,0,20.02,120.00,0.06,120.00,0.06,1.00
5.46s,21.02,237.02,0.00,235.00,0,20.03,120.00,0.06,120.00,1.01,2.02
5.93s,21.03,258.05,0.00,255.00,0,20.02,120.00,0.06,120.00,2.05,3.05
5.84s,21.02,279.07,0.00,275.00,0,20.00,120.00,0.06,120.00,3.05,4.07
7.30s,21.00,300.07,0.00,295.00,0,19.76,120.00,0.06,120.00,3.84,5.07
8.17s,20.76,320.82,0.00,315.00,0,19.50,120.00,0.06,120.00,4.60,5.82
7.64s,20.50,341.33,0.00,335.00,0,19.26,120.00,0.06,120.00,5.09,6.33
7.85s,20.26,361.59,0.00,355.00,0,19.00,120.00,0.06,120.00,5.35,6.59
8.60s,20.00,381.59,0.00,375.00,0,18.74,120.00,0.06,120.00,5.36,6.59
9.04s,19.74,401.33,0.00,395.00,0,18.57,120.00,0.06,120.00,5.14,6.33
9.05s,19.57,420.90,0.00,415.00,0,18.44,120.00,0.06,120.00,4.75,5.90
7.70s,19.44,440.34,0.00,435.00,0,18.35,120.00,0.06,120.00,4.25,5.34
8.10s,19.35,459.69,0.00,455.00,0,18.38,120.00,0.06,120.00,3.70,4.69
7.76s,19.38,479.08,0.00,475.00,0,18.43,120.00,0.06,120.00,3.12,4.08
7.53s,19.43,498.50,0.00,495.00,0,18.56,120.00,0.06,120.00,2.63,3.50
7.87s,19.56,518.06,0.00,515.00,0,18.67,120.00,0.06,120.00,2.20,3.06
8.20s,19.67,537.73,0.00,535.00,0,18.83,120.00,0.02,120.00,1.92,2.73
8.70s,19.83,557.56,0.00,555.00,0,19.01,120.00,0.06,120.00,1.72,2.56
8.18s,20.01,577.57,0.00,575.00,0,19.13,120.00,0.06,120.00,1.69,2.57
7.34s,20.13,597.70,0.00,595.00,0,19.27,120.00,0.06,120.00,1.82,2.70
7.97s,20.27,617.97,0.00,615.00,0,19.34,120.00,0.06,120.00,2.04,2.97
7.51s,20.34,638.32,0.00,635.00,0,19.40,120.00,0.06,120.00,2.33,3.32
6.60s,20.40,658.71,0.00,655.00,0,19.39,120.00,0.06,120.00,2.73,3.71
8.23s,20.39,679.10,0.00,675.00,0,19.35,120.00,0.06,120.00,3.05,4.10
7.04s,20.35,699.46,0.00,695.00,0,19.27,120.00,0.06,120.00,3.38,4.46
6.73s,20.27,719.73,0.00,715.00,0,19.20,120.00,0.06,120.00,3.66,4.73
7.47s,20.20,739.93,0.00,735.00,0,19.08,120.00,0.06,120.00,3.81,4.93
8.20s,20.08,760.01,0.00,755.00,0,19.00,120.00,0.06,120.00,3.92,5.01
8.59s,20.00,780.01,0.00,775.00,0,18.89,120.00,0.06,120.00,3.92,5.01
7.70s,19.89,799.90,0.00,795.00,0,18.82,120.00,0.06,120.00,3.83,4.90
7.26s,19.82,819.73,0.00,815.00,0,18.79,120.00,0.06,120.00,3.69,4.73
8.79s,19.79,839.52,0.00,835.00,0,18.77,120.00,0.06,120.00,3.50,4.52
8.69s,19.77,859.29,0.00,855.00,0,18.76,120.00,0.06,120.00,3.28,4.29
8.65s,19.76,879.05,0.00,875.00,0,18.77,120.00,0.06,120.00,3.07,4.05
8.12s,19.77,898.82,0.00,895.00,0,18.85,120.00,0.06,120.00,2.87,3.82
8.59s,19.85,918.67,0.00,915.00,0,18.88,120.00,0.06,120.00,2.69,3.67
