time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
12.92s,6.96,6.96,0.00,0.00,0,5.00,1000.00,0.06,1000.00,0.00,1.95,5.05,6.96
17.67s,6.96,13.92,0.00,6.96,1,5.03,1000.00,0.06,1000.00,0.00,3.91,5.00,6.96
12.05s,1.12,15.04,0.00,13.93,0,5.00,1000.00,0.06,1000.00,0.00,0.00,0.14,1.11
14.78s,8.91,23.95,0.00,15.05,0,5.00,1000.00,0.06,1000.00,0.00,3.92,6.96,8.90
10.25s,1.08,25.03,0.00,23.95,0,5.04,1000.00,0.06,1000.00,0.00,0.00,0.10,1.08
14.83s,9.89,34.92,0.00,25.04,0,5.02,1000.00,0.06,1000.00,0.00,5.96,8.92,9.89
12.85s,1.00,35.92,0.00,34.92,0,5.00,1000.00,0.04,1000.00,0.00,0.95,0.06,1.00
15.89s,10.86,46.79,0.00,35.92,1,5.02,1000.00,0.06,1000.00,0.00,6.81,9.04,10.86
12.29s,1.00,47.79,0.00,46.79,1,5.44,1000.00,0.06,1000.00,0.00,0.98,1.00,1.00
10.89s,11.84,59.63,0.00,47.79,1,5.46,1000.00,0.06,1000.00,0.00,7.37,9.90,11.84
14.00s,1.00,60.63,0.00,59.63,1,5.95,1000.00,0.04,1000.00,0.00,0.98,1.00,1.00
11.24s,12.82,73.44,0.00,60.63,1,5.96,1000.00,0.06,1000.00,0.00,7.85,10.86,12.82
14.21s,1.00,74.44,0.00,73.44,1,6.42,1000.00,0.06,1000.00,0.00,0.98,1.00,1.00
12.32s,13.79,88.24,0.00,74.44,1,6.46,1000.00,0.06,1000.00,0.00,8.33,11.85,13.79
13.21s,1.00,89.24,0.00,88.24,1,6.93,1000.00,0.06,1000.00,0.00,0.98,1.00,1.00
11.45s,14.77,104.01,0.00,89.24,1,6.92,1000.00,0.06,1000.00,0.00,8.84,12.81,14.77
13.06s,1.00,105.01,0.00,104.01,1,7.39,1000.00,0.06,1000.00,0.00,0.98,1.00,1.00
11.70s,15.75,120.75,0.00,105.01,1,7.44,1000.00,0.06,1000.00,0.00,9.35,13.84,15.75
12.51s,1.00,121.75,0.00,120.75,1,7.88,1000.00,0.05,1000.00,0.00,0.98,1.00,1.00
10.57s,16.72,138.48,0.00,121.75,1,7.90,1000.00,0.06,1000.00,0.00,9.82,14.76,16.72
13.30s,1.00,139.48,0.00,138.48,1,8.38,1000.00,0.06,1000.00,0.00,0.98,1.00,1.00
12.41s,17.70,157.18,0.00,139.48,1,8.40,1000.00,0.06,1000.00,0.00,10.28,15.76,17.70
14.39s,1.00,158.18,0.00,157.18,1,8.87,1000.00,0.06,1000.00,0.00,0.98,1.00,1.00
11.55s,18.68,176.86,0.00,158.18,1,8.86,1000.00,0.06,1000.00,0.00,10.79,16.74,18.68
14.30s,1.00,177.86,0.00,176.86,1,9.38,1000.00,0.03,1000.00,0.00,0.98,1.00,1.00
12.40s,19.65,197.51,0.00,177.86,1,9.37,1000.00,0.06,1000.00,0.00,11.27,17.69,19.65
14.53s,1.00,198.51,0.00,197.51,1,9.84,1000.00,0.03,1000.00,0.00,0.98,1.00,1.00
11.37s,20.63,219.14,0.00,198.51,1,9.87,1000.00,0.06,1000.00,0.00,11.78,18.70,20.63
13.85s,1.00,220.14,0.00,219.14,1,10.35,1000.00,0.04,1000.00,0.00,0.98,1.00,1.00
11.83s,21.61,241.75,0.00,220.14,1,10.34,1000.00,0.06,1000.00,0.00,12.25,19.66,21.61
13.12s,1.00,242.75,0.00,241.75,1,10.82,1000.00,0.04,1000.00,0.00,0.98,1.00,1.00
12.80s,22.58,265.33,0.00,242.75,1,10.85,1000.00,0.06,1000.00,0.00,12.72,20.64,22.58
12.72s,1.00,266.33,0.00,265.33,1,11.33,1000.00,0.04,1000.00,0.00,0.98,1.00,1.00
11.86s,23.56,289.89,0.00,266.33,1,11.32,1000.00,0.06,1000.00,0.00,13.26,21.63,23.56
13.41s,1.00,290.89,0.00,289.89,1,11.80,1000.00,0.06,1000.00,0.00,0.98,1.00,1.00
11.98s,24.54,315.42,0.00,290.89,1,11.79,1000.00,0.06,1000.00,0.00,13.74,22.62,24.54
14.80s,1.00,316.42,0.00,315.42,1,12.32,1000.00,0.04,1000.00,0.00,0.98,1.00,1.00
13.10s,25.51,341.94,0.00,316.42,1,12.31,1000.00,0.06,1000.00,0.00,14.22,23.57,25.51
14.53s,1.00,342.94,0.00,341.94,1,12.79,1000.00,0.06,1000.00,0.00,0.98,1.00,1.00
12.41s,26.49,369.43,0.00,342.94,1,12.78,1000.00,0.06,1000.00,0.00,14.72,24.57,26.49
12.88s,1.00,370.43,0.00,369.43,1,13.26,1000.00,0.06,1000.00,0.00,0.98,1.00,1.00
11.62s,27.47,397.89,0.00,370.43,1,13.30,1000.00,0.06,1000.00,0.00,15.17,25.53,27.47
12.90s,1.00,398.89,0.00,397.90,0,13.79,1000.00,0.06,1000.00,0.00,0.94,0.06,0.99
19.70s,28.44,427.33,0.00,398.90,0,13.74,1000.00,0.06,1000.00,0.00,15.64,26.49,28.44
14.54s,1.00,428.33,0.00,427.34,0,14.26,1000.00,0.06,1000.00,0.00,0.99,0.06,1.00
19.39s,29.42,457.75,0.00,428.33,0,14.25,1000.00,0.06,1000.00,0.00,16.16,27.46,29.42
14.10s,1.00,458.75,0.00,457.75,1,14.73,1000.00,0.06,1000.00,0.00,0.98,1.00,1.00
11.62s,30.40,489.15,0.00,458.75,1,14.73,1000.00,0.06,1000.00,0.00,16.64,28.44,30.40
14.10s,1.00,490.15,0.00,489.15,1,15.26,1000.00,0.06,1000.00,0.00,0.98,1.00,1.00
11.51s,31.37,521.52,0.00,490.15,0,15.21,1000.00,0.06,1000.00,0.00,17.13,29.41,31.37
14.31s,1.00,522.52,0.00,521.52,1,15.74,1000.00,0.05,1000.00,0.00,0.98,1.00,1.00
13.12s,32.35,554.87,0.00,522.52,1,15.73,1000.00,0.06,1000.00,0.00,17.61,30.39,32.35
13.94s,1.00,555.87,0.00,554.87,1,16.18,1000.00,0.06,1000.00,0.00,0.98,1.00,1.00
12.25s,33.33,589.19,0.00,555.87,1,16.21,1000.00,0.06,1000.00,0.00,18.14,31.37,33.33
14.74s,1.00,590.19,0.00,589.22,0,16.69,1000.00,0.06,1000.00,0.00,0.92,0.06,0.97
20.55s,34.30,624.50,0.00,590.21,0,16.68,1000.00,0.06,1000.00,0.00,18.58,32.35,34.29
14.07s,1.00,625.50,0.00,624.50,0,17.19,1000.00,0.06,1000.00,0.00,0.94,0.06,0.99
20.61s,35.28,660.77,0.00,625.50,0,17.17,1000.00,0.04,1000.00,0.00,19.11,33.35,35.28
14.76s,1.00,661.77,0.00,660.78,0,17.68,1000.00,0.06,1000.00,0.00,0.99,0.06,1.00
20.48s,36.25,698.03,0.00,661.77,1,17.68,1000.00,0.04,1000.00,0.00,19.56,34.31,36.25
13.00s,1.00,699.03,0.00,698.03,1,18.16,1000.00,0.06,1000.00,0.00,0.98,1.00,1.00
12.00s,37.23,736.26,0.00,699.03,1,18.14,1000.00,0.06,1000.00,0.00,20.05,35.27,37.23
13.60s,1.00,737.26,0.00,736.26,1,18.62,1000.00,0.04,1000.00,0.00,0.98,1.00,1.00
12.02s,38.21,775.47,0.00,737.29,0,18.66,1000.00,0.06,1000.00,0.00,20.53,36.24,38.18
15.31s,1.00,776.47,0.00,775.48,0,19.14,1000.00,0.06,1000.00,0.00,0.98,0.06,0.99
18.41s,39.18,815.65,0.00,776.48,0,19.13,1000.00,0.06,1000.00,0.00,21.01,37.23,39.18
14.63s,1.00,816.65,0.00,815.66,0,19.62,1000.00,0.06,1000.00,0.00,0.95,0.06,1.00
19.17s,40.16,856.81,0.00,816.65,0,19.61,1000.00,0.06,1000.00,0.00,21.51,38.20,40.16
15.20s,1.00,857.81,0.00,856.81,1,20.10,1000.00,0.06,1000.00,0.00,0.98,1.00,1.00
12.66s,41.14,898.95,0.00,857.81,1,20.12,1000.00,0.06,1000.00,0.00,22.03,39.21,41.14
