time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
989.21ms,12.06,12.06,0.00,0.00,1,5.00,1000.00,5.00,1000.00,0.00,7.06,12.06,12.06
532.47ms,1.00,13.06,0.00,12.06,1,6.03,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
841.18ms,5.03,18.09,0.00,13.06,1,6.03,1000.00,5.00,1000.00,0.00,0.00,5.03,5.03
1.36s,14.12,32.22,0.00,18.09,1,6.03,1000.00,5.00,1000.00,0.00,8.09,14.12,14.12
626.74ms,1.00,33.22,0.00,32.22,1,7.06,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
891.10ms,6.06,39.28,0.00,33.22,1,7.06,1000.00,5.00,1000.00,0.00,0.00,6.06,6.06
1.38s,16.19,55.47,0.00,39.28,1,7.06,1000.00,5.00,1000.00,0.00,9.12,16.19,16.19
611.31ms,1.00,56.47,0.00,55.47,1,8.09,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
986.88ms,7.09,63.56,0.00,56.47,1,8.09,1000.00,5.00,1000.00,0.00,0.00,7.09,7.09
1.47s,18.25,81.81,0.00,63.56,1,8.09,1000.00,5.00,1000.00,0.00,10.16,18.25,18.25
682.41ms,1.00,82.81,0.00,81.81,1,9.12,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
1.06s,8.12,90.94,0.00,82.81,1,9.12,1000.00,5.00,1000.00,0.00,0.00,8.12,8.12
1.55s,20.31,111.25,0.00,90.94,1,9.12,1000.00,5.00,1000.00,0.00,11.19,20.31,20.31
739.76ms,1.00,112.25,0.00,110.94,2,10.00,20.00,5.00,1000.00,0.00,1.31,1.31,1.31
1.78s,8.69,120.94,0.00,112.25,1,10.00,20.00,5.00,1000.00,0.00,0.00,8.69,8.69
1.46s,22.38,143.31,0.00,120.94,1,10.00,28.12,5.00,1000.00,0.00,12.38,22.38,22.38
914.80ms,12.06,155.38,0.00,140.94,2,10.00,20.00,5.00,1000.00,0.00,14.44,14.44,14.44
2.10s,12.06,167.44,0.00,155.38,1,11.48,20.00,5.00,1000.00,0.00,12.06,12.06,12.06
763.99ms,1.00,168.44,0.00,167.44,1,11.62,28.69,5.00,1000.00,0.00,1.00,1.00,1.00
1.53s,21.78,190.22,0.00,168.44,1,11.62,1000.00,5.00,1000.00,0.00,11.16,21.78,21.78
750.71ms,1.00,191.22,0.00,188.44,2,10.00,20.00,5.00,1000.00,0.00,2.78,2.78,2.78
1.89s,7.22,198.44,0.00,191.22,1,10.00,20.00,5.00,1000.00,0.00,0.00,7.22,7.22
1.62s,23.84,222.28,0.00,198.44,1,10.00,21.00,5.00,1000.00,2.84,13.84,23.84,23.84
712.79ms,1.00,223.28,0.00,218.44,2,10.00,20.00,5.00,1000.00,0.00,4.84,4.84,4.84
2.28s,21.06,244.34,0.00,223.28,1,10.00,20.00,5.00,1000.00,1.06,15.91,21.06,21.06
