time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
166.90ms,12.00,12.00,0.00,0.00,1,5.00,1000.00,5.00,1000.00,0.00,7.00,12.00,12.00
143.50ms,7.00,19.00,0.00,12.00,1,6.00,1000.00,5.00,1000.00,0.00,7.00,7.00,7.00
155.34ms,8.00,27.00,0.00,19.00,1,6.33,1000.00,5.00,1000.00,0.00,8.00,8.00,8.00
167.11ms,8.33,35.33,0.00,27.00,1,6.75,1000.00,5.00,1000.00,0.00,8.33,8.33,8.33
175.53ms,8.75,44.08,0.00,35.33,1,7.07,1000.00,5.00,1000.00,0.00,8.75,8.75,8.75
158.24ms,7.83,51.92,0.00,44.08,1,6.42,1000.00,5.00,1000.00,0.00,7.83,7.83,7.83
184.30ms,8.27,60.19,0.00,51.92,1,6.58,1000.00,5.00,1000.00,0.00,8.27,8.27,8.27
176.66ms,8.23,68.42,0.00,60.19,1,6.64,1000.00,5.00,1000.00,0.00,8.23,8.23,8.23
186.88ms,8.21,76.63,0.00,68.42,1,6.62,1000.00,5.00,1000.00,0.00,8.21,8.21,8.21
183.59ms,8.08,84.71,0.00,76.63,1,6.51,1000.00,5.00,1000.00,0.00,8.08,8.08,8.08
204.04ms,8.18,92.89,0.00,84.71,1,6.56,1000.00,5.00,1000.00,0.00,8.18,8.18,8.18
188.05ms,8.13,101.02,0.00,92.89,1,6.54,1000.00,5.00,1000.00,0.00,8.13,8.13,8.13
186.26ms,8.12,109.14,0.00,101.02,1,6.52,1000.00,5.00,1000.00,0.00,8.12,8.12,8.12
193.05ms,8.10,117.24,0.00,109.14,1,6.50,1000.00,5.00,1000.00,0.00,8.10,8.10,8.10
200.21ms,8.11,125.35,0.00,117.24,1,6.51,1000.00,5.00,1000.00,0.00,8.11,8.11,8.11
186.70ms,8.09,133.44,0.00,125.35,1,6.49,1000.00,5.00,1000.00,0.00,8.09,8.09,8.09
186.76ms,8.08,141.52,0.00,133.44,1,6.48,1000.00,5.00,1000.00,0.00,8.08,8.08,8.08
180.24ms,8.07,149.59,0.00,141.52,1,6.48,1000.00,5.00,1000.00,0.00,8.07,8.07,8.07
184.67ms,8.07,157.66,0.00,149.59,1,6.47,1000.00,5.00,1000.00,0.00,8.07,8.07,8.07
178.81ms,8.06,165.72,0.00,157.66,1,6.46,1000.00,5.00,1000.00,0.00,8.06,8.06,8.06
184.36ms,8.06,173.78,0.00,165.72,1,6.46,1000.00,5.00,1000.00,0.00,8.06,8.06,8.06
184.88ms,8.05,181.83,0.00,173.78,1,6.45,1000.00,5.00,1000.00,0.00,8.05,8.05,8.05
183.24ms,8.05,189.88,0.00,181.83,1,6.45,1000.00,5.00,1000.00,0.00,8.05,8.05,8.05
190.04ms,8.04,197.92,0.00,189.88,1,6.44,1000.00,5.00,1000.00,0.00,8.04,8.04,8.04
185.02ms,8.04,205.96,0.00,197.92,1,6.44,1000.00,5.00,1000.00,0.00,8.04,8.04,8.04
185.32ms,8.04,214.00,0.00,205.96,1,6.44,1000.00,5.00,1000.00,0.00,8.04,8.04,8.04
183.82ms,8.03,222.03,0.00,214.00,1,6.43,1000.00,5.00,1000.00,0.00,8.03,8.03,8.03
184.86ms,8.03,230.06,0.00,222.03,1,6.43,1000.00,5.00,1000.00,0.00,8.03,8.03,8.03
184.00ms,8.03,238.09,0.00,230.06,1,6.43,1000.00,5.00,1000.00,0.00,8.03,8.03,8.03
181.51ms,8.03,246.12,0.00,238.09,1,6.43,1000.00,5.00,1000.00,0.00,8.03,8.03,8.03
187.13ms,8.02,254.14,0.00,246.12,1,6.42,1000.00,5.00,1000.00,0.00,8.02,8.02,8.02
184.48ms,8.02,262.16,0.00,254.14,1,6.42,1000.00,5.00,1000.00,0.00,8.02,8.02,8.02
181.16ms,8.02,270.18,0.00,262.16,1,6.42,1000.00,5.00,1000.00,0.00,8.02,8.02,8.02
178.26ms,8.02,278.20,0.00,270.18,1,6.42,1000.00,5.00,1000.00,0.00,8.02,8.02,8.02
178.22ms,8.02,286.21,0.00,278.20,1,6.42,1000.00,5.00,1000.00,0.00,8.02,8.02,8.02
182.69ms,8.01,294.23,0.00,286.21,1,6.42,1000.00,5.00,1000.00,0.00,8.01,8.01,8.01
180.96ms,8.01,302.24,0.00,294.23,1,6.41,1000.00,5.00,1000.00,0.00,8.01,8.01,8.01
183.07ms,8.01,310.25,0.00,302.24,1,6.41,1000.00,5.00,1000.00,0.00,8.01,8.01,8.01
178.76ms,8.01,318.27,0.00,310.25,1,6.41,1000.00,5.00,1000.00,0.00,8.01,8.01,8.01
179.27ms,8.01,326.28,0.00,318.27,1,6.41,1000.00,5.00,1000.00,0.00,8.01,8.01,8.01
183.94ms,8.01,334.29,0.00,326.28,1,6.41,1000.00,5.00,1000.00,0.00,8.01,8.01,8.01
180.62ms,8.01,342.30,0.00,334.29,1,6.41,1000.00,5.00,1000.00,0.00,8.01,8.01,8.01
192.19ms,8.01,350.30,0.00,342.30,1,6.41,1000.00,5.00,1000.00,0.00,8.01,8.01,8.01
190.69ms,8.01,358.31,0.00,350.30,1,6.41,1000.00,5.00,1000.00,0.00,8.01,8.01,8.01
192.97ms,8.01,366.32,0.00,358.31,1,6.41,1000.00,5.00,1000.00,0.00,8.01,8.01,8.01
191.29ms,8.01,374.33,0.00,366.32,1,6.41,1000.00,5.00,1000.00,0.00,8.01,8.01,8.01
184.82ms,8.01,382.33,0.00,374.33,1,6.41,1000.00,5.00,1000.00,0.00,8.01,8.01,8.01
